#Mapping quality	mapping quality
0.0	1.2220757E7
1.0	1.1667602E7
2.0	1.1293602E7
3.0	1.2980516E7
4.0	1.0177675E7
5.0	1.0238453E7
6.0	1.0217259E7
7.0	9444511.0
8.0	1.8057093E7
9.0	1.2429479E7
10.0	1.4156304E7
11.0	1.6488961E7
12.0	1.4883451E7
13.0	2.1726969E7
14.0	1.9370379E7
15.0	2.3760713E7
16.0	2.4103467E7
17.0	2.4005981E7
18.0	3.0568947E7
19.0	2.9790259E7
20.0	3.2386207E7
21.0	3.3668535E7
22.0	2.3618191E7
23.0	8.8198039E7
24.0	3.3165386E7
25.0	3.8047027E7
26.0	4.0862629E7
27.0	4.1287058E7
28.0	3.7537144E7
29.0	4.1001576E7
30.0	3.8025868E7
31.0	3.3654466E7
32.0	4.0136521E7
33.0	3.3426541E7
34.0	3.4489669E7
35.0	3.0640253E7
36.0	3.177863E7
37.0	2.8308901E7
38.0	2.7970749E7
39.0	1.9415389E7
40.0	2.9824871E7
41.0	3.5114353E7
42.0	1.2595972E7
