#Coverage (X)	Coverage
1.0	96.73484194598672
2.0	94.736816448044
3.0	92.07840791406672
4.0	88.62934763963653
5.0	84.28775971712365
6.0	79.07773390387644
7.0	73.10906232206294
8.0	66.5797766829871
9.0	59.74590940313847
10.0	52.86536834570857
11.0	46.17777122884665
12.0	39.87642296272844
13.0	34.09645015258171
14.0	28.92124449952408
15.0	24.379464309018886
16.0	20.457029135885065
17.0	17.118474861692988
18.0	14.312947029123748
19.0	11.975513875281408
20.0	10.03772804445893
21.0	8.437929325999804
22.0	7.120230816763211
23.0	6.03541769641437
24.0	5.1413811716121245
25.0	4.402311512922523
26.0	3.788740906170929
27.0	3.27926030671415
28.0	2.8526756903570316
29.0	2.4940596825215096
30.0	2.191861510322255
31.0	1.9354949381403657
32.0	1.7176273783680216
33.0	1.5301107948947532
34.0	1.368669980445759
35.0	1.22936464712609
36.0	1.1086348233975798
37.0	1.0035131591937585
38.0	0.9118927256570117
39.0	0.8313898845054553
40.0	0.7608634321061345
41.0	0.6987166676812251
42.0	0.6443539998633696
43.0	0.5962999844730916
44.0	0.5539535146224637
45.0	0.5163973168136664
46.0	0.48315103163217543
47.0	0.45356119717172305
48.0	0.4270943353119776
49.0	0.40348901037792473
50.0	0.3825615131075324
51.0	0.3639414550810045
