#Insert size (bp)	insert size
1.0	9566.0
2.0	514.0
3.0	150.0
4.0	125.0
5.0	132.0
6.0	106.0
7.0	113.0
8.0	65.0
9.0	84.0
10.0	95.0
11.0	113.0
12.0	85.0
13.0	74.0
14.0	66.0
15.0	65.0
16.0	66.0
17.0	93.0
18.0	89.0
19.0	78.0
20.0	63.0
21.0	67.0
22.0	76.0
23.0	79.0
24.0	90.0
25.0	78.0
26.0	80.0
27.0	74.0
28.0	71.0
29.0	92.0
30.0	94.0
31.0	36.0
32.0	36.0
33.0	36.0
34.0	46.0
35.0	54.0
36.0	45.0
37.0	59.0
38.0	72.0
39.0	125.0
40.0	5864.0
41.0	6070.0
42.0	5890.0
43.0	5877.0
44.0	5774.0
45.0	5941.0
46.0	6012.0
47.0	5872.0
48.0	6200.0
49.0	6397.0
50.0	6179.0
51.0	5768.0
52.0	5673.0
53.0	5655.0
54.0	5836.0
55.0	5842.0
56.0	6293.0
57.0	5938.0
58.0	6285.0
59.0	6394.0
60.0	6113.0
61.0	6163.0
62.0	6177.0
63.0	6371.0
64.0	6598.0
65.0	6716.0
66.0	6944.0
67.0	6944.0
68.0	7254.0
69.0	7891.0
70.0	7855.0
71.0	8205.0
72.0	8062.0
73.0	8583.0
74.0	9016.0
75.0	10008.0
76.0	9744.0
77.0	10294.0
78.0	10987.0
79.0	11679.0
80.0	11318.0
81.0	12320.0
82.0	12114.0
83.0	12550.0
84.0	13220.0
85.0	13814.0
86.0	14328.0
87.0	15359.0
88.0	16630.0
89.0	17726.0
90.0	19045.0
91.0	19245.0
92.0	19239.0
93.0	20654.0
94.0	21510.0
95.0	22627.0
96.0	23854.0
97.0	25553.0
98.0	27120.0
99.0	29216.0
100.0	30556.0
101.0	31436.0
102.0	32672.0
103.0	33965.0
104.0	35764.0
105.0	37443.0
106.0	39853.0
107.0	41898.0
108.0	44611.0
109.0	47765.0
110.0	49833.0
111.0	51840.0
112.0	53918.0
113.0	55781.0
114.0	57678.0
115.0	60819.0
116.0	64060.0
117.0	66892.0
118.0	70583.0
119.0	74687.0
120.0	78331.0
121.0	80183.0
122.0	82662.0
123.0	85014.0
124.0	87291.0
125.0	90423.0
126.0	93763.0
127.0	96642.0
128.0	100089.0
129.0	104509.0
130.0	107346.0
131.0	110958.0
132.0	113341.0
133.0	117160.0
134.0	120164.0
135.0	123372.0
136.0	126360.0
137.0	130073.0
138.0	133852.0
139.0	136956.0
140.0	140402.0
141.0	143842.0
142.0	145988.0
143.0	150082.0
144.0	153406.0
145.0	155909.0
146.0	157972.0
147.0	160566.0
148.0	163379.0
149.0	167073.0
150.0	169139.0
151.0	173977.0
152.0	176288.0
153.0	179141.0
154.0	182045.0
155.0	184796.0
156.0	187712.0
157.0	189086.0
158.0	192226.0
159.0	193963.0
160.0	196846.0
161.0	199367.0
162.0	200926.0
163.0	203050.0
164.0	205455.0
165.0	207424.0
166.0	209881.0
167.0	212121.0
168.0	213922.0
169.0	216857.0
170.0	217551.0
171.0	219130.0
172.0	220990.0
173.0	222782.0
174.0	224537.0
175.0	224905.0
176.0	226765.0
177.0	228363.0
178.0	230776.0
179.0	232412.0
180.0	233073.0
181.0	234611.0
182.0	235031.0
183.0	236480.0
184.0	236901.0
185.0	237611.0
186.0	238977.0
187.0	240107.0
188.0	240604.0
189.0	242003.0
190.0	242510.0
191.0	243327.0
192.0	243436.0
193.0	243215.0
194.0	242859.0
195.0	244033.0
196.0	242779.0
197.0	244406.0
198.0	244616.0
199.0	245386.0
200.0	245732.0
201.0	245079.0
202.0	244177.0
203.0	244772.0
204.0	242901.0
205.0	242275.0
206.0	242043.0
207.0	242512.0
208.0	243366.0
209.0	243239.0
210.0	243374.0
211.0	242272.0
212.0	241088.0
213.0	240428.0
214.0	238506.0
215.0	238123.0
216.0	237085.0
217.0	237465.0
218.0	236120.0
219.0	236944.0
220.0	235697.0
221.0	235521.0
222.0	235204.0
223.0	232962.0
224.0	232394.0
225.0	230223.0
226.0	229315.0
227.0	228698.0
228.0	227789.0
229.0	226080.0
230.0	225217.0
231.0	225539.0
232.0	223525.0
233.0	222282.0
234.0	221301.0
235.0	220156.0
236.0	217811.0
237.0	216672.0
238.0	216185.0
239.0	214696.0
240.0	214467.0
241.0	212860.0
242.0	211944.0
243.0	210502.0
244.0	209560.0
245.0	207679.0
246.0	206383.0
247.0	204626.0
248.0	203512.0
249.0	203196.0
250.0	202172.0
251.0	201832.0
252.0	200022.0
253.0	198523.0
254.0	196584.0
255.0	194931.0
256.0	193472.0
257.0	193425.0
258.0	192169.0
259.0	191488.0
260.0	189381.0
261.0	188682.0
262.0	187835.0
263.0	186293.0
264.0	184447.0
265.0	183008.0
266.0	181588.0
267.0	180368.0
268.0	178947.0
269.0	177855.0
270.0	176904.0
271.0	175766.0
272.0	174659.0
273.0	173156.0
274.0	172094.0
275.0	170353.0
276.0	169393.0
277.0	168506.0
278.0	166825.0
279.0	164560.0
280.0	164102.0
281.0	162770.0
282.0	161775.0
283.0	161109.0
284.0	159475.0
285.0	157698.0
286.0	156943.0
287.0	155073.0
288.0	153824.0
289.0	152925.0
290.0	151451.0
291.0	149095.0
292.0	147997.0
293.0	148145.0
294.0	146228.0
295.0	144994.0
296.0	143749.0
297.0	142292.0
298.0	141231.0
299.0	139309.0
300.0	138672.0
301.0	137173.0
