#Duplication rate	Coverage
1.0	4.9981633E7
2.0	9963441.0
3.0	1723831.0
4.0	317977.0
5.0	82328.0
6.0	35013.0
7.0	20794.0
8.0	14269.0
9.0	10417.0
10.0	7916.0
11.0	6257.0
12.0	4951.0
13.0	3996.0
14.0	3401.0
15.0	2817.0
16.0	2464.0
17.0	2124.0
18.0	1844.0
19.0	1682.0
20.0	1448.0
21.0	1325.0
22.0	1188.0
23.0	1083.0
24.0	969.0
25.0	985.0
26.0	885.0
27.0	807.0
28.0	802.0
29.0	658.0
30.0	652.0
31.0	613.0
32.0	581.0
33.0	530.0
34.0	479.0
35.0	457.0
36.0	444.0
37.0	406.0
38.0	403.0
39.0	319.0
40.0	323.0
41.0	322.0
42.0	306.0
43.0	257.0
44.0	269.0
45.0	230.0
46.0	255.0
47.0	230.0
48.0	215.0
49.0	219.0
50.0	4876.0
