#Mapping quality	mapping quality
0.0	1.1127206E7
1.0	1.1023851E7
2.0	1.0569547E7
3.0	1.2327981E7
4.0	9459353.0
5.0	9515522.0
6.0	9652549.0
7.0	8866037.0
8.0	1.7560164E7
9.0	1.1626383E7
10.0	1.3027899E7
11.0	1.5134498E7
12.0	1.4131514E7
13.0	2.0406988E7
14.0	1.8530698E7
15.0	2.2904895E7
16.0	2.3449138E7
17.0	2.3783732E7
18.0	3.003231E7
19.0	2.9523991E7
20.0	3.2456606E7
21.0	3.3634278E7
22.0	2.637334E7
23.0	9.1757602E7
24.0	4.3213011E7
25.0	3.7560168E7
26.0	4.0022176E7
27.0	4.0300772E7
28.0	3.7860292E7
29.0	4.0457462E7
30.0	3.7340442E7
31.0	3.3119251E7
32.0	4.0354566E7
33.0	3.2274886E7
34.0	3.3790537E7
35.0	2.8599635E7
36.0	3.0355335E7
37.0	2.6024305E7
38.0	2.4902897E7
39.0	1.7099376E7
40.0	3.725705E7
41.0	3.3825289E7
42.0	1.4481893E7
