#Duplication rate	Coverage
1.0	9.5247695E7
2.0	1.1213794E7
3.0	1155601.0
4.0	271302.0
5.0	84020.0
6.0	46488.0
7.0	29927.0
8.0	21736.0
9.0	16239.0
10.0	12581.0
11.0	10022.0
12.0	7980.0
13.0	6587.0
14.0	5352.0
15.0	4493.0
16.0	3678.0
17.0	3176.0
18.0	2660.0
19.0	2351.0
20.0	2057.0
21.0	1750.0
22.0	1566.0
23.0	1369.0
24.0	1223.0
25.0	1045.0
26.0	969.0
27.0	913.0
28.0	881.0
29.0	761.0
30.0	753.0
31.0	666.0
32.0	559.0
33.0	600.0
34.0	527.0
35.0	499.0
36.0	480.0
37.0	438.0
38.0	395.0
39.0	419.0
40.0	419.0
41.0	363.0
42.0	403.0
43.0	353.0
44.0	338.0
45.0	347.0
46.0	317.0
47.0	288.0
48.0	315.0
49.0	315.0
50.0	7818.0
