#Insert size (bp)	insert size
1.0	5345.0
2.0	310.0
3.0	106.0
4.0	93.0
5.0	80.0
6.0	81.0
7.0	62.0
8.0	61.0
9.0	65.0
10.0	54.0
11.0	50.0
12.0	67.0
13.0	63.0
14.0	70.0
15.0	63.0
16.0	50.0
17.0	60.0
18.0	48.0
19.0	57.0
20.0	47.0
21.0	47.0
22.0	56.0
23.0	56.0
24.0	59.0
25.0	64.0
26.0	66.0
27.0	70.0
28.0	59.0
29.0	59.0
30.0	79.0
31.0	24.0
32.0	30.0
33.0	22.0
34.0	28.0
35.0	30.0
36.0	35.0
37.0	45.0
38.0	69.0
39.0	110.0
40.0	7737.0
41.0	7793.0
42.0	7716.0
43.0	7738.0
44.0	7776.0
45.0	7513.0
46.0	7785.0
47.0	7713.0
48.0	7799.0
49.0	7853.0
50.0	7778.0
51.0	7800.0
52.0	7412.0
53.0	7348.0
54.0	7340.0
55.0	7147.0
56.0	7747.0
57.0	7576.0
58.0	7740.0
59.0	7829.0
60.0	7260.0
61.0	7387.0
62.0	7380.0
63.0	7467.0
64.0	7712.0
65.0	7472.0
66.0	8000.0
67.0	7840.0
68.0	7718.0
69.0	8297.0
70.0	8271.0
71.0	8559.0
72.0	8629.0
73.0	8838.0
74.0	9288.0
75.0	9881.0
76.0	9903.0
77.0	10182.0
78.0	10889.0
79.0	11076.0
80.0	10901.0
81.0	11946.0
82.0	12093.0
83.0	12824.0
84.0	13509.0
85.0	14173.0
86.0	14281.0
87.0	15272.0
88.0	16149.0
89.0	17171.0
90.0	18185.0
91.0	19121.0
92.0	20011.0
93.0	21240.0
94.0	22008.0
95.0	23125.0
96.0	24851.0
97.0	26277.0
98.0	27848.0
99.0	29773.0
100.0	30865.0
101.0	32605.0
102.0	34717.0
103.0	36139.0
104.0	38353.0
105.0	40599.0
106.0	42889.0
107.0	45091.0
108.0	47807.0
109.0	49860.0
110.0	53294.0
111.0	55202.0
112.0	57894.0
113.0	61192.0
114.0	64391.0
115.0	67710.0
116.0	71461.0
117.0	74294.0
118.0	77269.0
119.0	81600.0
120.0	84965.0
121.0	88301.0
122.0	92998.0
123.0	96266.0
124.0	100326.0
125.0	104078.0
126.0	108694.0
127.0	112370.0
128.0	116509.0
129.0	120165.0
130.0	124922.0
131.0	128487.0
132.0	132720.0
133.0	137215.0
134.0	141374.0
135.0	145391.0
136.0	150084.0
137.0	154197.0
138.0	158045.0
139.0	162897.0
140.0	166646.0
141.0	171075.0
142.0	174668.0
143.0	179184.0
144.0	182406.0
145.0	187787.0
146.0	190849.0
147.0	194126.0
148.0	198206.0
149.0	202948.0
150.0	207058.0
151.0	211421.0
152.0	214185.0
153.0	219125.0
154.0	221865.0
155.0	226071.0
156.0	229102.0
157.0	232759.0
158.0	236688.0
159.0	239263.0
160.0	243682.0
161.0	246245.0
162.0	250379.0
163.0	253078.0
164.0	257030.0
165.0	258361.0
166.0	262362.0
167.0	264498.0
168.0	266854.0
169.0	270648.0
170.0	272935.0
171.0	275768.0
172.0	276716.0
173.0	281202.0
174.0	282288.0
175.0	284923.0
176.0	286662.0
177.0	288157.0
178.0	290620.0
179.0	293357.0
180.0	294584.0
181.0	297009.0
182.0	297940.0
183.0	299304.0
184.0	301429.0
185.0	301580.0
186.0	304476.0
187.0	306424.0
188.0	306614.0
189.0	308543.0
190.0	309898.0
191.0	311199.0
192.0	310747.0
193.0	312635.0
194.0	313040.0
195.0	312998.0
196.0	313882.0
197.0	315186.0
198.0	314854.0
199.0	316014.0
200.0	315861.0
201.0	316990.0
202.0	316693.0
203.0	316451.0
204.0	316297.0
205.0	316771.0
206.0	315775.0
207.0	317359.0
208.0	317564.0
209.0	316905.0
210.0	316621.0
211.0	315869.0
212.0	316467.0
213.0	315425.0
214.0	314612.0
215.0	314815.0
216.0	313251.0
217.0	312399.0
218.0	311928.0
219.0	312389.0
220.0	311166.0
221.0	310519.0
222.0	309199.0
223.0	308773.0
224.0	307350.0
225.0	307576.0
226.0	304992.0
227.0	304078.0
228.0	303383.0
229.0	301833.0
230.0	300997.0
231.0	298691.0
232.0	298002.0
233.0	296607.0
234.0	294406.0
235.0	293735.0
236.0	292070.0
237.0	290493.0
238.0	290614.0
239.0	287645.0
240.0	286474.0
241.0	285284.0
242.0	283873.0
243.0	282586.0
244.0	279427.0
245.0	277306.0
246.0	276431.0
247.0	275186.0
248.0	273364.0
249.0	272214.0
250.0	270427.0
251.0	268876.0
252.0	266917.0
253.0	265220.0
254.0	262898.0
255.0	261781.0
256.0	260380.0
257.0	257505.0
258.0	255915.0
259.0	253605.0
260.0	252367.0
261.0	251392.0
262.0	248768.0
263.0	246991.0
264.0	244376.0
265.0	243728.0
266.0	241110.0
267.0	239717.0
268.0	238439.0
269.0	235835.0
270.0	234713.0
271.0	232340.0
272.0	230501.0
273.0	229135.0
274.0	225924.0
275.0	224316.0
276.0	223114.0
277.0	221574.0
278.0	218738.0
279.0	218041.0
280.0	216491.0
281.0	213524.0
282.0	212080.0
283.0	210894.0
284.0	209483.0
285.0	208027.0
286.0	204823.0
287.0	204481.0
288.0	202082.0
289.0	200211.0
290.0	198223.0
291.0	196194.0
292.0	194860.0
293.0	193721.0
294.0	191903.0
295.0	188896.0
296.0	187855.0
297.0	185950.0
298.0	183545.0
299.0	182142.0
300.0	181296.0
301.0	178545.0
302.0	178049.0
303.0	175664.0
304.0	174591.0
305.0	173577.0
306.0	170088.0
307.0	169523.0
308.0	168355.0
309.0	166341.0
310.0	164162.0
311.0	163310.0
312.0	162211.0
313.0	160071.0
314.0	158331.0
315.0	157030.0
316.0	155177.0
317.0	153197.0
318.0	152428.0
319.0	150976.0
320.0	149620.0
321.0	148711.0
322.0	146275.0
323.0	145433.0
324.0	144090.0
325.0	142065.0
326.0	140409.0
327.0	139165.0
328.0	137356.0
329.0	136802.0
330.0	135372.0
331.0	133441.0
332.0	132454.0
333.0	130489.0
334.0	129268.0
335.0	127890.0
336.0	126505.0
337.0	125667.0
338.0	124929.0
339.0	122943.0
340.0	122150.0
341.0	120401.0
342.0	119461.0
343.0	118695.0
344.0	116908.0
345.0	116100.0
346.0	114275.0
347.0	113261.0
348.0	112036.0
349.0	110833.0
350.0	109695.0
351.0	108767.0
352.0	107096.0
353.0	105917.0
354.0	104893.0
355.0	103869.0
356.0	103219.0
357.0	101916.0
358.0	100088.0
359.0	99634.0
360.0	98332.0
361.0	97594.0
362.0	96283.0
363.0	95528.0
364.0	94011.0
365.0	93584.0
366.0	91680.0
367.0	91430.0
368.0	90548.0
369.0	89198.0
370.0	88579.0
371.0	87339.0
372.0	86473.0
373.0	85493.0
374.0	84435.0
375.0	83595.0
376.0	83097.0
377.0	80995.0
378.0	80580.0
379.0	79485.0
380.0	79471.0
381.0	78070.0
382.0	76874.0
383.0	76118.0
384.0	75321.0
385.0	74709.0
386.0	73641.0
387.0	73180.0
388.0	71889.0
389.0	71005.0
390.0	70306.0
391.0	69182.0
392.0	68965.0
393.0	68241.0
394.0	67173.0
395.0	66695.0
396.0	65599.0
397.0	64561.0
398.0	64017.0
399.0	63827.0
400.0	62994.0
401.0	62093.0
402.0	62158.0
403.0	60700.0
404.0	59966.0
405.0	59405.0
406.0	59216.0
407.0	58158.0
408.0	57053.0
409.0	56383.0
410.0	55800.0
411.0	55206.0
412.0	54829.0
413.0	54028.0
414.0	53286.0
415.0	52912.0
416.0	51562.0
417.0	51604.0
418.0	50663.0
419.0	49931.0
420.0	48984.0
421.0	48830.0
422.0	48269.0
423.0	47499.0
424.0	47134.0
425.0	46465.0
426.0	46282.0
427.0	45139.0
428.0	44400.0
429.0	44124.0
430.0	43476.0
431.0	43125.0
432.0	42713.0
433.0	41827.0
434.0	41235.0
435.0	40835.0
436.0	40530.0
437.0	40279.0
438.0	39367.0
439.0	38851.0
440.0	38431.0
441.0	37924.0
442.0	37647.0
443.0	37199.0
444.0	36714.0
445.0	35942.0
446.0	35633.0
447.0	34803.0
448.0	34846.0
449.0	34337.0
450.0	33910.0
451.0	33653.0
452.0	32967.0
453.0	32873.0
454.0	32032.0
455.0	31909.0
456.0	31638.0
457.0	30916.0
458.0	30459.0
459.0	29865.0
460.0	29941.0
461.0	29539.0
462.0	28919.0
463.0	28836.0
464.0	28264.0
465.0	28129.0
466.0	27906.0
467.0	27845.0
468.0	27002.0
469.0	26824.0
470.0	26432.0
471.0	25890.0
472.0	25740.0
473.0	25504.0
474.0	24914.0
475.0	24797.0
476.0	24473.0
477.0	23897.0
478.0	23719.0
479.0	23763.0
480.0	23425.0
