#GC Content (%)	Sample
1.0	5.717617288199301E-8
2.0	1.1435234576398602E-7
3.0	0.0
4.0	5.717617288199301E-8
5.0	1.7152851864597904E-7
6.0	1.1435234576398602E-7
7.0	2.2870469152797205E-7
8.0	5.145855559379371E-7
9.0	8.004664203479022E-7
10.0	6.86114074583916E-7
11.0	2.2870469152797205E-7
12.0	1.315051976285839E-6
13.0	2.630103952571678E-6
14.0	1.886813705105769E-6
15.0	3.830803583093531E-6
16.0	5.488912596671328E-6
17.0	1.1721115440808566E-5
18.0	1.692414717306993E-5
19.0	2.94457290342264E-5
20.0	6.0663919427794585E-5
21.0	1.0840602378425875E-4
22.0	2.1258101077525E-4
23.0	4.0137673363159097E-4
24.0	7.065831444756697E-4
25.0	0.0014090496045038358
26.0	0.0019206048232790274
27.0	0.0033358294544541182
28.0	0.0051601496025998695
29.0	0.007552858085365513
30.0	0.010708296714376942
31.0	0.014402735125146922
32.0	0.01856247323083056
33.0	0.02293261965271993
34.0	0.02734621996599961
35.0	0.03151361967884944
36.0	0.034943961347077494
37.0	0.03782872797366557
38.0	0.03982137477477591
39.0	0.041061811845450755
40.0	0.041487659981075835
41.0	0.041542606283215426
42.0	0.04119577561851326
43.0	0.040547683698895866
44.0	0.039493240718606146
45.0	0.038356063816156194
46.0	0.03695936426499486
47.0	0.03553247569455185
48.0	0.03409054979064086
49.0	0.032381897040235384
50.0	0.03072596072122711
51.0	0.031776401369415085
52.0	0.024486668031652496
53.0	0.025384276769726904
54.0	0.023094999983704793
55.0	0.020905724324053278
56.0	0.018837147565355657
57.0	0.016995102803616484
58.0	0.015095024226402094
59.0	0.01330946952347033
60.0	0.011518311555596138
61.0	0.010085419487000511
62.0	0.008877058249312472
63.0	0.00793891160466473
64.0	0.007058798775492212
65.0	0.0063509005790402554
66.0	0.00571270013733145
67.0	0.005012749428910092
68.0	0.0043891860874590745
69.0	0.0038507580674293474
70.0	0.0033576135763221573
71.0	0.002904892639442537
72.0	0.002506374714455045
73.0	0.002201854417685551
74.0	0.0019677179897337896
75.0	0.0017670867990908761
76.0	0.0015734311015395657
77.0	0.0014499305681144605
78.0	0.0013686260502762666
79.0	0.001261192021431002
80.0	0.0011761138761825964
81.0	0.0010930368969850606
82.0	9.992107972857096E-4
83.0	8.630743296536845E-4
84.0	6.862856031025622E-4
85.0	5.458609225043872E-4
86.0	3.9960427227224914E-4
87.0	3.0474900146102276E-4
88.0	2.1646899053122555E-4
89.0	1.446557173914423E-4
90.0	7.43862009194729E-5
91.0	3.607816508853759E-5
92.0	1.789614211206381E-5
93.0	9.376892352646855E-6
94.0	3.773627410211538E-6
95.0	1.372228149167832E-6
96.0	5.717617288199301E-7
97.0	4.57409383055944E-7
98.0	3.43057037291958E-7
99.0	8.00466420347902E-7
100.0	8.119016549243007E-6
