#Mapping quality	mapping quality
0.0	2.4781493E7
1.0	2.3157124E7
2.0	2.2448584E7
3.0	2.3614342E7
4.0	2.0812985E7
5.0	2.0644043E7
6.0	2.0535803E7
7.0	1.9950736E7
8.0	2.7538909E7
9.0	2.1881645E7
10.0	2.260531E7
11.0	2.4231078E7
12.0	2.2694688E7
13.0	2.7725433E7
14.0	2.5290875E7
15.0	2.8378345E7
16.0	2.7762284E7
17.0	2.7894299E7
18.0	3.1635814E7
19.0	3.1087051E7
20.0	3.2793854E7
21.0	3.3353505E7
22.0	3.0588133E7
23.0	6.5831934E7
24.0	3.686667E7
25.0	3.2723007E7
26.0	3.2060688E7
27.0	3.049564E7
28.0	2.8236231E7
29.0	2.809293E7
30.0	2.6021462E7
31.0	2.4274669E7
32.0	2.5816954E7
33.0	2.2807443E7
34.0	2.3350464E7
35.0	2.1322993E7
36.0	2.2203392E7
37.0	2.0733944E7
38.0	2.0891857E7
39.0	1.8344388E7
40.0	2.6973358E7
41.0	2.906453E7
42.0	1.2174E7
