#Duplication rate	Coverage
1.0	8.6754966E7
2.0	1.0579136E7
3.0	1223867.0
4.0	297247.0
5.0	107619.0
6.0	63971.0
7.0	43080.0
8.0	31667.0
9.0	23419.0
10.0	18123.0
11.0	14181.0
12.0	11463.0
13.0	9493.0
14.0	7825.0
15.0	6583.0
16.0	5578.0
17.0	4776.0
18.0	4327.0
19.0	3786.0
20.0	3314.0
21.0	2963.0
22.0	2646.0
23.0	2457.0
24.0	2232.0
25.0	1965.0
26.0	1827.0
27.0	1618.0
28.0	1525.0
29.0	1354.0
30.0	1172.0
31.0	1206.0
32.0	1065.0
33.0	978.0
34.0	959.0
35.0	889.0
36.0	799.0
37.0	742.0
38.0	656.0
39.0	597.0
40.0	608.0
41.0	539.0
42.0	538.0
43.0	569.0
44.0	467.0
45.0	453.0
46.0	439.0
47.0	418.0
48.0	386.0
49.0	354.0
50.0	10358.0
