#Insert size (bp)	insert size
1.0	11838.0
2.0	590.0
3.0	187.0
4.0	160.0
5.0	129.0
6.0	115.0
7.0	128.0
8.0	112.0
9.0	116.0
10.0	114.0
11.0	123.0
12.0	114.0
13.0	110.0
14.0	115.0
15.0	106.0
16.0	131.0
17.0	110.0
18.0	98.0
19.0	125.0
20.0	87.0
21.0	97.0
22.0	103.0
23.0	108.0
24.0	107.0
25.0	106.0
26.0	101.0
27.0	95.0
28.0	116.0
29.0	104.0
30.0	105.0
31.0	59.0
32.0	54.0
33.0	65.0
34.0	68.0
35.0	72.0
36.0	76.0
37.0	90.0
38.0	104.0
39.0	208.0
40.0	6451.0
41.0	6597.0
42.0	6479.0
43.0	6348.0
44.0	6277.0
45.0	6209.0
46.0	6667.0
47.0	6434.0
48.0	6401.0
49.0	6629.0
50.0	6449.0
51.0	6398.0
52.0	6347.0
53.0	6246.0
54.0	6414.0
55.0	6458.0
56.0	6668.0
57.0	6501.0
58.0	6699.0
59.0	6709.0
60.0	6400.0
61.0	6669.0
62.0	6518.0
63.0	6737.0
64.0	6811.0
65.0	6738.0
66.0	7008.0
67.0	6877.0
68.0	6978.0
69.0	7301.0
70.0	7332.0
71.0	7446.0
72.0	7560.0
73.0	7909.0
74.0	8079.0
75.0	8360.0
76.0	8604.0
77.0	8675.0
78.0	9029.0
79.0	9447.0
80.0	9584.0
81.0	10273.0
82.0	10371.0
83.0	10743.0
84.0	11431.0
85.0	11999.0
86.0	12350.0
87.0	13186.0
88.0	13808.0
89.0	14557.0
90.0	15480.0
91.0	16347.0
92.0	16918.0
93.0	18316.0
94.0	19269.0
95.0	19935.0
96.0	21433.0
97.0	22652.0
98.0	24010.0
99.0	25574.0
100.0	26987.0
101.0	28612.0
102.0	30053.0
103.0	31886.0
104.0	33643.0
105.0	35539.0
106.0	37954.0
107.0	39930.0
108.0	42416.0
109.0	45371.0
110.0	47169.0
111.0	49717.0
112.0	52443.0
113.0	55038.0
114.0	58004.0
115.0	61464.0
116.0	64628.0
117.0	67548.0
118.0	70561.0
119.0	74129.0
120.0	76874.0
121.0	80361.0
122.0	83876.0
123.0	87565.0
124.0	91085.0
125.0	94283.0
126.0	97747.0
