#Mapping quality	mapping quality
0.0	2.7232932E7
1.0	2.2799093E7
2.0	2.1619684E7
3.0	2.7004585E7
4.0	1.9907981E7
5.0	1.9612456E7
6.0	1.8760373E7
7.0	1.7824895E7
8.0	3.3759512E7
9.0	1.972327E7
10.0	2.0228604E7
11.0	2.2291971E7
12.0	1.9914648E7
13.0	2.7432725E7
14.0	2.2047541E7
15.0	2.7313455E7
16.0	2.5866356E7
17.0	2.434668E7
18.0	2.9761268E7
19.0	2.7224723E7
20.0	2.8655984E7
21.0	2.8314052E7
22.0	2.5470941E7
23.0	8.084997E7
24.0	4.7724498E7
25.0	2.7058468E7
26.0	2.7546835E7
27.0	2.6880677E7
28.0	2.4942167E7
29.0	2.6230763E7
30.0	2.2944882E7
31.0	2.2071789E7
32.0	2.5816147E7
33.0	2.0488633E7
34.0	2.1957224E7
35.0	1.8944452E7
36.0	2.0389391E7
37.0	1.8454079E7
38.0	1.7876155E7
39.0	1.4966334E7
40.0	3.5528408E7
41.0	2.7394776E7
42.0	1.7250769E7
