#Insert size (bp)	insert size
1.0	34.0
2.0	32.0
3.0	23.0
4.0	29.0
5.0	54.0
6.0	41.0
7.0	43.0
8.0	38.0
9.0	36.0
10.0	38.0
11.0	27.0
12.0	44.0
13.0	32.0
14.0	37.0
15.0	38.0
16.0	46.0
17.0	36.0
18.0	59.0
19.0	44.0
20.0	46.0
21.0	43.0
22.0	49.0
23.0	46.0
24.0	46.0
25.0	47.0
26.0	48.0
27.0	57.0
28.0	56.0
29.0	62.0
30.0	46.0
31.0	16.0
32.0	20.0
33.0	27.0
34.0	26.0
35.0	36.0
36.0	26.0
37.0	30.0
38.0	32.0
39.0	46.0
40.0	1454.0
41.0	1524.0
42.0	1448.0
43.0	1518.0
44.0	1502.0
45.0	1574.0
46.0	1667.0
47.0	1573.0
48.0	1680.0
49.0	1628.0
50.0	1720.0
51.0	1675.0
52.0	1657.0
53.0	1821.0
54.0	1760.0
55.0	1721.0
56.0	1856.0
57.0	1795.0
58.0	1885.0
59.0	1919.0
60.0	1842.0
61.0	1939.0
62.0	1839.0
63.0	1896.0
64.0	1901.0
65.0	1822.0
66.0	1914.0
67.0	1835.0
68.0	1956.0
69.0	1964.0
70.0	1916.0
71.0	1903.0
72.0	1895.0
73.0	2015.0
74.0	1964.0
75.0	1951.0
76.0	1980.0
77.0	1906.0
78.0	1917.0
79.0	2131.0
80.0	1951.0
81.0	2015.0
82.0	2047.0
83.0	1848.0
84.0	1761.0
85.0	1915.0
86.0	1881.0
87.0	1953.0
88.0	1871.0
89.0	1848.0
90.0	1807.0
91.0	1829.0
92.0	1639.0
93.0	1810.0
94.0	1815.0
95.0	1770.0
96.0	1706.0
97.0	1574.0
98.0	1541.0
99.0	1636.0
100.0	1685.0
101.0	1607.0
102.0	1536.0
103.0	1522.0
104.0	1515.0
105.0	1467.0
106.0	1550.0
107.0	1527.0
108.0	1581.0
109.0	1506.0
110.0	1443.0
111.0	1480.0
112.0	1518.0
113.0	1603.0
114.0	1511.0
115.0	1454.0
116.0	1344.0
117.0	1439.0
118.0	1362.0
119.0	1403.0
120.0	1483.0
121.0	1459.0
122.0	1381.0
123.0	1484.0
124.0	1390.0
125.0	1312.0
126.0	1425.0
127.0	1427.0
128.0	1347.0
129.0	1356.0
130.0	1332.0
131.0	1327.0
132.0	1165.0
133.0	1257.0
134.0	1265.0
135.0	1372.0
136.0	1318.0
137.0	1264.0
138.0	1227.0
139.0	1197.0
140.0	1154.0
141.0	1278.0
142.0	1285.0
143.0	1202.0
144.0	1278.0
145.0	1278.0
146.0	1279.0
147.0	1204.0
148.0	1104.0
149.0	1229.0
150.0	1198.0
151.0	1287.0
152.0	1299.0
153.0	1220.0
154.0	1242.0
155.0	1203.0
156.0	1054.0
157.0	1194.0
158.0	1250.0
159.0	1229.0
160.0	1193.0
161.0	1191.0
162.0	1164.0
163.0	1149.0
164.0	1084.0
165.0	1218.0
166.0	1185.0
167.0	1181.0
168.0	1208.0
169.0	1227.0
170.0	1237.0
171.0	1155.0
172.0	1157.0
173.0	1210.0
174.0	1185.0
175.0	1205.0
176.0	1278.0
177.0	1232.0
178.0	1257.0
179.0	1337.0
180.0	1340.0
181.0	1308.0
182.0	1310.0
183.0	1419.0
184.0	1351.0
185.0	1459.0
186.0	1405.0
187.0	1487.0
188.0	1415.0
189.0	1548.0
190.0	1618.0
191.0	1629.0
192.0	1655.0
193.0	1651.0
194.0	1751.0
195.0	1888.0
196.0	1875.0
197.0	1925.0
198.0	2120.0
199.0	2107.0
