#Mapping quality	mapping quality
0.0	1.0390701E7
1.0	1.0589171E7
2.0	1.0375068E7
3.0	1.0411898E7
4.0	8989670.0
5.0	8883476.0
6.0	9412457.0
7.0	9215943.0
8.0	1.3604006E7
9.0	1.1891958E7
10.0	1.3303072E7
11.0	1.503774E7
12.0	1.5372391E7
13.0	1.9185219E7
14.0	1.9554606E7
15.0	2.2406089E7
16.0	2.3891975E7
17.0	2.593429E7
18.0	2.9835027E7
19.0	3.1842606E7
20.0	3.5005353E7
21.0	3.8142077E7
22.0	3.7426478E7
23.0	6.6899878E7
24.0	3.8118473E7
25.0	4.536127E7
26.0	4.4555766E7
27.0	4.3789901E7
28.0	4.2399237E7
29.0	4.1808047E7
30.0	4.0568696E7
31.0	3.8288397E7
32.0	3.9003388E7
33.0	3.5732019E7
34.0	3.5154988E7
35.0	3.2295427E7
36.0	3.1755783E7
37.0	2.8627348E7
38.0	2.7905999E7
39.0	2.4239193E7
40.0	2.6025268E7
41.0	2.8999709E7
42.0	7109856.0
