#Duplication rate	Coverage
1.0	6.1739092E7
2.0	1.4617282E7
3.0	3053860.0
4.0	664530.0
5.0	171662.0
6.0	60697.0
7.0	29311.0
8.0	18051.0
9.0	12706.0
10.0	9495.0
11.0	7329.0
12.0	5791.0
13.0	4692.0
14.0	3955.0
15.0	3342.0
16.0	2652.0
17.0	2250.0
18.0	2013.0
19.0	1770.0
20.0	1512.0
21.0	1397.0
22.0	1127.0
23.0	1075.0
24.0	893.0
25.0	788.0
26.0	732.0
27.0	673.0
28.0	595.0
29.0	579.0
30.0	495.0
31.0	432.0
32.0	443.0
33.0	374.0
34.0	375.0
35.0	337.0
36.0	332.0
37.0	289.0
38.0	253.0
39.0	234.0
40.0	211.0
41.0	210.0
42.0	214.0
43.0	165.0
44.0	174.0
45.0	158.0
46.0	153.0
47.0	128.0
48.0	127.0
49.0	141.0
50.0	4533.0
