#Coverage (X)	Coverage
1.0	97.447121957582
2.0	96.24356833449288
3.0	94.66709772241856
4.0	92.56003886822984
5.0	89.81962735636021
6.0	86.39601119656785
7.0	82.28358992926631
8.0	77.5355038132069
9.0	72.25038800584103
10.0	66.5555183204176
11.0	60.60190971013404
12.0	54.547016371171544
13.0	48.531518783409076
14.0	42.68740454203696
15.0	37.124045656264165
16.0	31.92676731415756
17.0	27.159205385841688
18.0	22.854014892692987
19.0	19.02684913665064
20.0	15.68191849640921
21.0	12.798344265841806
22.0	10.347952402191126
23.0	8.295615742907245
24.0	6.6019389610609664
25.0	5.224310078126848
26.0	4.117301484755728
27.0	3.237494918169048
28.0	2.548697277826193
29.0	2.014276342895016
30.0	1.6029813435361433
31.0	1.28879769057653
32.0	1.0515619136259176
33.0	0.8731761471744761
34.0	0.7391844663716114
35.0	0.6392269416500795
36.0	0.563454889772359
37.0	0.5063821497090544
38.0	0.46263490734206414
39.0	0.42875577981581614
40.0	0.4022592189991485
41.0	0.3809173788527289
42.0	0.36341765033513695
43.0	0.34866762095693105
44.0	0.3358079726133525
45.0	0.3245107439659165
46.0	0.31433375997326607
47.0	0.3050972995189767
48.0	0.2965394178030891
49.0	0.28871034848985744
50.0	0.2813190418015381
51.0	0.2743274830732645
