#Mapping quality	mapping quality
0.0	1.0723801E7
1.0	1.1319953E7
2.0	1.0695231E7
3.0	1.1075249E7
4.0	9426655.0
5.0	9335743.0
6.0	9827884.0
7.0	9554454.0
8.0	1.4741267E7
9.0	1.2233447E7
10.0	1.3581465E7
11.0	1.5405758E7
12.0	1.539545E7
13.0	1.9710109E7
14.0	1.9645328E7
15.0	2.2726532E7
16.0	2.3890598E7
17.0	2.5465434E7
18.0	2.9897893E7
19.0	3.1162478E7
20.0	3.423152E7
21.0	3.6746015E7
22.0	3.4067087E7
23.0	7.3665174E7
24.0	3.8886276E7
25.0	4.3220063E7
26.0	4.3278822E7
27.0	4.2562579E7
28.0	4.0863342E7
29.0	4.086836E7
30.0	3.925477E7
31.0	3.6076086E7
32.0	3.8693895E7
33.0	3.4280686E7
34.0	3.4375657E7
35.0	3.0875108E7
36.0	3.1239168E7
37.0	2.7825974E7
38.0	2.7468683E7
39.0	2.2252907E7
40.0	2.951482E7
41.0	3.261137E7
42.0	9733999.0
