#Duplication rate	Coverage
1.0	7.1423839E7
2.0	8918397.0
3.0	1089159.0
4.0	257784.0
5.0	86214.0
6.0	47519.0
7.0	31239.0
8.0	22388.0
9.0	16779.0
10.0	13331.0
11.0	10277.0
12.0	8546.0
13.0	6982.0
14.0	5948.0
15.0	4754.0
16.0	4211.0
17.0	3658.0
18.0	3175.0
19.0	2729.0
20.0	2385.0
21.0	2235.0
22.0	1923.0
23.0	1689.0
24.0	1616.0
25.0	1335.0
26.0	1299.0
27.0	1149.0
28.0	1024.0
29.0	913.0
30.0	857.0
31.0	768.0
32.0	750.0
33.0	690.0
34.0	575.0
35.0	576.0
36.0	513.0
37.0	511.0
38.0	475.0
39.0	416.0
40.0	395.0
41.0	394.0
42.0	356.0
43.0	329.0
44.0	308.0
45.0	288.0
46.0	263.0
47.0	275.0
48.0	262.0
49.0	256.0
50.0	14135.0
