#Insert size (bp)	insert size
1.0	20197.0
2.0	1016.0
3.0	227.0
4.0	151.0
5.0	143.0
6.0	106.0
7.0	122.0
8.0	122.0
9.0	103.0
10.0	115.0
11.0	126.0
12.0	111.0
13.0	111.0
14.0	135.0
15.0	104.0
16.0	114.0
17.0	109.0
18.0	103.0
19.0	81.0
20.0	108.0
21.0	101.0
22.0	107.0
23.0	106.0
24.0	105.0
25.0	129.0
26.0	91.0
27.0	91.0
28.0	89.0
29.0	100.0
30.0	127.0
31.0	63.0
32.0	66.0
33.0	53.0
34.0	73.0
35.0	83.0
36.0	73.0
37.0	98.0
38.0	112.0
39.0	178.0
40.0	4028.0
41.0	4140.0
42.0	4121.0
43.0	4061.0
44.0	4085.0
45.0	4151.0
46.0	4220.0
47.0	4241.0
48.0	4179.0
49.0	4308.0
50.0	4295.0
51.0	4246.0
52.0	4295.0
53.0	4450.0
54.0	4289.0
55.0	4324.0
56.0	4600.0
57.0	4586.0
58.0	4674.0
59.0	4791.0
60.0	4607.0
61.0	4705.0
62.0	4645.0
63.0	4811.0
64.0	4878.0
65.0	5007.0
66.0	5253.0
67.0	5300.0
68.0	5199.0
69.0	5723.0
70.0	5771.0
71.0	5983.0
72.0	6181.0
73.0	6382.0
74.0	6659.0
75.0	6949.0
76.0	7080.0
77.0	7280.0
78.0	7594.0
79.0	8233.0
80.0	7955.0
81.0	8724.0
82.0	8922.0
83.0	9265.0
84.0	9821.0
85.0	9972.0
86.0	10700.0
87.0	11096.0
88.0	11766.0
89.0	12660.0
90.0	13186.0
91.0	13993.0
92.0	14417.0
93.0	15700.0
94.0	16458.0
95.0	17130.0
96.0	18646.0
97.0	19445.0
98.0	20520.0
99.0	22158.0
100.0	23151.0
101.0	24519.0
102.0	26071.0
103.0	27506.0
104.0	28851.0
105.0	30875.0
106.0	32317.0
107.0	34231.0
108.0	36277.0
109.0	37987.0
110.0	40226.0
111.0	42380.0
112.0	44139.0
113.0	46646.0
114.0	48877.0
115.0	51482.0
116.0	53574.0
117.0	56459.0
118.0	58368.0
119.0	61238.0
120.0	63610.0
121.0	66021.0
122.0	68894.0
123.0	71608.0
124.0	74962.0
125.0	77154.0
126.0	79861.0
127.0	82300.0
128.0	84641.0
129.0	88428.0
130.0	90877.0
131.0	93609.0
132.0	96870.0
133.0	99749.0
134.0	102433.0
135.0	105306.0
136.0	107549.0
137.0	111012.0
138.0	113753.0
139.0	116576.0
140.0	118989.0
141.0	122097.0
142.0	124008.0
143.0	126967.0
144.0	129510.0
145.0	132693.0
146.0	134604.0
147.0	137475.0
148.0	139695.0
149.0	142100.0
150.0	144854.0
151.0	148301.0
152.0	150868.0
153.0	153604.0
154.0	155804.0
155.0	159146.0
156.0	160714.0
157.0	163372.0
158.0	165148.0
159.0	168254.0
160.0	169958.0
161.0	171711.0
162.0	173395.0
163.0	176229.0
164.0	178062.0
165.0	180232.0
166.0	182049.0
167.0	184458.0
168.0	185422.0
169.0	188179.0
170.0	189095.0
171.0	190410.0
172.0	192243.0
173.0	194542.0
174.0	196753.0
175.0	197895.0
176.0	200225.0
177.0	200475.0
178.0	202840.0
179.0	204014.0
180.0	205192.0
181.0	206475.0
182.0	207013.0
183.0	210237.0
184.0	209167.0
185.0	211511.0
186.0	212343.0
187.0	213148.0
188.0	213301.0
189.0	214757.0
190.0	216180.0
191.0	216885.0
192.0	218268.0
193.0	218971.0
194.0	218720.0
195.0	220704.0
196.0	221707.0
197.0	220501.0
198.0	222161.0
199.0	222806.0
200.0	223566.0
201.0	223938.0
202.0	224032.0
203.0	224073.0
204.0	224071.0
205.0	225050.0
206.0	224091.0
207.0	224531.0
208.0	225029.0
209.0	225279.0
210.0	224599.0
211.0	225428.0
212.0	224541.0
213.0	224960.0
214.0	224959.0
215.0	223977.0
216.0	224816.0
217.0	224749.0
218.0	224224.0
219.0	223143.0
220.0	223654.0
221.0	223085.0
222.0	222749.0
223.0	222550.0
