#GC Content (%)	Sample
1.0	4.4630892477262237E-7
2.0	2.2315446238631116E-7
3.0	7.438482079543706E-8
4.0	2.975392831817482E-7
5.0	0.0
6.0	1.487696415908741E-7
7.0	3.719241039771853E-7
8.0	3.719241039771853E-7
9.0	5.950785663634965E-7
10.0	1.190157132726993E-6
11.0	6.694633871589335E-7
12.0	1.4133115951133041E-6
13.0	2.0827749822722375E-6
14.0	2.2315446238631117E-6
15.0	6.025170484430402E-6
16.0	6.397094588407587E-6
17.0	1.0488259732156625E-5
18.0	2.0381440897949755E-5
19.0	3.3473169357946676E-5
20.0	5.92103173531679E-5
21.0	1.0584959999190692E-4
22.0	1.8678028501734246E-4
23.0	3.2297889189378774E-4
24.0	5.731350442288425E-4
25.0	0.0010887706219828122
26.0	0.0014720756035416995
27.0	0.002562557076402807
28.0	0.003966719338558271
29.0	0.005876772766943506
30.0	0.008437172683543244
31.0	0.01153217630719979
32.0	0.015064041983387937
33.0	0.019021016910422007
34.0	0.02298587662846039
35.0	0.026922544499417306
36.0	0.03037898396731888
37.0	0.03322963345466241
38.0	0.035128901084032306
39.0	0.036419849648937117
40.0	0.03691517817061393
41.0	0.03671515738749501
42.0	0.03637380544486474
43.0	0.0359033958381544
44.0	0.03494301341686452
45.0	0.03373329307626832
46.0	0.03280221827437183
47.0	0.03194463567542124
48.0	0.030657331966735406
49.0	0.02950764017652113
50.0	0.028627072667944748
51.0	0.030435070122198638
52.0	0.023694094507253745
53.0	0.025530432578230705
54.0	0.024429686000099825
55.0	0.023088230141874912
56.0	0.021880890115544175
57.0	0.020655474577760142
58.0	0.019473276620858262
59.0	0.018079602618434956
60.0	0.01665833184749654
61.0	0.01537935923873979
62.0	0.014198277054149843
63.0	0.01312192869723987
64.0	0.012070573640117162
65.0	0.011107364595637048
66.0	0.01014765163773432
67.0	0.009144423559666258
68.0	0.008177569658967168
69.0	0.007353906538299293
70.0	0.006557914570967322
71.0	0.005661577480382306
72.0	0.004948896512341224
73.0	0.004289623845631264
74.0	0.0037843277579678604
75.0	0.003346275548303531
76.0	0.0029522591525501015
77.0	0.0026881186539055037
78.0	0.002511752243799523
79.0	0.002399579934040004
80.0	0.002208634099058117
81.0	0.002085750375104055
82.0	0.0019350467281724995
83.0	0.0016729146196893794
84.0	0.0013875000622972874
85.0	0.0010294115349880535
86.0	7.685439684584557E-4
87.0	6.024426636222447E-4
88.0	4.1930723482387877E-4
89.0	2.734386012440266E-4
90.0	1.4118238986973952E-4
91.0	7.988929753429941E-5
92.0	3.972149430476339E-5
93.0	1.874497484045014E-5
94.0	7.364097258748268E-6
95.0	3.6448562189764154E-6
96.0	1.1157723119315558E-6
97.0	8.182330287498077E-7
98.0	5.950785663634965E-7
99.0	9.670026703406817E-7
100.0	1.1827186506474492E-5
