name,sites,lnL,parameters,subsets,aic,aicc,bic
start_scheme,15506,-28151.59,417,41,57137.18,57160.29,60326.81
step_1,15506,-28151.70,408,40,57119.41,57141.52,60240.19
step_2,15506,-28151.87,399,39,57101.74,57122.87,60153.69
step_3,15506,-28152.25,390,38,57084.51,57104.69,60067.61
step_4,15506,-28151.68,382,37,57067.36,57086.71,59989.27
step_5,15506,-28152.77,373,36,57051.55,57069.98,59904.62
step_6,15506,-28153.92,364,35,57035.83,57053.38,59820.06
step_7,15506,-28155.45,355,34,57020.90,57037.59,59736.29
step_8,15506,-28157.14,346,33,57006.28,57022.12,59652.83
step_9,15506,-28158.82,337,32,56991.65,57006.67,59569.35
step_10,15506,-28160.90,328,31,56977.80,56992.02,59486.67
step_11,15506,-28163.11,319,30,56964.23,56977.67,59404.25
step_12,15506,-28165.54,310,29,56951.08,56963.77,59322.26
step_13,15506,-28168.16,301,28,56938.32,56950.28,59240.66
step_14,15506,-28171.93,291,27,56925.87,56937.04,59151.72
step_15,15506,-28174.89,282,26,56913.78,56924.27,59070.80
step_16,15506,-28180.03,271,25,56902.07,56911.75,58974.94
step_17,15506,-28183.20,262,24,56890.40,56899.44,58894.43
step_18,15506,-28186.38,253,23,56878.77,56887.19,58813.96
step_19,15506,-28189.25,245,22,56868.49,56876.39,58742.49
step_20,15506,-28193.41,236,21,56858.82,56866.14,58663.98
step_21,15506,-28199.26,225,20,56848.53,56855.18,58569.55
step_22,15506,-28203.37,216,19,56838.74,56844.87,58490.92
step_23,15506,-28207.72,207,18,56829.43,56835.06,58412.77
step_24,15506,-28213.27,197,17,56820.53,56825.63,58327.38
step_25,15506,-28218.35,188,16,56812.70,56817.34,58250.71
step_26,15506,-28224.99,179,15,56807.99,56812.19,58177.15
step_27,15506,-28232.28,170,14,56804.57,56808.36,58104.89
