P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
antarcticus	chilensis	longicaudus	0.00204507	0.0814497	0.467542	2.57337e-05	62345.9	525.708	523.562
chilensis	antarcticus	maccormicki	0.159517	15.7884	0	0.19411	2956.94	2713.3	1966.75
chilensis	antarcticus	parasiticus	0.00398867	0.191182	0.424191	4.13004e-05	63187.9	561.104	556.646
antarcticus	chilensis	pomarinus	0.000987288	0.0919225	0.46338	0.00101115	10161.5	1485.61	1482.68
chilensis	antarcticus	skua	0.214905	13.25	0	0.14856	3259.26	2895.51	1871.14
maccormicki	antarcticus	longicaudus	0.00597433	0.305023	0.380174	7.22859e-05	72185.5	584.078	577.141
parasiticus	longicaudus	antarcticus	0.0177355	2.31393	0.0103358	0.00237048	37907.8	5296.68	5112.08
antarcticus	pomarinus	longicaudus	0.0583465	5.03043	2.44687e-07	0.00152535	63085.2	1324.52	1178.48
skua	antarcticus	longicaudus	0.00151846	0.0714381	0.471525	1.93196e-05	71086.7	604.599	602.766
maccormicki	antarcticus	parasiticus	0.00347788	0.168175	0.433223	3.44668e-05	73386.6	619.141	614.849
maccormicki	antarcticus	pomarinus	0.0144541	1.2058	0.113948	0.0149942	11562.2	1728.78	1679.52
maccormicki	antarcticus	skua	0.22521	20.5604	0	0.154861	3554.08	3395.54	2147.25
antarcticus	pomarinus	parasiticus	0.0603035	4.25051	1.06643e-05	0.00128705	64211.1	1406.99	1246.95
skua	antarcticus	parasiticus	0.00767018	0.38983	0.348331	8.0564e-05	72293.7	651.401	641.484
antarcticus	skua	pomarinus	0.0837337	7.44407	4.88163e-14	0.0996974	11317.2	2087.67	1765.07
chilensis	maccormicki	longicaudus	0.00167276	0.0696041	0.472254	2.29881e-05	61402.6	573.865	571.948
parasiticus	longicaudus	chilensis	0.0142341	1.77232	0.0381704	0.00190713	33028.1	4644.84	4514.47
chilensis	pomarinus	longicaudus	0.0633694	4.72271	1.16364e-06	0.00170666	54296.6	1193.69	1051.42
chilensis	skua	longicaudus	0.00409878	0.170753	0.432209	6.13411e-05	60180.3	620.094	615.031
chilensis	maccormicki	parasiticus	0.00891726	0.390937	0.347922	0.000100522	62232.2	614.031	603.177
maccormicki	chilensis	pomarinus	0.01198	1.02315	0.153119	0.0135757	9382.08	1697.67	1657.47
maccormicki	chilensis	skua	0.00960444	0.635853	0.262436	0.00709551	3014.34	2597.3	2547.89
chilensis	pomarinus	parasiticus	0.0621031	4.53871	2.82992e-06	0.00137428	55095.2	1269.13	1120.71
chilensis	skua	parasiticus	0	0	0.5	0	61011.3	656.078	656.078
chilensis	skua	pomarinus	0.0756904	6.83186	4.19093e-12	0.0999921	8942.61	2055.07	1765.86
parasiticus	longicaudus	maccormicki	0.017918	2.1879	0.0143385	0.00247449	37901.7	5285.69	5099.61
maccormicki	pomarinus	longicaudus	0.060729	4.49164	3.53377e-06	0.00159148	63032.6	1330.92	1178.52
maccormicki	skua	longicaudus	0.00456526	0.25683	0.398655	6.51209e-05	69917.8	678.474	672.307
parasiticus	longicaudus	pomarinus	0.0181088	2.22746	0.0129583	0.00291015	37789.8	5321.17	5131.88
parasiticus	longicaudus	skua	0.0180309	2.196	0.0140461	0.00240777	37494.3	5247.28	5061.41
skua	pomarinus	longicaudus	0.0592123	3.89401	4.92995e-05	0.00153468	62536	1302.31	1156.71
maccormicki	pomarinus	parasiticus	0.0617819	4.35352	6.69856e-06	0.00132165	64154.3	1412.47	1248.1
skua	maccormicki	parasiticus	0.00270704	0.159063	0.436809	3.13075e-05	71102.7	713.805	709.951
maccormicki	skua	pomarinus	0.085136	8.48438	1.0842e-17	0.111567	10345.7	2366.23	1994.93
skua	pomarinus	parasiticus	0.0658065	4.9919	2.98936e-07	0.00139402	63654.1	1389.15	1217.61
