0.0326829,-0.0891295,0.117457,0.0549587,0.173632,0.222841,0.0492142,-0.0462675,-0.103178,-0.133,-0.0833943,-0.000368053,-0.198016,-0.0294416,-0.0342374,0.0747346,0.212457,-0.0546922,-0.00564972,-0.0130208	-0.985692,-0.985084,-0.985424,-0.982787,-0.983844,-0.982695,-0.982402,-0.982487,-0.987507,-0.987641,-0.984251,-0.981837,-0.985976,-0.980484,-0.985579,-0.98403,-0.97903,-0.980188,-0.980483,-0.978802	0.986592,0.982191,0.98847,0.984567,0.988597,0.988968,0.98404,0.980804,0.984654,0.98388,0.981412,0.981823,0.979124,0.979313,0.984565,0.986235,0.986329,0.977921,0.980263,0.978248
-0.136087,-0.142837,-0.122316,-0.170961,-0.269149,-0.245091,-0.131096,-0.143969,-0.13674,-0.17551,-0.217176,-0.0980258,-0.0850973,-0.149269,-0.168192,-0.179584,-0.158516,-0.142976,-0.200474,-0.147347	-0.111179,-0.167175,-0.149839,-0.232642,-0.269125,-0.193595,-0.22553,-0.109422,-0.22327,-0.266645,-0.245921,-0.174501,-0.137288,-0.21963,-0.192313,-0.188669,-0.230427,-0.191957,-0.244032,-0.231058	-0.0252902,0.0249331,0.0280364,0.064236,-2.62178e-05,-0.0540609,0.0973116,-0.0351,0.0892543,0.0956093,0.0303671,0.0778065,0.0528078,0.0727458,0.0249279,0.0094035,0.0746379,0.0503628,0.0457994,0.0866612
-0.11803,-0.0867939,0.0783217,0.105935,0.0621915,0.171058,-0.0153846,-0.0892511,-0.0743714,-0.0492005,-0.103534,-0.0229323,-0.189794,-0.00445434,0.0671277,0.105361,0.111514,-0.000628141,0.0338206,-0.0308255	-0.987277,-0.98365,-0.984071,-0.980286,-0.98556,-0.981851,-0.982667,-0.98348,-0.985148,-0.985182,-0.984284,-0.982962,-0.985464,-0.979032,-0.98277,-0.981596,-0.981063,-0.980352,-0.977849,-0.977174	0.983899,0.980573,0.986369,0.984033,0.98724,0.987119,0.98213,0.980274,0.982781,0.983661,0.980689,0.98217,0.978726,0.978846,0.984922,0.985078,0.984834,0.980328,0.979283,0.97574
-0.0188803,-0.00296952,0.0388844,0.019287,-0.0506726,-0.0411705,-0.0176584,0.0508103,-0.116881,-0.0659202,-0.0441883,0.0447406,0.0279378,-0.0543993,0.0192317,0.0395374,0.0453396,-0.00904351,0.0365765,0.0583566	-0.743612,-0.801434,-0.728639,-0.731577,-0.779379,-0.803167,-0.725757,-0.671945,-0.768423,-0.787346,-0.746138,-0.744258,-0.723979,-0.762428,-0.747259,-0.758027,-0.711206,-0.75958,-0.720795,-0.693758	0.735052,0.800369,0.746377,0.740417,0.758668,0.788055,0.717291,0.698894,0.715834,0.760919,0.725883,0.763572,0.73701,0.738665,0.755632,0.774356,0.732912,0.755727,0.737917,0.722849
-0.24725,-0.260478,-0.200891,-0.110436,-0.277179,-0.389405,-0.266196,-0.20198,-0.270998,-0.267833,-0.23468,-0.148521,-0.132095,-0.137805,-0.198627,-0.333971,-0.158089,-0.19769,-0.217881,-0.128747	-0.263112,-0.259886,-0.264682,-0.160171,-0.342363,-0.359754,-0.233725,-0.278423,-0.359995,-0.329725,-0.321784,-0.214478,-0.300368,-0.224554,-0.239225,-0.325819,-0.280709,-0.233841,-0.206627,-0.250996	0.0169649,-0.000635274,0.0673732,0.0506299,0.072019,-0.0344814,-0.0346252,0.0809982,0.0986184,0.0678879,0.094219,0.0681265,0.175225,0.0895192,0.0426232,-0.00914775,0.128315,0.0379035,-0.011784,0.126331
-0.985447,-0.986956,-0.985291,-0.985574,-0.986613,-0.983246,-0.983843,-0.983597,-0.98852,-0.984805,-0.98451,-0.984111,-0.982743,-0.979578,-0.987079,-0.983951,-0.982987,-0.981537,-0.982335,-0.979979	0.0591774,-0.00933195,-0.0719882,0.0828394,0.00722175,0.206398,-0.0397034,-0.00793365,-0.0899258,-0.031313,0.00975551,-0.102534,0.013167,0.141441,0.0597572,0.0692504,-0.0733319,-0.0193251,-0.177358,-0.0206955	-0.987062,-0.986712,-0.983028,-0.987767,-0.986803,-0.988947,-0.982518,-0.983337,-0.986267,-0.983831,-0.984807,-0.980516,-0.983188,-0.9846,-0.988528,-0.986015,-0.980321,-0.980816,-0.974813,-0.979142
0.749258,0.818412,0.763871,0.734334,0.739671,0.758645,0.783959,0.735569,0.752966,0.798818,0.785738,0.798198,0.748668,0.78787,0.777211,0.803715,0.726704,0.726326,0.743501,0.68866	0.756678,0.78236,0.741821,0.742009,0.724496,0.762064,0.75634,0.735466,0.77042,0.794877,0.774961,0.779045,0.747775,0.77396,0.77469,0.790496,0.710438,0.710117,0.753102,0.690809	-0.0171346,0.100227,0.0508843,-0.0168646,0.032697,-0.00810455,0.0678492,0.000223314,-0.0415667,0.0107955,0.0275579,0.0506482,0.0020302,0.0356473,0.00633562,0.0362484,0.0336261,0.033475,-0.0218163,-0.00409783
-0.966811,-0.955166,-0.964098,-0.955988,-0.959506,-0.964009,-0.957552,-0.964235,-0.968719,-0.965466,-0.959604,-0.95128,-0.95776,-0.952599,-0.960328,-0.955956,-0.95606,-0.955131,-0.952449,-0.954619	0.0190006,0.108907,0.0235543,0.0779364,0.133521,0.0354288,0.0614807,0.0469333,-0.0871036,0.0836872,0.0520523,0.0424744,0.00891672,0.0720474,0.10844,0.148847,0.0808574,0.0152233,0.0858792,0.0344294	-0.968028,-0.963813,-0.965722,-0.962232,-0.968898,-0.966431,-0.962376,-0.96739,-0.96286,-0.970722,-0.963528,-0.955161,-0.958491,-0.958839,-0.967966,-0.967182,-0.962511,-0.956447,-0.95982,-0.957576
-0.985376,-0.985977,-0.985804,-0.982757,-0.986007,-0.985067,-0.984761,-0.98621,-0.98746,-0.982988,-0.984754,-0.982429,-0.979048,-0.976979,-0.98401,-0.986959,-0.980084,-0.978772,-0.978159,-0.980016	0.00848485,-0.129751,-0.0342811,0.138037,-0.0373906,0.137543,-0.00114329,-0.198217,-0.141381,0.0657941,0.0417633,-0.0423515,0.039087,0.18663,0.0301564,-0.0677228,0.0189417,0.0121131,-0.000514139,-0.0694197	-0.98562,-0.981834,-0.984804,-0.986912,-0.984928,-0.988658,-0.984727,-0.979461,-0.983364,-0.985072,-0.985968,-0.980889,-0.980609,-0.984163,-0.984939,-0.985078,-0.980818,-0.979274,-0.978137,-0.977069
0.0374551,-0.0316387,-0.109414,0.148985,-0.0255271,0.161598,-0.0276923,0.0404426,-0.0897436,0.0441421,-0.064895,-0.114752,-0.00693602,0.135828,0.0925848,0.0692699,-0.14334,0.0464588,-0.121225,-0.0128286	-0.984395,-0.986406,-0.985166,-0.983808,-0.985876,-0.98322,-0.982855,-0.981951,-0.987639,-0.98276,-0.985431,-0.984312,-0.983325,-0.979844,-0.985332,-0.983083,-0.983696,-0.981408,-0.980864,-0.976175	0.985513,0.985524,0.981555,0.987982,0.985141,0.987861,0.981887,0.983343,0.985219,0.984206,0.983426,0.980285,0.983094,0.984628,0.987803,0.985259,0.978299,0.983044,0.975649,0.975563
