chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chrZ	524583	911280	0.268930	0.156988	0.069665	0.255077
chrZ	917265	1186137	-0.065106	-0.051865	-0.019124	-0.060190
chrZ	1187053	1682529	0.295938	0.176913	0.115139	0.257585
chrZ	1683532	2587902	0.390056	0.241005	0.153886	0.365380
chrZ	2592673	3046402	-0.091241	-0.068306	-0.037097	-0.071197
chrZ	3046443	3487155	0.383663	0.279847	0.170260	0.325843
chrZ	3488588	3740596	0.325589	0.248501	0.127140	0.275090
chrZ	3753252	3965906	-0.155411	-0.148754	-0.061100	-0.125461
chrZ	3967141	4206723	0.170316	0.126496	0.071429	0.144330
chrZ	4206852	4295879	0.212413	0.239253	0.140097	0.154385
chrZ	4295942	4329717	0.643128	0.538920	0.407875	0.490423
chrZ	4339695	4368920	0.232427	0.241480	0.130423	0.171271
chrZ	4369764	4404107	0.454302	0.323800	0.241241	0.361476
chrZ	4404123	4434222	0.111111	0.085629	0.055128	0.085828
chrZ	4448181	4485295	0.455672	0.312699	0.250906	0.373769
chrZ	4486927	4511889	0.300833	0.322609	0.204881	0.235179
chrZ	4513534	4542910	0.084316	0.112079	0.061642	0.064484
chrZ	4542922	4556613	0.125000	0.106362	0.066111	0.088503
chrZ	4556715	4577804	0.528285	0.349957	0.225860	0.408204
chrZ	4578613	4614182	0.162073	0.129515	0.067836	0.111448
chrZ	4615166	4633190	0.243743	0.318408	0.154217	0.156863
chrZ	4633208	4661274	0.363463	0.349337	0.212458	0.273239
chrZ	4665458	4867898	0.388817	0.330060	0.216458	0.320275
chrZ	4887194	5102753	0.430428	0.353754	0.229749	0.353083
chrZ	5102780	5285807	0.426672	0.372595	0.247030	0.351707
chrZ	5285919	5352030	0.472776	0.538782	0.321445	0.404545
chrZ	5352114	5515987	0.500600	0.391743	0.285178	0.452084
chrZ	5524679	5766634	0.411024	0.446345	0.252357	0.303842
chrZ	5768559	6775023	0.622278	0.509959	0.310119	0.566621
chrZ	6775129	6871817	0.356098	0.390754	0.235553	0.286071
chrZ	6871913	7090921	0.663418	0.653649	0.483199	0.532048
chrZ	7090952	7386533	0.502037	0.483137	0.261793	0.406869
chrZ	7400179	8110623	0.627574	0.442830	0.278912	0.568532
chrZ	8122177	8835313	0.323353	0.213326	0.133641	0.271084
chrZ	8835446	8916820	0.310688	0.329175	0.195776	0.239358
chrZ	8926579	9067267	0.720685	0.634939	0.379203	0.651967
chrZ	9075037	9201629	0.333737	0.370794	0.211435	0.290153
chrZ	9208201	9292369	0.302557	0.259835	0.166147	0.233297
chrZ	9292535	9371602	0.347945	0.456131	0.246807	0.262940
chrZ	9371663	9459048	0.527798	0.532411	0.328835	0.421812
chrZ	9459059	9607280	0.550696	0.491135	0.316934	0.488536
chrZ	9607347	10036957	0.238887	0.216532	0.119856	0.218463
chrZ	10037011	10859342	0.297702	0.165429	0.119759	0.284910
chrZ	10874231	11332085	0.400806	0.315706	0.192710	0.372285
chrZ	11340960	11837471	0.149326	0.091661	0.059359	0.131313
chrZ	11843113	12469225	0.181414	0.108402	0.070492	0.180684
chrZ	12479010	13060469	-0.162632	-0.104196	-0.057087	-0.144273
chrZ	13064150	14484809	0.377551	0.229360	0.154621	0.335056
chrZ	14484912	15252978	0.252137	0.188750	0.098170	0.210238
chrZ	15296612	16560738	0.423500	0.242322	0.165976	0.396047
chrZ	16576717	17557572	0.607505	0.394133	0.265707	0.581053
chrZ	17557578	18180899	0.490652	0.407625	0.253699	0.445473
chrZ	18180905	19038886	0.421564	0.299945	0.199685	0.398743
chrZ	19042285	19280673	0.678271	0.477398	0.339850	0.626575
chrZ	19283519	20418610	0.338710	0.248175	0.159197	0.330862
chrZ	20442224	21751766	0.589448	0.376812	0.234119	0.571086
chrZ	21777955	22468429	0.074109	0.062998	0.035698	0.057706
chrZ	22468472	23761485	0.490647	0.427051	0.291163	0.465211
chrZ	23781255	24947289	0.516995	0.372769	0.221145	0.495974
chrZ	24977201	25698980	0.277129	0.231408	0.133389	0.272418
chrZ	25699083	26627077	0.795444	0.524449	0.385347	0.759371
chrZ	26679334	28049119	0.451411	0.311857	0.194545	0.444278
chrZ	28075254	29021895	0.458355	0.349232	0.204082	0.422094
chrZ	29156746	31715251	0.170055	0.083802	0.054063	0.154019
chrZ	31832996	34963684	0.270283	0.122866	0.082490	0.246617
chrZ	35002989	36791555	0.193396	0.120147	0.076114	0.188073
chrZ	36873575	38503496	0.370166	0.274269	0.158406	0.346124
chrZ	38503511	41559739	0.207657	0.128544	0.081705	0.200374
chrZ	41559756	43832247	0.465894	0.332909	0.181156	0.445671
chrZ	43834158	45406992	0.438026	0.348325	0.209557	0.431280
chrZ	45472069	49016086	0.277802	0.311282	0.172143	0.271963
chrZ	49174801	52202780	0.621394	0.436840	0.329264	0.603267
chrZ	52254141	53579071	0.354442	0.285714	0.159263	0.338555
chrZ	53594873	54471588	0.805493	0.637629	0.392286	0.775444
chrZ	54476777	57042074	0.599637	0.439454	0.294144	0.588419
chrZ	57046356	61366841	0.459954	0.378412	0.235685	0.459954
chrZ	61524088	64013242	0.418622	0.263321	0.144934	0.370168
chrZ	64107914	65481217	0.487485	0.235491	0.151932	0.442928
chrZ	65481225	68078866	0.222093	0.123722	0.072100	0.208711
chrZ	68121515	69180452	0.099882	0.071720	0.042405	0.099183
chrZ	69211431	71996721	0.319781	0.227002	0.134032	0.310319
chrZ	72039668	73751635	0.665077	0.355524	0.249917	0.660874
chrZ	73810036	75098877	0.569493	0.308424	0.218648	0.555766
chrZ	75100463	76906047	0.148649	0.107967	0.061579	0.145119
chrZ	76940069	78226295	0.589610	0.331912	0.224808	0.567500
chrZ	78237464	80576505	0.416922	0.223646	0.146640	0.401435
chrZ	80581809	81583517	0.476665	0.249582	0.175117	0.469179
chrZ	81585208	82571543	0.218857	0.082603	0.056874	0.212545
chrZ	82607447	84385318	0.445431	0.242671	0.159413	0.436771
