chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chrZ	523661	888873	-0.105882	-0.052188	-0.025971	-0.112690
chrZ	911280	1234103	-0.166942	-0.093224	-0.038395	-0.159055
chrZ	1234116	1806539	-0.006187	-0.003787	-0.002341	-0.023630
chrZ	1828607	2592673	-0.007344	-0.004075	-0.002450	-0.005381
chrZ	2596921	3046402	-0.185407	-0.101002	-0.057763	-0.151515
chrZ	3046443	3477103	0.183965	0.105114	0.065256	0.177350
chrZ	3481110	3704044	-0.044113	-0.027223	-0.015710	-0.038387
chrZ	3714007	3972120	-0.245257	-0.164920	-0.082348	-0.208452
chrZ	3972466	4195422	0.376855	0.246794	0.150796	0.321845
chrZ	4198751	4295942	0.184909	0.197345	0.103745	0.133773
chrZ	4295962	4338750	0.441657	0.461867	0.301594	0.289927
chrZ	4339695	4366397	0.079614	0.095032	0.042636	0.049254
chrZ	4368797	4397689	0.234994	0.209448	0.132517	0.149351
chrZ	4402648	4426859	0.216851	0.225413	0.115060	0.130724
chrZ	4426988	4474925	0.278324	0.233001	0.155942	0.191323
chrZ	4474934	4498696	0.293286	0.277437	0.173640	0.198091
chrZ	4500307	4526615	0.264574	0.323953	0.162032	0.150127
chrZ	4526901	4545133	0.209733	0.308085	0.162551	0.130310
chrZ	4545153	4564112	0.197349	0.142629	0.078477	0.118794
chrZ	4564142	4581695	0.169452	0.158619	0.079599	0.120000
chrZ	4581991	4620422	0.042384	0.041158	0.019036	0.023774
chrZ	4620500	4630209	0.105092	0.225844	0.091769	0.065057
chrZ	4630668	4651304	0.076670	0.090850	0.048594	0.053977
chrZ	4651512	4786503	0.364542	0.375462	0.244326	0.268407
chrZ	4787735	5042805	0.397309	0.209655	0.135412	0.281613
chrZ	5042902	5263200	0.423881	0.358069	0.262477	0.312579
chrZ	5270242	5350338	0.530380	0.474698	0.249158	0.377138
chrZ	5350506	5480927	0.444692	0.440441	0.301005	0.345245
chrZ	5481047	5656254	0.218270	0.222272	0.127895	0.152782
chrZ	5659602	6752825	0.293908	0.195035	0.116361	0.242006
chrZ	6755309	6871467	0.518473	0.471305	0.287645	0.404814
chrZ	6871485	7023161	0.599130	0.541667	0.404699	0.422959
chrZ	7023657	7358353	0.350136	0.301998	0.175467	0.230493
chrZ	7368149	8122177	0.556630	0.263953	0.169823	0.431967
chrZ	8122201	8843334	0.243813	0.181446	0.102151	0.152174
chrZ	8843996	8926579	0.383742	0.384892	0.246544	0.235337
chrZ	8929098	9084148	0.629571	0.479855	0.267568	0.465882
chrZ	9085375	9210451	0.317836	0.246503	0.148808	0.224201
chrZ	9210475	9313914	0.180534	0.188834	0.106309	0.130682
chrZ	9313982	9395794	0.373874	0.396750	0.203431	0.252587
chrZ	9396286	9495048	0.552699	0.485015	0.284714	0.405333
chrZ	9495049	9619108	0.436670	0.319507	0.215708	0.349398
chrZ	9619241	10259165	0.287661	0.140038	0.088756	0.242296
chrZ	10259174	11113102	0.100000	0.025933	0.020458	0.097368
chrZ	11120530	11797155	0.058271	0.025194	0.016547	0.050967
chrZ	11800531	12144957	0.155663	0.061578	0.047934	0.143992
chrZ	12154145	12752296	-0.024612	-0.015705	-0.008364	-0.020852
chrZ	12758584	14335263	0.105263	0.039395	0.027628	0.076427
chrZ	14337892	15159111	0.178782	0.081548	0.052896	0.133388
chrZ	15167231	16556151	0.346053	0.141393	0.095101	0.295536
chrZ	16560723	17672976	0.427982	0.123394	0.094290	0.353563
chrZ	17674434	18636147	0.380551	0.183072	0.119759	0.345938
chrZ	18643366	19144269	0.443649	0.370887	0.231056	0.358663
chrZ	19158380	19381332	0.435009	0.248884	0.192522	0.385561
chrZ	19381368	20632867	0.236103	0.082598	0.062476	0.203759
chrZ	20650492	22432755	0.180838	0.050691	0.034349	0.162764
chrZ	22442164	23254128	0.467370	0.284573	0.210276	0.388667
chrZ	23313103	24511181	0.197933	0.099095	0.062962	0.159594
chrZ	24649165	25698980	0.296621	0.126097	0.086260	0.287273
chrZ	25699083	27389970	0.666890	0.220621	0.171443	0.623043
chrZ	27479801	28528523	0.415276	0.166582	0.114473	0.394386
chrZ	28528548	30509520	0.125402	0.034669	0.025806	0.107735
chrZ	30620429	35804893	0.251682	0.043367	0.033763	0.220126
chrZ	35804922	37945080	0.423888	0.157334	0.122125	0.408578
chrZ	37945115	41559629	0.299110	0.070727	0.053245	0.262556
chrZ	41559635	44712925	0.417309	0.096480	0.070819	0.396825
chrZ	44753500	48144835	-0.129129	-0.051394	-0.035207	-0.126844
chrZ	48317989	52687020	0.536555	0.141088	0.120072	0.517324
chrZ	52728828	54262001	0.332630	0.085171	0.061534	0.326429
chrZ	54265269	57565785	0.633055	0.199980	0.163393	0.600894
chrZ	57615918	62745797	0.229649	0.050199	0.039885	0.224080
chrZ	62891360	66841214	0.404409	0.083436	0.059422	0.389098
chrZ	66993797	69013460	0.118747	0.029517	0.021210	0.111565
chrZ	69019648	72521406	0.269115	0.081569	0.060894	0.266230
chrZ	72563411	74564420	0.641152	0.196717	0.148955	0.592565
chrZ	74593838	76415245	0.358148	0.150846	0.107706	0.339940
chrZ	76432573	78313491	0.465686	0.154419	0.113880	0.452381
chrZ	78380390	80925041	0.513018	0.163448	0.115115	0.493488
chrZ	80926067	82456205	0.368557	0.116229	0.084320	0.357775
chrZ	82456573	84412757	0.446721	0.167558	0.118143	0.433635
