chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chrZ	576882	917265	0.171681	0.122166	0.051527	0.137763
chrZ	917270	1285305	-0.286462	-0.136965	-0.067064	-0.268160
chrZ	1287526	2287986	0.133550	0.079721	0.050667	0.127329
chrZ	2323658	2881643	0.167286	0.089689	0.058523	0.144138
chrZ	2891869	3323269	0.212635	0.176961	0.100571	0.203414
chrZ	3340938	3638246	0.212230	0.123431	0.074944	0.198718
chrZ	3647366	3838956	-0.107472	-0.075485	-0.039833	-0.099730
chrZ	3872773	4114340	0.238095	0.190409	0.103979	0.194245
chrZ	4117748	4280660	0.133981	0.106866	0.062985	0.106317
chrZ	4282923	4323430	0.393175	0.327430	0.224007	0.281018
chrZ	4324159	4369764	0.229199	0.229319	0.105669	0.152083
chrZ	4371600	4405468	0.442834	0.309801	0.238646	0.330927
chrZ	4405470	4432378	0.253414	0.295401	0.160886	0.176346
chrZ	4432662	4493431	0.286313	0.258947	0.158669	0.209397
chrZ	4493675	4520831	0.138329	0.183673	0.095777	0.097561
chrZ	4520879	4545400	0.186846	0.275128	0.135379	0.131165
chrZ	4545413	4565885	0.315108	0.242614	0.129611	0.234225
chrZ	4565889	4602836	0.117232	0.109740	0.054737	0.084264
chrZ	4602890	4626987	-0.022222	-0.027216	-0.014450	-0.014146
chrZ	4627148	4639552	0.277603	0.417722	0.212903	0.190476
chrZ	4640098	4763243	0.265743	0.191008	0.131246	0.201123
chrZ	4763455	5056839	0.535185	0.323628	0.222851	0.454545
chrZ	5085085	5275498	0.413834	0.323853	0.224745	0.324151
chrZ	5276421	5351853	0.430499	0.425712	0.216369	0.310613
chrZ	5351916	5515987	0.487500	0.331288	0.235373	0.381107
chrZ	5524679	5766634	0.274093	0.292130	0.167559	0.194321
chrZ	5766773	6775129	0.578237	0.517644	0.289553	0.491551
chrZ	6775621	6881393	0.242424	0.282511	0.153378	0.189011
chrZ	6882793	7154096	0.605906	0.581055	0.395963	0.487305
chrZ	7154914	7913979	0.500000	0.410769	0.238120	0.422946
chrZ	7914036	8814586	0.416249	0.311640	0.185489	0.351993
chrZ	8817058	8881551	0.282967	0.338630	0.191747	0.202358
chrZ	8883932	9060938	0.637665	0.467438	0.291786	0.523982
chrZ	9061048	9208201	0.427455	0.317754	0.191756	0.308155
chrZ	9210443	9292765	0.230337	0.301766	0.161206	0.167074
chrZ	9298142	9386347	0.447867	0.487952	0.302319	0.345521
chrZ	9395292	9508930	0.412383	0.500709	0.237817	0.334597
chrZ	9508946	9733861	0.428027	0.338698	0.230414	0.370157
chrZ	9773328	10413193	0.199609	0.185849	0.096897	0.171141
chrZ	10421518	11092027	0.545455	0.300229	0.219635	0.530973
chrZ	11096719	11697066	0.169716	0.133300	0.079601	0.160464
chrZ	11706135	12154145	0.311321	0.165808	0.115065	0.300631
chrZ	12159267	12832975	-0.088129	-0.049205	-0.028403	-0.075269
chrZ	12833002	14484583	0.328632	0.191954	0.130679	0.297443
chrZ	14484592	15296612	0.412098	0.396604	0.198633	0.338583
chrZ	15296697	17018985	0.420485	0.180173	0.121464	0.397959
chrZ	17036572	17882781	0.578842	0.492360	0.325173	0.549242
chrZ	17898732	18643366	0.480963	0.387036	0.238016	0.463670
chrZ	18643900	19137348	0.507886	0.580413	0.292314	0.375887
chrZ	19137766	19552941	0.661017	0.606218	0.459544	0.625000
chrZ	19575783	21147894	0.442171	0.160099	0.108673	0.356272
chrZ	21180040	22466999	0.344444	0.211749	0.119969	0.262267
chrZ	22467047	24054263	0.431048	0.534354	0.276077	0.373889
chrZ	24056613	25120117	0.571336	0.400274	0.254056	0.526727
chrZ	25172582	26438900	0.551232	0.417622	0.246305	0.529265
chrZ	26456885	27713516	0.743396	0.509263	0.335732	0.696113
chrZ	27742701	28764970	0.340237	0.227348	0.143795	0.335180
chrZ	28777398	30509520	0.417808	0.286161	0.182617	0.393548
chrZ	30923344	34676906	0.394958	0.253293	0.159970	0.365854
chrZ	34758963	36756237	0.424242	0.255828	0.162367	0.418391
chrZ	36791232	39877049	0.439646	0.305111	0.175729	0.415318
chrZ	39877138	43538104	0.397864	0.175225	0.111541	0.391076
chrZ	43614373	45472069	0.489083	0.381045	0.232560	0.460503
chrZ	45472262	49038857	0.191763	0.186444	0.110616	0.187894
chrZ	49319576	52758932	0.660281	0.356429	0.270893	0.599073
chrZ	52763706	53923884	0.599147	0.553422	0.305518	0.599147
chrZ	53927232	55391294	0.605721	0.433113	0.274637	0.590303
chrZ	55403663	60235400	0.426710	0.330808	0.193406	0.411691
chrZ	60235401	64196534	0.717887	0.247448	0.181441	0.660044
chrZ	64198640	67643028	0.269231	0.113759	0.070075	0.267994
chrZ	67654705	69234795	0.250485	0.114531	0.075272	0.240223
chrZ	69235124	73137524	0.165423	0.064076	0.042578	0.161998
chrZ	73241398	75047060	0.656325	0.186325	0.145805	0.645977
chrZ	75047081	77464898	0.265957	0.134273	0.081733	0.255102
chrZ	77497315	80074839	0.626765	0.325851	0.238775	0.616174
chrZ	80075415	81339026	0.649968	0.328983	0.217361	0.638629
chrZ	81364546	82548891	0.305573	0.104521	0.077515	0.297597
