chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chrZ	469139	774564	0.081719	0.052698	0.022412	0.074330
chrZ	774669	1083591	0.064388	0.032188	0.014093	0.047273
chrZ	1084126	1285305	0.125490	0.074795	0.038543	0.103943
chrZ	1287934	1898056	0.030636	0.026183	0.013035	0.025474
chrZ	1907539	2569073	-0.223553	-0.134669	-0.070923	-0.184591
chrZ	2569076	2942045	-0.100358	-0.088983	-0.043266	-0.093093
chrZ	2985128	3359145	-0.191829	-0.160297	-0.071535	-0.154286
chrZ	3370278	3620116	-0.090278	-0.056758	-0.030277	-0.069069
chrZ	3622473	3875024	-0.095841	-0.052545	-0.030315	-0.082942
chrZ	3876446	4114104	0.107692	0.086757	0.040380	0.083212
chrZ	4114340	4274240	0.303279	0.227926	0.120915	0.248322
chrZ	4274867	4320930	0.067524	0.047458	0.028308	0.042596
chrZ	4321036	4357827	0.054313	0.066234	0.029093	0.037199
chrZ	4357869	4384739	0.278333	0.284659	0.158645	0.175236
chrZ	4384822	4413656	0.488000	0.377631	0.304391	0.326902
chrZ	4413736	4467265	0.325175	0.257143	0.150364	0.206208
chrZ	4467304	4493759	0.122047	0.131697	0.069524	0.089447
chrZ	4494924	4522264	0.163194	0.158873	0.085248	0.087850
chrZ	4522292	4545153	0.279869	0.381129	0.194466	0.171171
chrZ	4545400	4565480	0.265176	0.185268	0.100464	0.177730
chrZ	4565625	4594570	0.169628	0.144099	0.076736	0.109405
chrZ	4596274	4624717	0.104000	0.086283	0.047518	0.056522
chrZ	4624844	4633699	0.181208	0.267769	0.145096	0.101887
chrZ	4633740	4665827	0.289308	0.219483	0.143975	0.206544
chrZ	4666535	4896660	0.161137	0.120817	0.069863	0.132007
chrZ	4900088	5184587	0.440838	0.292700	0.201019	0.334924
chrZ	5184621	5328784	0.455711	0.395415	0.243462	0.348294
chrZ	5340116	5427796	0.015089	0.015299	0.007033	0.010795
chrZ	5430782	5533849	0.343284	0.286902	0.182580	0.272727
chrZ	5533877	6084396	0.311705	0.222323	0.126680	0.208511
chrZ	6090286	6844140	0.097902	0.076317	0.042752	0.091445
chrZ	6844151	7023240	0.436823	0.364092	0.216501	0.304786
chrZ	7023242	7254113	0.278351	0.283926	0.140975	0.205212
chrZ	7254123	8122282	0.437687	0.292147	0.159116	0.328839
chrZ	8122283	8835313	0.379553	0.288995	0.156391	0.255740
chrZ	8835446	8937954	0.353242	0.261364	0.176521	0.228729
chrZ	8951038	9081156	0.370672	0.369044	0.170678	0.287975
chrZ	9084148	9210486	0.447724	0.309875	0.184834	0.303840
chrZ	9213042	9305377	0.244842	0.235554	0.138020	0.173152
chrZ	9307351	9407390	0.501823	0.386342	0.251727	0.369740
chrZ	9408330	9517493	0.208428	0.252995	0.108284	0.175120
chrZ	9517551	9669857	0.431925	0.265321	0.188075	0.365672
chrZ	9671499	10481214	0.349378	0.130394	0.093445	0.315829
chrZ	10496361	11168411	0.066667	0.021864	0.015839	0.060403
chrZ	11214977	11850805	0.130045	0.050282	0.035324	0.120000
chrZ	11850824	12237788	0.057895	0.026084	0.018221	0.055980
chrZ	12242986	12766773	-0.141812	-0.075365	-0.044324	-0.119139
chrZ	12820135	14475348	0.140704	0.051028	0.037178	0.131898
chrZ	14475454	15220112	0.158730	0.082234	0.047054	0.121581
chrZ	15220224	16560723	0.382353	0.133952	0.087547	0.366197
chrZ	16560738	17697705	0.320815	0.111346	0.079423	0.275576
chrZ	17697954	18744479	0.470588	0.252788	0.137582	0.391931
chrZ	18744806	19174013	0.513978	0.413733	0.244710	0.416667
chrZ	19174070	19576457	0.358053	0.239288	0.154115	0.299129
chrZ	19576463	20625621	-0.074963	-0.033445	-0.021026	-0.069832
chrZ	20720266	22443872	-0.030195	-0.010682	-0.006345	-0.027553
chrZ	22443878	23691478	0.439716	0.253536	0.173811	0.371257
chrZ	23691644	24973710	0.236865	0.100219	0.063623	0.201761
chrZ	24977201	26456885	0.372214	0.117029	0.086359	0.329822
chrZ	26463372	27983350	0.369004	0.140307	0.100682	0.362791
chrZ	27984641	28962539	0.065617	0.031960	0.018250	0.036351
chrZ	29081191	32118639	-0.063269	-0.021950	-0.014127	-0.060201
chrZ	32118653	36019109	-0.230189	-0.062725	-0.044344	-0.219688
chrZ	36070322	38311779	0.419322	0.170189	0.128896	0.406375
chrZ	38345382	42279837	0.002663	0.000603	0.000438	0.002404
chrZ	42476351	45529573	0.239896	0.058260	0.043200	0.226277
chrZ	45615191	52124484	0.224824	0.053579	0.040855	0.216216
chrZ	52184396	54265378	0.168816	0.041223	0.029440	0.164009
chrZ	54265387	57991746	0.300804	0.097725	0.073072	0.293065
chrZ	58309977	62891360	0.283063	0.073336	0.057927	0.265033
chrZ	62927473	65354393	-0.021986	-0.005649	-0.003544	-0.020680
chrZ	65409325	68600654	0.069926	0.018642	0.013097	0.068310
chrZ	68608039	71908012	0.083700	0.024963	0.017288	0.082251
chrZ	72039668	73609686	0.042220	0.014484	0.009288	0.040556
chrZ	73617164	74696734	0.585678	0.215699	0.137800	0.562201
chrZ	74711763	76804291	-0.128500	-0.050891	-0.032363	-0.117377
chrZ	76835524	79910955	0.437280	0.150020	0.103305	0.431214
chrZ	79950448	81447419	0.170732	0.060978	0.039548	0.164063
chrZ	81448647	82456205	0.074981	0.030547	0.017102	0.069111
chrZ	82456573	83997334	0.593870	0.277419	0.180606	0.552913
