chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chrZ	296688	536837	0.166494	0.022637	0.016701	0.166494
chrZ	545130	734845	-0.231884	-0.033666	-0.024788	-0.216749
chrZ	734856	953399	-0.207500	-0.031541	-0.021779	-0.217604
chrZ	956138	1147517	-0.017391	-0.002080	-0.001552	0.001346
chrZ	1148970	1312348	-0.176904	-0.022512	-0.017091	-0.176730
chrZ	1324801	1609938	0.286578	0.049346	0.035400	0.242494
chrZ	1613109	2276140	0.160134	0.029063	0.020662	0.140969
chrZ	2281132	2597421	0.071346	0.011494	0.008333	0.062780
chrZ	2598030	2881737	-0.131646	-0.018390	-0.013600	-0.151445
chrZ	2881885	3110009	0.070284	0.009256	0.006998	0.083840
chrZ	3110011	3476229	0.168539	0.024873	0.017443	0.165987
chrZ	3476515	3619142	0.081976	0.018510	0.012264	0.081843
chrZ	3619510	3769250	0.068263	0.014727	0.009912	0.084175
chrZ	3769713	3942426	0.008505	0.001335	0.000939	0.004843
chrZ	3944862	4096112	0.376765	0.069005	0.051988	0.360954
chrZ	4107881	4265102	0.269824	0.045156	0.032767	0.259030
chrZ	4265119	4311460	0.259304	0.103242	0.068412	0.177340
chrZ	4311511	4356812	0.301860	0.124545	0.082459	0.209901
chrZ	4356879	4389175	0.443299	0.140852	0.097034	0.327291
chrZ	4390134	4424828	0.544061	0.214322	0.162637	0.380357
chrZ	4426838	4481555	0.425997	0.155533	0.103121	0.349562
chrZ	4481701	4509285	0.227882	0.092224	0.068576	0.161905
chrZ	4509293	4542355	0.176849	0.058480	0.041915	0.141053
chrZ	4542572	4568855	0.232955	0.085849	0.057652	0.139706
chrZ	4569563	4609148	0.333333	0.097378	0.070606	0.228771
chrZ	4609184	4636010	0.118467	0.039284	0.026839	0.071429
chrZ	4636049	4763455	0.238788	0.045434	0.033771	0.185674
chrZ	4763521	5038799	0.360724	0.050076	0.036002	0.329936
chrZ	5038819	5167661	0.367451	0.083931	0.062868	0.315189
chrZ	5184587	5315132	0.380251	0.072250	0.047752	0.285481
chrZ	5316432	5406588	0.112987	0.023421	0.015577	0.080184
chrZ	5408482	5532003	0.143824	0.029854	0.020401	0.137255
chrZ	5532576	5659602	0.407153	0.099820	0.071406	0.331096
chrZ	5659611	6322103	0.404014	0.064731	0.045080	0.353705
chrZ	6322122	6775621	0.028783	0.004214	0.003004	0.042113
chrZ	6787139	6871913	0.358683	0.070557	0.045130	0.287796
chrZ	6871989	7060844	0.411633	0.089836	0.063907	0.285714
chrZ	7062970	7248555	0.116779	0.023089	0.015720	0.080332
chrZ	7248571	7548099	0.316710	0.055641	0.040571	0.284591
chrZ	7548816	7953979	0.227022	0.045103	0.033642	0.193422
