chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chrZ	361777	604927	-0.076789	-0.009396	-0.006710	-0.075601
chrZ	610318	871223	-0.293458	-0.037301	-0.027191	-0.287020
chrZ	876106	1091306	-0.012552	-0.001308	-0.000974	-0.012146
chrZ	1104308	1338550	-0.044807	-0.005576	-0.004261	-0.057692
chrZ	1361046	1640765	0.041667	0.007346	0.005277	0.009967
chrZ	1644112	2501581	0.117845	0.013699	0.010072	0.105263
chrZ	2502787	2820931	-0.226860	-0.036999	-0.025691	-0.248714
chrZ	2827071	3088461	-0.261194	-0.031323	-0.023623	-0.253623
chrZ	3093375	3474248	0.177893	0.026753	0.018792	0.177893
chrZ	3476192	3660533	0.179567	0.033938	0.023736	0.186747
chrZ	3662486	3892805	0.040816	0.005448	0.003751	0.037288
chrZ	3901418	4113668	0.208955	0.031233	0.023372	0.204380
chrZ	4115742	4270971	0.242123	0.045229	0.033648	0.235484
chrZ	4271109	4321414	0.077882	0.030788	0.020886	0.047619
chrZ	4321529	4375026	0.292135	0.099300	0.069674	0.226744
chrZ	4375037	4420781	0.314685	0.096567	0.069124	0.264865
chrZ	4422668	4493759	0.501786	0.145974	0.099048	0.365979
chrZ	4493821	4535788	0.279851	0.112613	0.076453	0.229917
chrZ	4535916	4573018	0.193050	0.059666	0.043141	0.133721
chrZ	4573581	4625039	0.339921	0.097506	0.069299	0.247126
chrZ	4625066	4667803	0.007937	0.002457	0.001712	0.005714
chrZ	4670997	4930929	0.262338	0.037023	0.026762	0.235431
chrZ	4930940	5141043	0.576819	0.091845	0.066959	0.504717
chrZ	5151324	5314345	0.232258	0.038513	0.026881	0.197802
chrZ	5315015	5414273	0.229607	0.064298	0.041015	0.192893
chrZ	5416723	5533406	0.381579	0.080110	0.056952	0.342529
chrZ	5533754	5880577	0.571823	0.109408	0.079371	0.537662
chrZ	5903737	6768996	0.028384	0.003287	0.002396	0.040777
chrZ	6769070	6882989	0.346154	0.064250	0.042530	0.302326
chrZ	6883040	7149980	0.423423	0.082941	0.060128	0.325183
chrZ	7151654	7396445	-0.017291	-0.003382	-0.002285	-0.014423
chrZ	7399141	7953979	0.202564	0.028458	0.021597	0.169892
chrZ	7956337	8317402	0.259053	0.052277	0.039457	0.227384
chrZ	8317479	8750411	0.494949	0.082008	0.062460	0.437500
chrZ	8755821	8867853	0.437299	0.108540	0.080378	0.348718
chrZ	8868507	8977989	0.186186	0.053082	0.033495	0.143519
chrZ	8978200	9154018	0.277259	0.037840	0.027804	0.241558
chrZ	9158316	9264919	0.244949	0.051241	0.038987	0.184510
chrZ	9264938	9341131	0.351171	0.070047	0.048187	0.304348
chrZ	9343886	9444429	0.121469	0.023256	0.016337	0.078652
chrZ	9447689	9607722	0.374172	0.038832	0.029435	0.304582
chrZ	9608387	9962654	0.436842	0.053537	0.039083	0.429048
chrZ	9962666	10549615	0.328713	0.034100	0.022408	0.298561
chrZ	10556406	10966938	0.106529	0.010146	0.007188	0.090909
