chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chrZ	468979	939334	0.015075	0.003577	0.002817	0.014320
chrZ	946315	1175307	0.224613	0.121678	0.087131	0.233473
chrZ	1186137	1598168	0.506250	0.279685	0.194946	0.446645
chrZ	1601443	2326736	0.342857	0.233352	0.159478	0.324490
chrZ	2332766	2827682	0.165517	0.093585	0.063025	0.133333
chrZ	2827732	3180332	0.217923	0.139383	0.099181	0.195831
chrZ	3187237	3580667	0.118734	0.070783	0.046231	0.108696
chrZ	3592628	3880746	0.077110	0.038362	0.026530	0.067332
chrZ	3880759	4111590	0.281513	0.178548	0.129074	0.232370
chrZ	4117748	4279525	0.055520	0.047167	0.027983	0.043653
chrZ	4279946	4345068	0.006787	0.011278	0.003510	0.012179
chrZ	4345134	4382252	-0.063701	-0.081448	-0.029745	-0.040883
chrZ	4382347	4426988	-0.232979	-0.420345	-0.091574	-0.130275
chrZ	4427107	4482910	0.183495	0.210351	0.071510	0.121495
chrZ	4485194	4520831	-0.323432	-0.596954	-0.175261	-0.181931
chrZ	4520879	4546052	-0.086667	-0.168103	-0.055143	-0.046318
chrZ	4546694	4573615	-0.006349	-0.005144	-0.002016	-0.004464
chrZ	4574455	4620500	0.022556	0.018919	0.008777	0.014334
chrZ	4620767	4634267	0.148193	0.152416	0.090275	0.088553
chrZ	4634312	4714763	-0.025641	-0.029593	-0.011575	-0.019763
chrZ	4721262	5035695	0.348786	0.266143	0.151850	0.235821
chrZ	5041256	5241289	0.069382	0.078993	0.039082	0.037975
chrZ	5241348	5351853	-0.240583	-0.198496	-0.094376	-0.151321
chrZ	5351919	5532002	0.034447	0.029281	0.014115	0.019310
chrZ	5532003	5793831	0.110245	0.090494	0.055323	0.059891
chrZ	5793832	6826800	0.011019	0.005958	0.003769	0.007697
chrZ	6833632	7090921	0.071510	0.060115	0.034981	0.034332
chrZ	7090952	7711774	0.155801	0.069270	0.046290	0.108545
chrZ	7761140	8817086	-0.138510	-0.071025	-0.035403	-0.093617
chrZ	8820631	8915923	-0.294553	-0.310859	-0.145129	-0.132808
chrZ	8916750	9093017	-0.089494	-0.049303	-0.030376	-0.042514
chrZ	9093060	9264502	-0.146209	-0.122495	-0.058547	-0.096429
chrZ	9264535	9336830	0.313167	0.312057	0.164537	0.162362
chrZ	9338168	9427749	-0.237592	-0.262391	-0.129758	-0.146389
chrZ	9435236	9608780	-0.143396	-0.087156	-0.051491	-0.092010
chrZ	9608794	10259174	-0.203320	-0.168000	-0.089580	-0.163333
chrZ	10266331	11132110	0.178003	0.106233	0.058669	0.164659
chrZ	11143283	11697066	0.253888	0.178113	0.104353	0.251137
chrZ	11706195	12125981	0.011620	0.007251	0.003974	0.010381
chrZ	12134846	12644713	0.064470	0.048509	0.027661	0.062762
chrZ	12644989	13678974	0.063616	0.045301	0.020099	0.037975
chrZ	13679004	14905098	0.039201	0.023150	0.014320	0.025180
chrZ	14912883	16114853	0.285861	0.192979	0.108066	0.263456
chrZ	16126803	17674434	0.113287	0.054665	0.031118	0.094131
chrZ	17758965	18744971	-0.108127	-0.058553	-0.032526	-0.086003
chrZ	18746065	19575977	0.032097	0.022349	0.011176	0.005272
chrZ	19576136	20791186	-0.180617	-0.118014	-0.063731	-0.144876
chrZ	20960315	22459737	-0.077586	-0.023492	-0.015590	-0.055824
chrZ	22459997	23743810	0.136966	0.136164	0.066287	0.111377
chrZ	23743854	25148750	0.060073	0.029601	0.016784	0.049278
chrZ	25196412	26574478	-0.326733	-0.132102	-0.086431	-0.280943
chrZ	26575409	28269354	0.143426	0.083165	0.048403	0.129148
chrZ	28297703	29723389	0.377386	0.209255	0.145705	0.343736
chrZ	29744189	32433215	0.101580	0.046735	0.030555	0.090503
chrZ	32435882	35709250	0.226502	0.092269	0.059266	0.215859
chrZ	35720594	37850570	-0.361564	-0.236674	-0.128970	-0.343750
chrZ	38142560	40848342	-0.006015	-0.002624	-0.001686	-0.023222
chrZ	40848752	43637802	0.301136	0.149366	0.110244	0.289354
chrZ	43731181	45498033	-0.105857	-0.055679	-0.035924	-0.097158
chrZ	45499640	48657415	0.199183	0.191505	0.118830	0.183443
chrZ	48670532	52002820	0.457192	0.374562	0.206923	0.411402
chrZ	52002832	53467674	0.370889	0.192996	0.139343	0.368867
chrZ	53501193	55481850	0.059424	0.024519	0.017363	0.054908
chrZ	55481858	60110578	0.368421	0.181034	0.135799	0.372549
chrZ	60115490	62664055	0.222222	0.152009	0.098545	0.222561
chrZ	62715155	65336064	0.370452	0.114412	0.085589	0.338880
chrZ	65423022	67963293	0.048920	0.023912	0.014213	0.046698
chrZ	68077737	69249231	-0.372024	-0.226142	-0.122931	-0.372024
chrZ	69262078	73289048	-0.057239	-0.022061	-0.013264	-0.051567
chrZ	73289588	74738206	0.601824	0.318499	0.180849	0.560907
chrZ	74753332	76755817	0.069061	0.039422	0.026474	0.067935
chrZ	76776458	78146314	0.313059	0.148326	0.095689	0.297114
chrZ	78169688	80587641	0.156456	0.078327	0.047442	0.144460
chrZ	80701981	82017643	0.286615	0.112894	0.076713	0.283510
chrZ	82034737	83487012	0.192034	0.069582	0.047008	0.186722
