chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chrZ	362732	666705	0.551729	0.175082	0.156195	0.496221
chrZ	677196	1022501	-0.117670	-0.050283	-0.032009	-0.115699
chrZ	1035261	1175307	-0.102674	-0.055435	-0.034811	-0.063302
chrZ	1178028	1397587	-0.038483	-0.021884	-0.014173	-0.048225
chrZ	1412990	1911191	0.260601	0.184698	0.130465	0.202881
chrZ	1919034	2415455	0.301028	0.195192	0.126778	0.219721
chrZ	2415831	2790550	0.019108	0.011291	0.007550	0.013850
chrZ	2814058	3040944	0.015611	0.008452	0.005802	0.019966
chrZ	3044257	3427284	0.401187	0.253022	0.176719	0.308328
chrZ	3427299	3685177	-0.165333	-0.083090	-0.053556	-0.122408
chrZ	3688017	3888868	0.281930	0.124662	0.087826	0.214946
chrZ	3889321	4111590	0.221776	0.111585	0.076450	0.170031
chrZ	4113305	4270614	0.147541	0.116418	0.066953	0.108434
chrZ	4270768	4301957	-0.153663	-0.382716	-0.114957	-0.081669
chrZ	4302155	4347972	0.034951	0.059081	0.019516	0.018621
chrZ	4348480	4365261	-0.216789	-0.839080	-0.135789	-0.114985
chrZ	4365300	4387627	-0.354371	-2.377682	-0.221511	-0.184996
chrZ	4387719	4414074	-0.423566	-1.735516	-0.258828	-0.211328
chrZ	4414152	4460127	-0.380115	-0.699010	-0.183281	-0.236645
chrZ	4460161	4481243	-0.166601	-0.273705	-0.080344	-0.082391
chrZ	4481423	4501464	-0.304693	-0.868173	-0.253436	-0.179029
chrZ	4501495	4525804	-0.217122	-0.835322	-0.130939	-0.113269
chrZ	4525863	4542979	-0.285042	-0.800000	-0.207574	-0.149831
chrZ	4543023	4556126	-0.295680	-0.599179	-0.140565	-0.163636
chrZ	4556613	4575928	-0.260227	-0.735695	-0.134351	-0.140935
chrZ	4576819	4602737	-0.316411	-0.862254	-0.179382	-0.142744
chrZ	4602836	4625978	-0.157264	-0.344668	-0.133613	-0.095832
chrZ	4625983	4636010	0.094968	0.254902	0.096535	0.056169
chrZ	4636049	4671287	-0.211052	-0.303670	-0.096473	-0.122767
chrZ	4671525	4833822	-0.105322	-0.106250	-0.052419	-0.077228
chrZ	4833831	5036194	0.059536	0.041827	0.025314	0.046659
chrZ	5041256	5194185	-0.299861	-0.361502	-0.143351	-0.171329
chrZ	5194265	5288692	0.041935	0.034577	0.017208	0.026100
chrZ	5288825	5352030	-0.195551	-0.139381	-0.072476	-0.094547
chrZ	5352114	5488364	-0.179936	-0.148387	-0.074976	-0.126007
