chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chrZ	483040	959610	0.373451	0.023840	0.019635	0.354622
chrZ	961984	1226757	0.178138	0.013028	0.010925	0.157945
chrZ	1226983	1731459	0.105929	0.008864	0.007289	0.100426
chrZ	1755391	2601617	0.377557	0.030463	0.025991	0.341232
chrZ	2626451	3160137	-0.016000	-0.001025	-0.000854	-0.021201
chrZ	3181944	3688017	0.119436	0.008819	0.007246	0.110982
chrZ	3692361	4033516	0.200929	0.015340	0.012910	0.181236
chrZ	4038512	4284808	-0.059978	-0.005095	-0.004157	-0.049210
chrZ	4285479	4343679	-0.019052	-0.007208	-0.004716	-0.013786
chrZ	4347873	4371772	-0.312337	-0.180777	-0.090992	-0.209937
chrZ	4371801	4414092	-0.309474	-0.113998	-0.070159	-0.198282
chrZ	4415537	4469835	-0.163457	-0.129609	-0.051026	-0.107585
chrZ	4470248	4503179	-0.087698	-0.041184	-0.023928	-0.053217
chrZ	4506395	4535916	-0.419326	-0.249066	-0.129457	-0.299518
chrZ	4537333	4564112	-0.264412	-0.131431	-0.063609	-0.170268
chrZ	4564116	4600145	-0.334898	-0.160661	-0.083823	-0.207861
chrZ	4600158	4631946	-0.106880	-0.043101	-0.028684	-0.072259
chrZ	4632144	4687197	-0.210654	-0.082905	-0.049169	-0.173993
chrZ	4704873	4972640	-0.106043	-0.008646	-0.007257	-0.088369
chrZ	4976560	5167556	-0.166473	-0.026160	-0.020699	-0.139150
chrZ	5167629	5285919	-0.478817	-0.103199	-0.068590	-0.315011
chrZ	5286070	5353514	-0.485992	-0.097528	-0.069668	-0.345562
chrZ	5356068	5516469	-0.111069	-0.017274	-0.013161	-0.095629
chrZ	5520270	5675979	-0.555911	-0.111050	-0.083055	-0.416553
chrZ	5675996	6090286	0.037253	0.004352	0.003706	0.034177
chrZ	6154975	6775023	-0.142504	-0.008132	-0.006676	-0.109286
chrZ	6775200	6871599	-0.244898	-0.049040	-0.037418	-0.200837
chrZ	6871600	7013552	-0.222899	-0.031245	-0.024475	-0.161376
chrZ	7013580	7155306	-0.573198	-0.152632	-0.095140	-0.454418
chrZ	7155316	7352616	-0.239458	-0.029073	-0.023414	-0.174024
chrZ	7352694	7695895	-0.267453	-0.030443	-0.024389	-0.230118
chrZ	7711774	7990819	-0.274448	-0.057701	-0.043452	-0.240110
chrZ	7990911	8223338	-0.585992	-0.118359	-0.082169	-0.471805
chrZ	8229120	8589584	-0.642626	-0.124548	-0.080274	-0.511568
chrZ	8589599	8823715	-0.389092	-0.075518	-0.049370	-0.332575
chrZ	8825713	8879872	-0.523379	-0.185429	-0.112882	-0.385128
chrZ	8882579	8983768	-0.249858	-0.050216	-0.035836	-0.166352
chrZ	8983805	9093072	-0.381868	-0.081477	-0.059061	-0.285812
chrZ	9093172	9190902	-0.149088	-0.038834	-0.027968	-0.131256
chrZ	9191005	9289338	-0.462299	-0.093555	-0.067754	-0.412500
