chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chrZ	1212919	3259058	-0.164026	-0.070469	-0.038140	-0.124469
chrZ	3323269	4038512	-0.051820	-0.021565	-0.012274	-0.035873
chrZ	4053556	4321552	0.327553	0.240623	0.148862	0.236439
chrZ	4321559	4397689	-0.000000	-0.000000	-0.000000	-0.000000
chrZ	4404046	4520914	-0.088774	-0.137839	-0.070072	-0.056208
chrZ	4525804	4569690	0.173824	0.164729	0.120113	0.093716
chrZ	4574743	4630209	0.134965	0.200000	0.141807	0.066346
chrZ	4632144	5042805	0.026237	0.016698	0.010632	0.014141
chrZ	5090316	5352030	0.073234	0.074284	0.047573	0.033728
chrZ	5352114	6798130	-0.057797	-0.035754	-0.022846	-0.032345
chrZ	6798137	7243280	-0.001838	-0.002351	-0.001085	-0.001135
chrZ	7243283	8844074	-0.113360	-0.056395	-0.035669	-0.058947
chrZ	8846685	9093060	-0.009994	-0.008403	-0.005222	-0.005785
chrZ	9093072	9336471	0.033930	0.032374	0.018474	0.018090
chrZ	9339812	9607164	-0.104239	-0.064117	-0.043173	-0.073160
chrZ	9607165	12553435	0.168337	0.028026	0.021469	0.134953
chrZ	12630615	14775798	0.122977	0.036708	0.026648	0.076000
chrZ	14912883	18233275	-0.056107	-0.015330	-0.010776	-0.043849
chrZ	18233307	19324969	-0.007056	-0.004023	-0.002532	-0.004473
chrZ	19381229	22466272	0.180402	0.041940	0.030743	0.122857
chrZ	22466278	26284379	-0.069513	-0.016317	-0.011757	-0.039503
chrZ	26284437	35036577	-0.201767	-0.030687	-0.024057	-0.169295
chrZ	35124198	58706015	-0.097708	-0.008682	-0.007160	-0.074937
chrZ	60166500	76210984	0.089662	0.012089	0.008731	0.078323
