chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chrZ	2695016	3837891	-0.046338	-0.027605	-0.013636	-0.012658
chrZ	3838338	4373360	0.042127	0.036825	0.020133	0.032400
chrZ	4373398	4520831	0.286044	0.304028	0.196758	0.199871
chrZ	4525863	4609148	0.179417	0.201110	0.119721	0.117775
chrZ	4609215	4721279	0.260510	0.393750	0.163001	0.142319
chrZ	4721528	5351340	0.205967	0.242159	0.117282	0.143428
chrZ	5352030	7898375	0.289145	0.355077	0.189410	0.214090
chrZ	7913979	9258616	0.532787	0.550357	0.346715	0.421071
chrZ	9258621	9862401	0.386818	0.393407	0.178021	0.253004
chrZ	10029982	15220002	0.378526	0.128429	0.088034	0.303409
chrZ	15220032	22442177	0.393712	0.222605	0.130951	0.317442
chrZ	22443801	37279414	0.358209	0.209956	0.131165	0.301075
chrZ	38343798	80462475	0.458015	0.196410	0.111053	0.397886
