chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chrZ	3003063	4111590	-0.121523	-0.045907	-0.027192	-0.088204
chrZ	4114340	4405085	-0.033724	-0.031123	-0.017254	-0.022483
chrZ	4405610	4545413	0.189597	0.337986	0.178986	0.114026
chrZ	4545430	4626969	0.063005	0.085526	0.043968	0.040331
chrZ	4626987	5090316	0.172185	0.317073	0.134890	0.106996
chrZ	5167398	5674027	0.106383	0.162432	0.064935	0.072464
chrZ	5824926	8977671	0.286996	0.333526	0.212468	0.183794
chrZ	8977674	9445390	0.407895	0.431443	0.252641	0.278721
chrZ	9469644	12766773	0.191566	0.107239	0.067449	0.152738
chrZ	12766782	19088735	0.415157	0.261140	0.148760	0.254545
chrZ	19173974	25672992	0.207154	0.199522	0.097225	0.149302
chrZ	26282922	77616056	0.529534	0.156405	0.100036	0.447587
