chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chrZ	1505023	3550655	0.126050	0.053174	0.031639	0.100000
chrZ	3555850	4311460	-0.008052	-0.003147	-0.001766	-0.005441
chrZ	4321045	4481226	0.282648	0.321902	0.202132	0.165006
chrZ	4481243	4562915	0.294872	0.288358	0.180967	0.167883
chrZ	4564112	4629470	0.220641	0.308458	0.175141	0.117871
chrZ	4629580	5241241	0.075439	0.101375	0.051059	0.054054
chrZ	5270242	6871817	0.135397	0.126927	0.064417	0.075706
chrZ	6900507	8977671	0.209416	0.211245	0.143920	0.117808
chrZ	8977687	9469644	0.281899	0.318614	0.158996	0.187377
chrZ	9474886	13069619	0.354111	0.084915	0.068386	0.273298
chrZ	14415311	19088655	-0.051240	-0.025819	-0.014423	-0.034714
chrZ	19173974	23845336	0.026455	0.019634	0.010153	0.016393
chrZ	23845358	77616056	-0.016129	-0.002168	-0.001533	0.011647
