chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chrZ	3226237	4117748	-0.046875	-0.029252	-0.016788	-0.040698
chrZ	4139036	4404046	0.047128	0.047059	0.024459	0.029091
chrZ	4404107	4535788	-0.033613	-0.056404	-0.020228	-0.012295
chrZ	4535848	4626311	-0.045738	-0.063098	-0.024664	-0.022343
chrZ	4626320	5042805	0.171293	0.159763	0.101504	0.090000
chrZ	5090316	5659698	-0.032680	-0.027607	-0.015327	-0.012552
chrZ	5659726	8857391	-0.083439	-0.136646	-0.050769	-0.038062
chrZ	8857401	9346305	0.218279	0.152700	0.091552	0.096019
chrZ	9351210	12144957	-0.082339	-0.029405	-0.016370	-0.054980
chrZ	12644614	19088562	0.396807	0.164345	0.097945	0.260090
chrZ	19088655	23845330	0.113924	0.067258	0.039301	0.050740
chrZ	23845336	52656098	0.243004	0.103855	0.065044	0.184537
