chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chrZ	1307084	3555850	0.106605	0.041687	0.029035	0.101730
chrZ	3557206	4199692	-0.339349	-0.170086	-0.109876	-0.244028
chrZ	4206949	4373481	-0.212255	-0.322767	-0.124398	-0.117483
chrZ	4373493	4481461	0.018188	0.023176	0.012374	0.010820
chrZ	4493759	4562915	-0.260081	-0.348022	-0.150000	-0.131320
chrZ	4564112	4629470	-0.043754	-0.131429	-0.036879	-0.024101
chrZ	4629580	5167398	-0.031809	-0.024819	-0.013730	-0.020708
chrZ	5167458	5351919	-0.211485	-0.410453	-0.147473	-0.111997
chrZ	5352030	6775129	-0.100394	-0.078261	-0.049086	-0.058598
chrZ	6815186	7399089	-0.070932	-0.055768	-0.031628	-0.038991
chrZ	7399141	8868655	-0.334415	-0.232663	-0.130947	-0.184570
chrZ	8868660	9264949	-0.131826	-0.082658	-0.046123	-0.071155
chrZ	9268728	9439797	-0.011228	-0.013169	-0.005721	-0.006890
chrZ	9458443	10958296	-0.072189	-0.051983	-0.025218	-0.030792
chrZ	11009500	13069619	0.171885	0.067913	0.039598	0.158185
chrZ	13198602	16730939	0.154808	0.058201	0.036003	0.123596
chrZ	16771414	19158401	0.130464	0.072695	0.043511	0.092912
chrZ	19158402	22443872	-0.047128	-0.017502	-0.011145	-0.035608
chrZ	22443878	25202839	0.317748	0.180488	0.105080	0.269636
chrZ	25204915	28575485	0.505604	0.238257	0.155945	0.392846
chrZ	28581036	41559794	0.429468	0.110834	0.069196	0.363364
chrZ	41834191	56895429	0.064675	0.015855	0.011050	0.043210
chrZ	57580496	73837578	0.225603	0.038443	0.027116	0.212089
chrZ	74375862	82022045	0.507784	0.146933	0.107758	0.457980
