chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chrZ	1147699	3204691	0.535765	0.317003	0.172432	0.488643
chrZ	3259058	3923994	0.164934	0.100634	0.055990	0.108832
chrZ	3953728	4306250	-0.198300	-0.204082	-0.087127	-0.162899
chrZ	4306272	4413354	0.217437	0.269850	0.164349	0.157433
chrZ	4413757	4542068	-0.012873	-0.018328	-0.010999	0.001699
chrZ	4542562	4614135	-0.012012	-0.016129	-0.007846	-0.007987
chrZ	4620422	4761896	0.020761	0.032432	0.015789	0.010573
chrZ	4763243	5288880	0.026837	0.021047	0.011985	0.018459
chrZ	5306055	5534558	0.239942	0.281570	0.176157	0.180855
chrZ	5534793	6949987	0.072081	0.070089	0.038213	0.056349
chrZ	6950056	8090751	0.282593	0.254593	0.153724	0.204426
chrZ	8092252	8930930	0.165725	0.174603	0.082687	0.132033
chrZ	8937792	9264949	0.302161	0.256914	0.143993	0.230644
chrZ	9268728	9458510	0.184268	0.165596	0.108274	0.136124
chrZ	9459042	11143317	-0.151304	-0.074066	-0.046323	-0.127401
chrZ	11173200	14478516	0.097244	0.033326	0.019634	0.085826
chrZ	14483202	16771414	0.303843	0.134096	0.093716	0.237264
chrZ	16972943	19030853	0.397942	0.263970	0.161186	0.331771
chrZ	19042375	20625582	0.296736	0.150473	0.090791	0.233957
chrZ	20625621	23784906	0.257553	0.159705	0.102423	0.201863
chrZ	23824706	28282293	0.278768	0.108792	0.065505	0.254351
chrZ	28397911	35675618	0.654366	0.184513	0.134184	0.509693
chrZ	35779765	45841427	0.113080	0.032285	0.018091	0.083981
chrZ	45948395	62948080	0.100696	0.036439	0.016908	0.081945
chrZ	63190534	73376419	0.642888	0.223609	0.139043	0.617012
chrZ	73455230	79943951	0.608309	0.247609	0.140379	0.574230
