P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
chilensis	antarcticus	maccormicki	0.167581	12.1279	0	0.19513	2852.7	2602.61	1855.52
antarcticus	chilensis	pomarinus	0.000755113	0.0542317	0.478375	0.000726137	10151.5	1320.7	1318.71
chilensis	antarcticus	skua	0.224115	12.141	0	0.147277	3164.83	2800.83	1775.26
maccormicki	antarcticus	pomarinus	0.0154146	1.1664	0.121726	0.014327	11541.3	1538.42	1491.72
maccormicki	antarcticus	skua	0.2333	19.9394	0	0.154029	3444.72	3287.38	2043.65
antarcticus	skua	pomarinus	0.0941472	8.10026	2.74195e-16	0.110133	11303	1906.44	1578.35
maccormicki	chilensis	pomarinus	0.0155988	1.50316	0.0663988	0.0170393	9357.82	1525.73	1478.86
maccormicki	chilensis	skua	0.0108905	0.692176	0.244413	0.00761794	2902.3	2489.14	2435.51
chilensis	skua	pomarinus	0.0833469	6.24454	2.12524e-10	0.107289	8918.96	1878.08	1589.1
maccormicki	skua	pomarinus	0.0943212	10.2475	0	0.117502	10313.2	2162.26	1789.52
