P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
chilensis	antarcticus	maccormicki	0.354217	1.46039	0.0720917	0.237864	2.38889	1.95139	0.930556
chilensis	antarcticus	pomarinus	0.113772	0.513061	0.303954	0.0892019	10.5139	1.29167	1.02778
chilensis	antarcticus	skua	0.455026	2.23692	0.0126458	0.275641	5.07639	1.90972	0.715278
antarcticus	maccormicki	pomarinus	0.265165	0.996125	0.159595	0.153153	10.1057	1.12654	0.654321
antarcticus	maccormicki	skua	0.197183	0.649419	0.258034	0.0933333	3.52083	1.18056	0.791667
skua	antarcticus	pomarinus	0.242958	0.921048	0.178513	0.136095	7.94792	1.22569	0.746528
chilensis	maccormicki	pomarinus	0.194118	0.689888	0.245132	0.126437	8.97917	1.40972	0.951389
chilensis	maccormicki	skua	0.523148	2.28657	0.0111105	0.303763	3.61806	2.28472	0.715278
skua	chilensis	pomarinus	0.0911602	0.324826	0.372656	0.0365449	6.49653	1.37153	1.14236
skua	maccormicki	pomarinus	0.428125	1.42628	0.0768933	0.140513	8.22569	1.58681	0.635417
