1,-0.142857,-1,-1.66533e-17,-0.333333,-0.142857,-1,-1	1,-0.142857,-1,-0.189189,-0.677419,-0.142857,-1	-2.08167e-17,-1,1,0.189189,0.444444,6.245e-17,-1,-1,1
-0.0909091,0.166667,-0.333333,-0.142857,0.636364,-1	-1,-0.0909091,-1,-1,-0.0454545,-0.793103,-0.142857,-1,-1,-1,-1,-0.333333,-1,-1,-1	1,-6.245e-17,1,1,0.210526,0.625,6.245e-17,1,1,1,1,0.8,1,1,-1,1
-0.0666667,-1,0.261905,-0.333333,-1,-1,-1	-0.0666667,-1,0.104167,-1,-0.333333,-1,-1,-1,-1	6.245e-17,-1,1,0.162162,1,0,1,1,-1,1,-1,-1,1
0.133005,0.102662,0.428571,0.183673,-1,1	-1,0.133005,-1,-1,0.0661765,-0.690722,0.183673,-1,-1,-1,-1,-1,1,-1,-1,-1	1,1.27739e-17,1,1,0.0367347,0.863636,-2.81025e-17,1,1,1,1,0.8,1,1,1
0.0857143,0.8,-0.137931,0.428571,-1	0.0857143,1,-0.107143,-1,0.428571,-1,-1,-1,-1	2.34188e-17,-1,-0.03125,1,9.36751e-17,1,1,-1,1,1
-1,0.062069,-1,-1,-0.0141509,-1,0.428571,-1,-1,-1,-1,-0.84,-1,-1,-1	0.062069,0.045,-1,0.428571,0.333333,-1	-1,3.30618e-17,-1,-1,-0.0591133,-0.142857,9.36751e-17,-1,-1,-1,-1,-0.916667,-0.5,-1,-1
0.181818,-0.0697674,0.666667,0.285714,-1,1	-1,0.238095,-1,0.0526316,-0.166667,0.285714,-1,-1,-1,-1,-1,-1,-1,1,-1	1,-0.0588235,1,-0.121951,0.75,0,1,1,1,1,0.333333,1,1,1
0.133333,1,-0.333333,0.666667,1,1	-1,0.214286,1,-0.0909091,-1,0.428571,-1,-1,-1,1,1,-1	1,-0.0833333,-0.25,1,0.333333,1,1,1,1
-1,0.111111,-1,-0.25,0.666667,-1,-1,-1,-1,-0.714286,-1,-1,1,-1	0.136364,-0.115385,-1,0.428571,-0.5,-1,1	-1,-0.025641,-1,-0.138614,1,0.333333,-1,-1,-1,-1,-0.333333,-0.5,-1,-1
-1,-0.0272727,-1,-1,0.10396,-1,0,-1,-1,-1,-1,-0.714286,-1,-1,-1	-0.0775862,-0.0387931,-1,0.428571,1,-1,-1	-1,0.0504202,-1,-1,0.14218,-0.0322581,-0.428571,-1,-1,-1,-1,-1,1,-0.5,-1,-1
