P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
maccormicki	chilensis	antarcticus	0.0636568	3.60974	0.0003065	0.0664729	470.691	696.566	613.191
antarcticus	chilensis	pomarinus	0.0232687	1.11061	0.266736	0.0197363	2430.74	329.822	314.822
skua	chilensis	antarcticus	0.087141	3.98174	6.84136e-05	0.0946707	446.236	784.667	658.875
antarcticus	maccormicki	pomarinus	0.0038475	0.143057	0.886245	0.00333285	2700.79	375.963	373.081
skua	maccormicki	antarcticus	0.0208175	0.945888	0.344206	0.0232581	494.466	835.154	801.091
antarcticus	skua	pomarinus	0.0859039	5.46885	4.52971e-08	0.0853692	2657.8	465.958	392.236
maccormicki	chilensis	pomarinus	0.0116636	0.63305	0.526701	0.0114427	2240.6	366.223	357.778
maccormicki	chilensis	skua	0.0449733	1.53963	0.12365	0.0296471	725.368	607.993	555.66
chilensis	skua	pomarinus	0.0581739	4.32446	1.52903e-05	0.0704719	2139.55	453.609	403.734
maccormicki	skua	pomarinus	0.0739606	4.0777	4.54829e-05	0.084146	2413.23	528.141	455.398
