-0.165602,0.106236,-0.0915947,-0.136158,-0.144082,-0.303323,-0.22156,-0.0334643,-0.079616,-0.330822,-0.337678,-0.0885566,0.0566649,-0.136376,-0.165147,-0.287187,-0.214101,-0.0965264,-0.062091,-0.0592162	-0.11054,-0.0816058,-0.0782523,-0.194953,-0.0879598,-0.343415,-0.314245,-0.131045,-0.212125,-0.465769,-0.260191,-0.168302,-0.0360918,-0.237977,-0.104149,-0.413511,-0.313662,-0.16966,-0.138787,-0.167032	-0.0560881,0.186227,-0.0134387,0.0603986,-0.0568429,0.0447544,0.0996207,0.0980104,0.134786,0.159529,-0.0849505,0.080952,0.0925674,0.105009,-0.0620651,0.143347,0.106728,0.0743516,0.077363,0.108892
-0.0330601,0.17805,0.0257186,0.125735,0.071816,-0.11093,0.0587287,-0.0605487,0.0983408,0.0177543,-0.0452849,-0.0649874,-0.0228758,0.128404,-0.0163893,-0.195749,-0.0454257,0.120588,0.0729991,0.0807967	-0.751077,-0.752792,-0.774551,-0.715403,-0.777196,-0.805179,-0.790988,-0.809825,-0.750895,-0.768172,-0.773691,-0.834552,-0.685875,-0.686654,-0.747616,-0.817048,-0.781253,-0.721695,-0.756219,-0.710022	0.7363,0.820823,0.784639,0.77172,0.80413,0.76234,0.811997,0.78791,0.790837,0.775351,0.754853,0.813695,0.673567,0.749018,0.740298,0.739586,0.762902,0.774849,0.785838,0.747913
-0.285307,0.0591169,-0.111672,-0.189417,-0.380127,-0.379476,-0.163824,-0.219567,-0.0890175,-0.174168,-0.419524,-0.168418,-0.260181,-0.115231,-0.280095,-0.355778,-0.222772,-0.120831,-0.0348351,0.0417245	-0.277893,-0.0401489,-0.329058,-0.242697,-0.329446,-0.52869,-0.223155,-0.263448,-0.245229,-0.208626,-0.436341,-0.333502,-0.153449,-0.290403,-0.323506,-0.323986,-0.44523,-0.226287,-0.195898,-0.0992803	-0.00805225,0.0990308,0.225679,0.0558473,-0.0579359,0.186663,0.0615827,0.0465749,0.159698,0.0357573,0.020585,0.174908,-0.11117,0.181236,0.0477369,-0.0359343,0.246951,0.10842,0.16217,0.140423
-0.0560117,0.0945646,0.166638,-0.0460888,0.0515778,0.00795645,0.0606928,0.0564202,0.074481,-0.0992491,-0.181623,-0.0796538,-0.0388536,-0.0442873,0.100575,-0.338447,-0.0224501,0.045309,0.137138,0.138254	-0.763539,-0.773772,-0.689848,-0.751798,-0.804935,-0.779164,-0.778233,-0.73143,-0.742448,-0.801819,-0.820648,-0.827129,-0.683438,-0.725018,-0.760375,-0.815324,-0.723336,-0.738739,-0.718203,-0.687896	0.739138,0.809131,0.76818,0.731039,0.82237,0.782271,0.801088,0.756626,0.774122,0.763314,0.750954,0.800195,0.662168,0.703313,0.799787,0.658618,0.712455,0.758654,0.77865,0.754403
-0.101394,-0.228178,-0.0652474,-0.223695,-0.239241,-0.333631,-0.287843,-0.275738,-0.17554,-0.417528,-0.365072,-0.105564,-0.361445,-0.196808,-0.181017,-0.385836,-0.208638,-0.317677,-0.166743,-0.148084	-0.166416,-0.15754,-0.199703,-0.195754,-0.221127,-0.426969,-0.254432,-0.22288,-0.228692,-0.304548,-0.40306,-0.23162,-0.203598,-0.25445,-0.266136,-0.250264,-0.376528,-0.337858,-0.242483,-0.203962	0.0661378,-0.0732718,0.13623,-0.02922,-0.0191258,0.108842,-0.0360516,-0.0563186,0.0553752,-0.129439,0.0445427,0.129216,-0.170385,0.06068,0.0894271,-0.150063,0.182203,0.0226079,0.0789315,0.0576187
-0.689572,-0.746808,-0.655807,-0.746565,-0.77667,-0.700253,-0.742831,-0.695111,-0.680056,-0.731781,-0.710747,-0.755824,-0.660551,-0.653748,-0.717669,-0.76102,-0.659506,-0.66715,-0.646399,-0.620964	0.0360085,0.135423,0.107334,-0.0270436,0.131942,0.0996488,0.184472,0.0591019,0.12138,0.168055,0.0853106,0.00138456,0.171487,0.0700094,0.0115767,-0.0455609,0.0125067,0.097084,0.115898,0.19038	-0.708,-0.801201,-0.712955,-0.734348,-0.824156,-0.747726,-0.815547,-0.724451,-0.740326,-0.801293,-0.750549,-0.756417,-0.747378,-0.692081,-0.723237,-0.741157,-0.666515,-0.717746,-0.709169,-0.725568
0.00938877,-0.0145534,0.158382,-0.0818867,-0.0559499,0.13623,-0.0403042,0.0659402,-0.0330411,-0.129939,-0.103773,-0.043352,-0.0287296,-0.139232,0.089656,-0.107775,0.0437216,-0.01779,0.00457218,0.0153211	-0.718319,-0.758422,-0.690222,-0.718691,-0.78722,-0.696473,-0.768648,-0.725583,-0.71702,-0.731388,-0.744775,-0.803299,-0.721113,-0.718907,-0.696086,-0.710337,-0.644674,-0.70855,-0.749959,-0.666333	0.722833,0.75217,0.764977,0.676625,0.764963,0.760542,0.751629,0.755381,0.700577,0.664611,0.694693,0.787367,0.707032,0.644151,0.739586,0.652516,0.669524,0.699578,0.751953,0.674766
0.203347,-0.241747,0.074137,-0.0246338,0.130454,0.0439575,-0.162719,-0.0804053,-0.081299,-0.238013,0.0852693,0.0758911,-0.107885,-0.123683,0.127725,-0.0802909,-0.0237105,-0.14108,-0.1043,-0.220655	0.0217331,-0.202799,-0.164973,-0.061499,-0.0653257,-0.189734,-0.0885652,-0.189811,-0.1509,-0.0176836,-0.110483,-0.142639,-0.192123,-0.195288,-0.12185,0.012941,-0.175913,-0.192902,-0.176359,-0.192809	0.18242,-0.0409553,0.23622,0.0369212,0.194126,0.231759,-0.0752382,0.111101,0.0704659,-0.221261,0.193926,0.21619,0.0860205,0.0733771,0.24575,-0.0931352,0.15284,0.0532719,0.0734095,-0.0290836
-0.620264,-0.726795,-0.674997,-0.694233,-0.688726,-0.572448,-0.720406,-0.653244,-0.647513,-0.692513,-0.564971,-0.730305,-0.55317,-0.637572,-0.646307,-0.641264,-0.582595,-0.62377,-0.645427,-0.651717	0.105888,0.0405946,-0.00225649,-0.0682816,0.0484661,0.154048,0.122229,0.0356195,0.0252384,0.126664,0.0891968,0.0360699,0.152756,-0.0312293,0.0188679,0.126157,0.0769874,0.0431784,0.0165409,0.0571157	-0.681399,-0.745398,-0.673767,-0.6571,-0.71338,-0.667622,-0.774442,-0.673199,-0.661933,-0.753116,-0.622784,-0.746705,-0.650923,-0.618661,-0.657161,-0.709983,-0.631268,-0.649456,-0.654976,-0.683395
-0.642841,-0.692504,-0.654719,-0.696421,-0.728214,-0.607634,-0.687496,-0.638072,-0.64848,-0.640737,-0.589186,-0.723898,-0.52973,-0.585202,-0.715768,-0.598873,-0.60745,-0.578379,-0.624346,-0.59419	0.0790968,0.038418,-0.0395776,0.0322857,0.0746102,0.0754465,0.104223,0.0136585,0.0478773,0.228716,0.186879,0.0318193,0.17313,0.116859,-0.0671928,0.24043,0.0367991,0.0678571,0.00826499,0.0547162	-0.687006,-0.71198,-0.631505,-0.712682,-0.761453,-0.653138,-0.738783,-0.646099,-0.675389,-0.758323,-0.699091,-0.738702,-0.643815,-0.657123,-0.681344,-0.733665,-0.630162,-0.621831,-0.629363,-0.628473
