-0.249377,-0.126946,-0.208021,-0.194669,-0.204947,-0.232246,-0.290818,-0.212574,-0.165684,-0.171291,-0.22949,-0.134143,-0.190832,-0.202539,-0.131623,-0.188906,-0.212159,-0.230832,-0.181037,-0.186669	-0.215668,-0.226092,-0.177711,-0.177651,-0.228203,-0.209361,-0.26039,-0.301983,-0.19548,-0.149653,-0.187688,-0.187094,-0.25178,-0.182588,-0.217124,-0.256212,-0.182895,-0.278954,-0.227589,-0.250349	-0.0356251,0.102076,-0.0314738,-0.0176279,0.0243971,-0.0240537,-0.032921,0.0955423,0.0307931,-0.022207,-0.0436834,0.054314,0.0640248,-0.0207175,0.0880164,0.0707294,-0.0304459,0.0514338,0.0485526,0.066801
-0.0698321,0.0509672,-0.0243024,-0.0632838,-0.0400957,-0.0812644,-0.138428,-0.0532908,0.025106,-0.0604633,-0.119722,-0.0340913,-0.0115655,0.0283349,0.0482779,-0.0681326,-0.0962299,-0.0173778,0.00229219,0.0150102	-0.77233,-0.808116,-0.797441,-0.793867,-0.785867,-0.82069,-0.798478,-0.830987,-0.748131,-0.729545,-0.824812,-0.768985,-0.779253,-0.780838,-0.764356,-0.790749,-0.8141,-0.782727,-0.753951,-0.725119	0.742546,0.825099,0.788418,0.769228,0.770035,0.792264,0.742072,0.813731,0.758981,0.699957,0.782345,0.754678,0.77467,0.791657,0.783714,0.763765,0.778889,0.775903,0.754938,0.73216
-0.300242,-0.28328,-0.280332,-0.21179,-0.173273,-0.294516,-0.369816,-0.299208,-0.229464,-0.304497,-0.305901,-0.272393,-0.207937,-0.233734,-0.205159,-0.247248,-0.288995,-0.263921,-0.206432,-0.193584	-0.363597,-0.313055,-0.358606,-0.232798,-0.261373,-0.389482,-0.337844,-0.345429,-0.263985,-0.316442,-0.344868,-0.267653,-0.360391,-0.237798,-0.350466,-0.311223,-0.347588,-0.277126,-0.25034,-0.245896	0.0711189,0.0326723,0.0870225,0.0220971,0.0922794,0.107271,-0.0365367,0.0515487,0.0367471,0.0132194,0.0435624,-0.00511242,0.164804,0.00430288,0.156564,0.0693089,0.0651362,0.0142472,0.046301,0.0549262
0.00927793,0.0309768,-0.0258537,-0.0196331,-0.0628244,-0.0345196,-0.129205,-0.0439162,-0.0569401,-0.0793113,-0.0500745,-0.0480764,-0.00596801,0.000385134,-0.0404653,-0.0513808,0.00218797,-0.0637432,-0.0263196,-0.0740821	-0.770772,-0.812555,-0.825036,-0.76549,-0.778181,-0.819261,-0.808292,-0.819591,-0.755919,-0.770852,-0.826539,-0.778326,-0.793612,-0.821205,-0.804614,-0.793729,-0.805747,-0.805408,-0.772152,-0.74449	0.774511,0.822821,0.8166,0.757237,0.752127,0.80758,0.758278,0.804637,0.730417,0.736573,0.809989,0.758637,0.791392,0.82133,0.789866,0.77391,0.806513,0.781802,0.761305,0.709541
-0.228644,-0.265921,-0.235211,-0.233391,-0.227118,-0.241309,-0.316746,-0.267751,-0.22239,-0.226168,-0.261671,-0.22699,-0.212474,-0.227971,-0.255766,-0.242597,-0.251163,-0.264367,-0.214718,-0.265139	-0.285807,-0.267179,-0.344141,-0.278415,-0.250867,-0.397263,-0.328464,-0.252305,-0.282184,-0.29476,-0.349744,-0.182142,-0.35554,-0.252247,-0.328285,-0.28358,-0.312609,-0.267813,-0.20609,-0.300217	0.0611604,0.00135466,0.118524,0.0481529,0.0251848,0.17249,0.0130789,-0.0165648,0.0637976,0.0734914,0.0969455,-0.0467819,0.154757,0.0257575,0.0791657,0.0440113,0.0666817,0.00370801,-0.00902699,0.0381114
-0.710306,-0.774394,-0.756202,-0.744988,-0.727615,-0.733552,-0.779623,-0.768224,-0.702788,-0.679257,-0.786603,-0.76672,-0.698194,-0.758096,-0.733199,-0.744882,-0.737745,-0.751234,-0.706094,-0.664411	0.0907761,0.105794,0.0100148,-0.0375305,0.0994237,0.0521283,-0.0698016,0.0860983,0.0133554,0.0249155,-0.0460001,-0.0188064,0.0681896,0.105574,0.0217219,0.0349476,0.0971653,0.0443801,0.104524,0.0459521	-0.752558,-0.813538,-0.760458,-0.727806,-0.771245,-0.756744,-0.750672,-0.801321,-0.709484,-0.692454,-0.768406,-0.758855,-0.731555,-0.799668,-0.743086,-0.760044,-0.779065,-0.769945,-0.754903,-0.689318
-0.0127975,-0.0491188,0.0296597,0.0155445,-0.00753343,0.0295488,0.028942,-0.0357733,-0.040431,0.00422082,0.0433154,0.0385854,-0.00484202,-0.00175031,-0.0789537,-0.0333704,0.0416515,-0.0448269,-0.00948994,-0.0689312	-0.708115,-0.792929,-0.744354,-0.717436,-0.720238,-0.772234,-0.707879,-0.779474,-0.705352,-0.682947,-0.761703,-0.718131,-0.731421,-0.744824,-0.763836,-0.728057,-0.751783,-0.729156,-0.704034,-0.682384	0.701676,0.773954,0.757295,0.724897,0.716593,0.783896,0.722028,0.765033,0.68444,0.685192,0.779307,0.736313,0.729162,0.744044,0.728836,0.711985,0.769344,0.707453,0.699216,0.643733
0.0602369,-2.25343e-18,0.0761415,0.0220522,-0.0238756,0.0131124,0.0686427,-0.0282322,0.00874911,0.0915829,0.0598905,0.0518541,-0.0169851,0.0472747,-0.0623437,-0.0329144,0.053623,-0.0434253,0.00296578,-0.0678504	-0.071121,-0.0876521,-0.0982742,-0.0540812,-0.0798155,-0.1928,0.00288237,-0.0650252,-0.0849421,-0.0950778,-0.0783656,-0.0289908,-0.14946,-0.00724126,-0.1881,-0.0518873,-0.0847444,-0.0247009,-0.0355418,-0.0824446	0.130798,0.0876521,0.17312,0.0760428,0.0560467,0.205393,0.0657734,0.0368607,0.0936216,0.185049,0.13761,0.0807236,0.132812,0.0544973,0.127249,0.0190053,0.137741,-0.0187444,0.0385035,0.0146764
-0.631705,-0.719968,-0.659003,-0.690275,-0.648082,-0.664411,-0.671113,-0.716558,-0.639442,-0.532899,-0.718169,-0.664183,-0.631588,-0.65043,-0.65956,-0.65565,-0.663293,-0.676233,-0.624332,-0.603918	0.0851751,0.0677359,0.0584197,0.00736063,0.112667,0.135738,0.0589593,0.0800063,0.015149,0.095443,0.0238296,0.0552964,0.0726232,0.173544,0.0135067,0.0810345,0.132065,0.0920646,0.117712,0.0449896	-0.680277,-0.751076,-0.690827,-0.694109,-0.708981,-0.733957,-0.702285,-0.753374,-0.648311,-0.59793,-0.729514,-0.693991,-0.673327,-0.740399,-0.667124,-0.699518,-0.731298,-0.723269,-0.691244,-0.631743
-0.665197,-0.725922,-0.712628,-0.689944,-0.670364,-0.679846,-0.691667,-0.716135,-0.631126,-0.611016,-0.73767,-0.720745,-0.658643,-0.709223,-0.667663,-0.678642,-0.686739,-0.691941,-0.650546,-0.581974	0.0671522,0.0761664,0.00818116,-0.0464099,0.0886555,0.077131,0.0656119,0.0814134,0.0703688,0.0499556,-0.0185934,0.0133009,0.0689445,0.126714,0.0686325,0.0778037,0.0845637,0.0996362,0.129075,0.102635	-0.701034,-0.760064,-0.716631,-0.664822,-0.716441,-0.719261,-0.724404,-0.75361,-0.671665,-0.641394,-0.729076,-0.727076,-0.695983,-0.767007,-0.704034,-0.718508,-0.728969,-0.740524,-0.719228,-0.646022
