-0.121039,-0.195672,-0.163029,-0.235421,-0.225164,-0.372522,-0.203694,-0.145142,-0.133973,-0.123001,-0.179989,-0.0749312,-0.155255,-0.122743,-0.253544,-0.191779,-0.132897,-0.174774,-0.22834,-0.178099	-0.132193,-0.228421,-0.143046,-0.255972,-0.254895,-0.321371,-0.305556,-0.140474,-0.197516,-0.264144,-0.253491,-0.117342,-0.222375,-0.214237,-0.263996,-0.211734,-0.21706,-0.183558,-0.221264,-0.248765	0.0113349,0.0342812,-0.0204604,0.0218686,0.0315409,-0.0581073,0.108623,-0.00476492,0.0652701,0.145883,0.0770158,0.0427875,0.0695209,0.0939653,0.0112021,0.0207988,0.0866639,0.00907522,-0.00745255,0.073942
0.0115399,-0.0129506,0.00178278,-0.0591183,-0.0392643,-0.176804,-0.0441475,0.0528569,-0.0849947,-0.0304285,0.0156883,0.0336891,0.0275349,-0.00570115,-0.0987089,-0.0200432,0.0407714,0.0133994,0.0503612,0.0766244	-0.769246,-0.833027,-0.73403,-0.786052,-0.798655,-0.821626,-0.803675,-0.704831,-0.778929,-0.846177,-0.766437,-0.741511,-0.751092,-0.792248,-0.801043,-0.788703,-0.74122,-0.787928,-0.727292,-0.696839	0.773916,0.82902,0.734851,0.762361,0.783976,0.754414,0.787467,0.730474,0.743134,0.837307,0.772833,0.756307,0.76285,0.790115,0.762636,0.781006,0.759053,0.792955,0.750176,0.734258
-0.228984,-0.318034,-0.282442,-0.202054,-0.262556,-0.439095,-0.303756,-0.201309,-0.250653,-0.26186,-0.240281,-0.075008,-0.196862,-0.232042,-0.226944,-0.321062,-0.152185,-0.241958,-0.226441,-0.131988	-0.250899,-0.318691,-0.262945,-0.256544,-0.349498,-0.344495,-0.270374,-0.268166,-0.362556,-0.30398,-0.373939,-0.153234,-0.342588,-0.351978,-0.262845,-0.35563,-0.228271,-0.259182,-0.183511,-0.238424	0.0232508,0.000731503,-0.0210618,0.057468,0.0957258,-0.111459,-0.0363691,0.0706721,0.123088,0.0457627,0.146852,0.079136,0.156265,0.130602,0.0381789,0.0390238,0.0788243,0.018376,-0.0447909,0.109894
0.119177,0.0232887,-0.00048928,-0.0116942,-0.0476348,-0.152584,-0.0963833,-0.0202224,-0.0722553,-0.0488821,-0.0135359,-0.0385504,-0.0327591,-0.0989716,0.0567273,-0.0685081,-0.00943928,0.0781732,0.0223413,-0.0113043	-0.750228,-0.834761,-0.754968,-0.770153,-0.801429,-0.83439,-0.799633,-0.722997,-0.750214,-0.827831,-0.76068,-0.780423,-0.758803,-0.815265,-0.772402,-0.798168,-0.730848,-0.781201,-0.750519,-0.714329	0.798051,0.841687,0.754757,0.765352,0.783714,0.781274,0.761977,0.713202,0.716816,0.811799,0.754917,0.764885,0.744551,0.779163,0.794325,0.771866,0.72642,0.809914,0.760115,0.708748
-0.191168,-0.29632,-0.172594,-0.228733,-0.198757,-0.293833,-0.323148,-0.212307,-0.191563,-0.282657,-0.218084,-0.137792,-0.251626,-0.283153,-0.210586,-0.269372,-0.213855,-0.229506,-0.230881,-0.229892	-0.201804,-0.275882,-0.176902,-0.253293,-0.276842,-0.258885,-0.211293,-0.274323,-0.255997,-0.202331,-0.297547,-0.217159,-0.352929,-0.346204,-0.238188,-0.291283,-0.205348,-0.215011,-0.21017,-0.29534	0.0110626,-0.0222575,0.00444396,0.0260706,0.0826313,-0.0378258,-0.120052,0.0658511,0.0677567,-0.0851993,0.0849774,0.0818147,0.111175,0.0699036,0.0290591,0.0237762,-0.00889712,-0.0152467,-0.0217668,0.070216
-0.693022,-0.799588,-0.684869,-0.723786,-0.710589,-0.770699,-0.775876,-0.654753,-0.717512,-0.78055,-0.703999,-0.680046,-0.671025,-0.754831,-0.70511,-0.742542,-0.658189,-0.774537,-0.686839,-0.601004	0.186692,0.11365,0.114787,0.0746884,0.148694,0.0623495,0.0457268,0.0488252,-0.0181778,0.119183,0.0200742,0.143369,0.0528879,0.00552424,0.161829,0.100112,0.152845,0.104595,0.125134,0.151656	-0.778934,-0.837162,-0.741374,-0.757524,-0.777167,-0.794854,-0.793452,-0.681783,-0.708576,-0.823156,-0.713983,-0.750266,-0.699102,-0.757198,-0.778147,-0.784347,-0.736901,-0.813248,-0.747709,-0.689789
0.104702,0.0189701,-0.00873398,0.0133416,-0.0292164,0.0322959,-0.0803645,-0.0691697,0.017309,-0.0101317,-0.0359602,-0.0552284,-0.0540439,-0.0974821,0.116456,-0.0497204,-0.0315823,0.0654473,-0.0205735,-0.0842775	-0.716122,-0.800458,-0.693804,-0.711646,-0.74277,-0.736329,-0.743683,-0.699637,-0.713043,-0.811871,-0.721695,-0.733632,-0.737887,-0.781145,-0.690603,-0.748314,-0.696649,-0.726945,-0.685278,-0.668518	0.763572,0.807171,0.689246,0.718169,0.729381,0.750772,0.705482,0.662529,0.721448,0.808389,0.704006,0.707052,0.712246,0.740013,0.746983,0.72559,0.680029,0.756405,0.67421,0.619123
0.0344767,0.00931433,0.115337,-0.0544464,0.0265736,0.117862,-0.0519557,0.00560123,0.0541048,-0.0289271,0.0132764,-0.0380117,-0.0638696,-0.0545366,0.0215593,0.0211372,-0.0461508,0.040704,0.0126692,-0.0965742	-0.0756085,-0.0855751,-0.00318804,-0.0571049,-0.0924386,0.0812625,-0.00930043,-0.128179,-0.113055,-0.0843156,-0.118119,-0.0850778,-0.200515,-0.183419,0.0143284,-0.0957151,-0.0742608,-0.0364854,0.0257239,-0.10559	0.109799,0.0948138,0.118481,0.00266676,0.118721,0.0369533,-0.0426758,0.133684,0.166143,0.0555239,0.13119,0.0472188,0.138418,0.130185,0.00723315,0.116616,0.0282067,0.0770749,-0.0130589,0.00910907
-0.639946,-0.729603,-0.611899,-0.671759,-0.642171,-0.660108,-0.698911,-0.600627,-0.624678,-0.735887,-0.656677,-0.637358,-0.630313,-0.696019,-0.633392,-0.669686,-0.633125,-0.701233,-0.634006,-0.558598	0.138102,0.0957634,0.0909585,0.0853849,0.134394,0.1725,0.0442798,-0.00220426,0.0940424,0.0971557,-0.00436068,0.150106,0.0390167,0.0141486,0.216768,0.0904538,0.111791,0.0813474,0.0796283,0.114322	-0.714869,-0.771464,-0.665801,-0.716072,-0.714868,-0.747492,-0.720881,-0.599216,-0.678841,-0.777458,-0.654189,-0.718704,-0.653264,-0.703242,-0.747525,-0.716724,-0.695677,-0.740348,-0.679338,-0.632526
-0.668656,-0.747606,-0.642466,-0.663097,-0.656822,-0.700095,-0.695606,-0.575933,-0.662848,-0.727203,-0.655227,-0.648058,-0.591911,-0.672258,-0.667522,-0.664414,-0.606838,-0.734695,-0.639734,-0.529443	0.0767504,0.0752715,0.105383,0.0661655,0.16472,0.161799,0.10876,0.0611864,0.042109,0.12743,0.0314825,0.161236,0.0737292,0.0864214,0.100649,0.141504,0.151625,0.0230151,0.0891436,0.14589	-0.70902,-0.779039,-0.700427,-0.698612,-0.741335,-0.774198,-0.747792,-0.615432,-0.685815,-0.782153,-0.67283,-0.732731,-0.637805,-0.717022,-0.719811,-0.73666,-0.694556,-0.745111,-0.689554,-0.62691
