P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
chilensis	antarcticus	maccormicki	0.179169	12.4747	0	0.207463	2157.8	1989.8	1385.12
chilensis	antarcticus	pomarinus	0.0064905	0.481713	0.63001	0.00635424	7726.52	1004.19	991.243
chilensis	antarcticus	skua	0.234317	13.6972	0	0.154313	2381.03	2142.58	1329.1
maccormicki	antarcticus	pomarinus	0.0207411	1.46613	0.142614	0.020455	8845.31	1165.91	1118.53
maccormicki	antarcticus	skua	0.232264	22.2514	0	0.155612	2610.17	2487.81	1549.98
antarcticus	skua	pomarinus	0.0967583	7.62231	2.49178e-14	0.115216	8650.72	1440.73	1186.52
maccormicki	chilensis	pomarinus	0.0162519	1.22031	0.222347	0.0171891	7121.84	1160.08	1122.98
maccormicki	chilensis	skua	0.000494616	0.0389043	0.968967	0.000357387	2177.5	1882.3	1880.44
chilensis	skua	pomarinus	0.0914639	7.28502	3.21612e-13	0.121645	6784.56	1424.66	1185.89
maccormicki	skua	pomarinus	0.100164	10.0327	0	0.130548	7904.91	1634.54	1336.91
