chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chr1	1371787	1881193	-0.122671	-0.070452	-0.029951	-0.083421
chr1	1886732	2164806	0.168565	0.108810	0.066264	0.107843
chr1	2164811	3030785	0.099738	0.035261	0.021739	0.078189
chr1	3030944	3740841	-0.162195	-0.057692	-0.035785	-0.116157
chr1	3748065	4595230	0.081930	0.029984	0.016961	0.044995
chr1	4637080	5338138	-0.200489	-0.096575	-0.051384	-0.176015
chr1	5344573	6462482	0.142857	0.069962	0.033553	0.109405
chr1	6465131	6910642	0.059682	0.032316	0.015586	0.048843
chr1	6919112	7490948	0.580064	0.279367	0.175771	0.524449
chr1	7515827	7940925	-0.116000	-0.039048	-0.025852	-0.085353
chr1	7942248	8151131	0.080717	0.061268	0.032750	0.067826
chr1	8165490	8966070	-0.120729	-0.049410	-0.025462	-0.088777
chr1	8968899	10992694	-0.049147	-0.027124	-0.013459	-0.045643
chr1	11059979	14048720	0.278155	0.050220	0.034664	0.206864
chr1	14057900	14794094	0.153631	0.079099	0.042427	0.090016
chr1	14795037	16168487	0.027982	0.007003	0.004474	0.021714
chr1	16171049	17430953	-0.152778	-0.042155	-0.026377	-0.095930
chr1	17431129	20980155	0.086788	0.029258	0.014225	0.080530
chr1	20990778	22806360	0.002353	0.000568	0.000359	0.001808
chr1	22814358	24763237	0.062353	0.026797	0.014259	0.050237
chr1	24772872	25403882	0.098886	0.047667	0.021132	0.072970
chr1	25424667	27005285	-0.230848	-0.079456	-0.051894	-0.173540
chr1	27014459	28719457	-0.081492	-0.018378	-0.011008	-0.033302
chr1	28719458	30701826	-0.184136	-0.052444	-0.028989	-0.120163
chr1	30702113	32295324	-0.170264	-0.073537	-0.039463	-0.130755
chr1	32300300	33439057	-0.074214	-0.033795	-0.015696	-0.051258
chr1	33439067	34475943	-0.139394	-0.060788	-0.030522	-0.109361
chr1	34498909	36612680	0.088710	0.024994	0.014810	0.071575
chr1	36631164	37328878	0.157500	0.065865	0.039013	0.123047
chr1	37331087	38467727	-0.122677	-0.035772	-0.022348	-0.096964
chr1	38516014	39704747	0.437426	0.121069	0.085708	0.322212
chr1	39708890	41500215	-0.036866	-0.009946	-0.006226	-0.029851
chr1	41514048	43367954	0.123926	0.031082	0.021086	0.100899
chr1	43373885	44986873	-0.044419	-0.021234	-0.012360	-0.034728
chr1	44991412	48315377	0.008092	0.002234	0.001455	0.006323
chr1	48342069	49905949	0.324561	0.064267	0.044710	0.233684
chr1	49909471	51288518	0.138462	0.037999	0.023006	0.105706
chr1	51306940	52308594	-0.298592	-0.146696	-0.073057	-0.214575
chr1	52325673	53166049	0.038687	0.013161	0.008100	0.028730
chr1	53166369	53703921	-0.039795	-0.017943	-0.009900	-0.036290
chr1	53734043	55015404	0.026374	0.006093	0.003757	0.021661
chr1	55019564	55776732	0.056106	0.026123	0.015182	0.066548
chr1	55787618	56385841	0.247368	0.061599	0.040509	0.176692
chr1	56388313	57101895	0.194384	0.069151	0.040826	0.158451
chr1	57110285	57948234	0.028455	0.008132	0.005041	0.018062
chr1	57961777	59200802	0.035088	0.009347	0.005967	0.028517
chr1	59216979	60007357	-0.095745	-0.036204	-0.021336	-0.083734
chr1	60091444	61043710	-0.009009	-0.002480	-0.001424	0.010020
chr1	61043811	62060467	0.133401	0.054493	0.033059	0.095582
chr1	62061786	62977015	0.217274	0.086980	0.045161	0.129317
chr1	62991360	63994621	-0.175333	-0.045521	-0.028940	-0.119736
chr1	64086303	65856111	-0.010929	-0.004692	-0.003046	-0.007837
chr1	65856127	66549955	-0.156171	-0.073243	-0.039667	-0.113139
chr1	66563110	67591808	-0.234437	-0.090816	-0.046230	-0.159316
chr1	67602575	68649967	-0.206320	-0.070915	-0.045475	-0.182867
chr1	68739765	70024268	-0.155702	-0.053397	-0.030318	-0.114332
chr1	70093607	71756964	0.121053	0.034448	0.023033	0.080321
chr1	71764428	72694625	0.196660	0.098269	0.059836	0.165625
chr1	72694626	73549648	0.375780	0.179952	0.090754	0.240223
chr1	73550942	74792996	-0.144828	-0.045045	-0.025116	-0.126066
chr1	74820687	76890698	0.122490	0.027621	0.018585	0.101836
chr1	76988347	78123929	0.174269	0.061233	0.034099	0.143132
chr1	78143059	79278880	-0.079727	-0.038054	-0.019780	-0.061864
chr1	79278945	80545619	-0.478302	-0.259202	-0.125123	-0.428571
chr1	80560369	81382607	-0.053591	-0.027137	-0.013846	-0.042688
chr1	81382620	82862191	0.001072	0.000374	0.000236	-0.013010
chr1	82878795	84357821	-0.074745	-0.024728	-0.015266	-0.056507
chr1	84400623	85550687	0.139477	0.049558	0.030240	0.107900
chr1	85552390	86559517	-0.075862	-0.018532	-0.013245	-0.043328
chr1	86589080	87790515	-0.253213	-0.070011	-0.043745	-0.182239
chr1	87798636	89025886	0.154613	0.035174	0.025025	0.124498
chr1	89026065	89515912	-0.145455	-0.049751	-0.024510	-0.080321
chr1	89526078	90000192	-0.252312	-0.099913	-0.048119	-0.192571
chr1	90007560	90395911	0.121032	0.042166	0.018151	0.068462
chr1	90399306	91068906	0.463659	0.104402	0.068165	0.414097
chr1	91080674	91662479	-0.100709	-0.042900	-0.017512	-0.074502
chr1	91681849	92974952	-0.545455	-0.132066	-0.067037	-0.310169
chr1	93059624	95209784	0.224719	0.049158	0.034698	0.137417
chr1	95295068	97104479	0.023153	0.006288	0.003848	0.019284
chr1	97204046	98456301	-0.090493	-0.031761	-0.017713	-0.063251
chr1	98505394	100433330	-0.281360	-0.101566	-0.058910	-0.204429
chr1	100471371	101231231	0.455157	0.148103	0.098052	0.361854
chr1	101233973	102777329	0.287458	0.064661	0.044044	0.222700
chr1	102898500	106008198	-0.087518	-0.023782	-0.014770	-0.059863
chr1	106014950	107762328	-0.071685	-0.021157	-0.013252	-0.052539
chr1	107781204	111974943	0.271084	0.084186	0.046134	0.232358
chr1	112075432	113764364	-0.042138	-0.013192	-0.008724	-0.042097
chr1	113767581	114658076	0.282454	0.057107	0.044569	0.186155
chr1	114687145	116176372	-0.160888	-0.033105	-0.020848	-0.101027
chr1	116178752	117605448	0.273713	0.070013	0.046290	0.146379
chr1	117633063	118575800	-0.028476	-0.009092	-0.004475	-0.019080
chr1	118576327	119878649	-0.410740	-0.130555	-0.071076	-0.239203
chr1	119931132	121322837	0.242353	0.074927	0.045511	0.170813
chr1	121347016	122776122	-0.037516	-0.008730	-0.005741	-0.024187
chr1	122776125	123201033	0.097852	0.038777	0.025620	0.071804
chr1	123201063	124613792	0.202469	0.071835	0.045776	0.117143
chr1	124615163	126429269	0.082143	0.021783	0.014042	0.050773
chr1	126429430	128828328	0.192755	0.067512	0.039971	0.124063
chr1	128856081	129668206	0.100671	0.032223	0.018874	0.053191
chr1	129722489	131107412	-0.412911	-0.217168	-0.104899	-0.309025
chr1	131189011	132060236	0.231557	0.110839	0.070020	0.183740
chr1	132061486	132817610	0.043357	0.015675	0.007235	0.029722
chr1	132817653	133283377	0.044665	0.031570	0.013837	0.027223
chr1	133283602	134090758	0.011438	0.007733	0.002959	0.006289
chr1	134118280	134878752	0.106918	0.059803	0.029873	0.074758
chr1	134899230	135917912	0.132075	0.056631	0.029033	0.090573
chr1	135922648	136795563	-0.045194	-0.018891	-0.010975	-0.036496
