chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chr1	1475975	2023225	0.138089	0.057232	0.032944	0.084251
chr1	2031053	2482066	-0.100917	-0.046218	-0.028072	-0.059429
chr1	2499841	3389077	-0.393939	-0.157576	-0.091176	-0.292401
chr1	3389126	4465980	0.203024	0.056287	0.038944	0.119441
chr1	4509224	5377139	-0.012308	-0.003845	-0.002293	-0.008584
chr1	5377266	6773225	0.153689	0.054673	0.032541	0.107245
chr1	6774141	7571086	0.243355	0.067946	0.045023	0.182537
chr1	7571966	8106120	0.170491	0.059961	0.041367	0.119142
chr1	8117204	8755093	0.189781	0.088720	0.044466	0.125000
chr1	8776189	12146777	0.291716	0.079406	0.051394	0.203297
chr1	12162397	14276881	0.227120	0.067828	0.040843	0.196325
chr1	14283390	15596517	0.252898	0.064891	0.045279	0.146433
chr1	15612048	17120783	-0.203991	-0.042294	-0.028186	-0.146802
chr1	17132834	18666361	-0.129758	-0.046744	-0.021484	-0.101695
chr1	18666401	22610852	0.111551	0.023399	0.014884	0.102780
chr1	22617366	24581186	0.131833	0.033279	0.021781	0.099274
chr1	24669786	26115394	0.165033	0.043413	0.026603	0.131851
chr1	26135807	28069921	0.109924	0.037500	0.022145	0.120133
chr1	28080455	29817328	0.082943	0.020099	0.012651	0.064099
chr1	29837782	32378767	-0.021198	-0.006150	-0.003723	-0.015003
chr1	32396683	33816836	-0.136290	-0.039154	-0.023345	-0.109462
chr1	33816935	36100831	-0.154605	-0.049601	-0.027838	-0.122078
chr1	36259371	36988195	0.116546	0.046826	0.028502	0.099781
chr1	36992839	38209931	0.031370	0.008108	0.005780	0.026098
chr1	38221134	39516567	0.268363	0.091208	0.060929	0.232248
chr1	39522706	41636563	0.071865	0.016934	0.011498	0.059045
chr1	41638636	43469751	0.165985	0.041647	0.029341	0.109778
chr1	43491474	45758409	-0.133478	-0.051467	-0.030270	-0.116706
chr1	45758435	48860566	0.060491	0.015153	0.009861	0.033333
chr1	49007834	50651068	0.212335	0.040115	0.026816	0.173008
chr1	50651087	52103122	0.054910	0.013988	0.008703	0.039801
chr1	52116652	53138649	-0.140029	-0.066603	-0.034011	-0.127104
chr1	53159858	53736862	-0.100803	-0.041407	-0.023855	-0.090794
chr1	53743652	55019564	-0.058694	-0.012652	-0.007836	-0.038652
chr1	55020039	55893578	0.024429	0.010002	0.005441	0.037243
chr1	55908811	56865688	0.218477	0.047945	0.031416	0.136998
chr1	56877396	57427112	0.034303	0.012015	0.007286	0.021288
chr1	57430315	58711910	-0.147059	-0.038923	-0.021581	-0.117456
chr1	58766014	59588627	-0.096174	-0.033070	-0.019504	-0.062303
chr1	59596700	60824270	-0.092366	-0.024873	-0.015267	-0.064559
chr1	60864083	62060467	0.254438	0.076425	0.048156	0.178825
chr1	62070430	63211589	0.279249	0.084726	0.050796	0.192014
chr1	63218942	64296317	-0.209003	-0.065647	-0.039972	-0.145702
