chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chr1	2148955	5377139	-0.086907	-0.028543	-0.018323	-0.070448
chr1	5377266	7953511	0.427003	0.161478	0.110490	0.388190
chr1	7959959	14298000	0.096730	0.033008	0.018493	0.072970
chr1	14328084	24864173	0.026699	0.005574	0.003515	0.020484
chr1	24908620	33687011	0.008997	0.002072	0.001249	0.017975
chr1	33745235	39542798	-0.038298	-0.007970	-0.004946	-0.028693
chr1	39552256	49909471	0.138850	0.026912	0.017796	0.101124
chr1	49912108	53824440	0.299879	0.085360	0.058034	0.214418
chr1	53830887	57096248	0.259452	0.047707	0.030641	0.204943
chr1	57096285	61624607	-0.166881	-0.034220	-0.020066	-0.131179
chr1	61624670	65954614	-0.099741	-0.030944	-0.018358	-0.066551
chr1	65982810	71489622	-0.072497	-0.020314	-0.011738	-0.054451
chr1	71724829	77222324	0.139344	0.035245	0.021709	0.103568
chr1	77268784	84467276	-0.136886	-0.037986	-0.022649	-0.111300
chr1	84818678	88476237	0.068038	0.012813	0.008819	0.034939
chr1	88536866	90348076	-0.108475	-0.027134	-0.016011	-0.088700
chr1	90355580	95472131	0.332283	0.054047	0.033783	0.197617
chr1	95541829	105771310	0.419271	0.078282	0.055912	0.304348
chr1	106002090	117499282	0.253012	0.035423	0.024253	0.125874
chr1	117499456	122968056	0.062914	0.009688	0.006525	0.037182
chr1	122969569	129508229	-0.072593	-0.021197	-0.012277	-0.034925
chr1	129530184	133468803	-0.106003	-0.044417	-0.023557	-0.070518
chr1	133479606	140600408	0.111111	0.035468	0.021348	0.074380
chr1	140685418	145866816	0.059896	0.013512	0.008867	0.045187
chr1	145975448	149855524	-0.118800	-0.034566	-0.020462	-0.107241
chr1	149863819	156547741	-0.087363	-0.030501	-0.016338	-0.077071
chr1	156576947	169595197	0.195876	0.048020	0.026948	0.121951
chr1	169595223	182941201	0.266667	0.071242	0.040905	0.184502
chr1	182949428	187978077	0.284507	0.057175	0.037290	0.186583
chr1	188613784	195189199	0.086108	0.021817	0.014065	0.061773
chr1	195206735	202857234	0.268428	0.077334	0.049251	0.204233
chr1	203081651	207009189	-0.197138	-0.043611	-0.027765	-0.128480
chr1	207192647	209681289	0.024752	0.008507	0.004985	0.018587
