chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chr1	1480715	2049527	0.257697	0.116036	0.065985	0.184641
chr1	2073254	2875739	0.135755	0.070402	0.044297	0.119328
chr1	2879489	3561113	-0.022901	-0.011498	-0.006579	-0.008280
chr1	3569108	5144925	0.175793	0.056250	0.038821	0.149632
chr1	5161665	5921053	0.254488	0.123358	0.070392	0.191527
chr1	5921054	6845747	0.339667	0.181915	0.112370	0.313684
chr1	6849238	7630490	0.176763	0.069171	0.045474	0.143548
chr1	7634012	8141977	0.510081	0.202090	0.142448	0.425170
chr1	8189654	8877729	0.287805	0.109377	0.065422	0.222642
chr1	8890898	11640570	0.360301	0.196848	0.115594	0.311129
chr1	11701615	13512269	0.137746	0.069234	0.042207	0.137190
chr1	13585443	14716989	0.114673	0.077933	0.041986	0.095581
chr1	14716991	15672593	0.238250	0.118009	0.069989	0.152290
chr1	15689091	16940933	0.349754	0.263549	0.157498	0.291630
chr1	16983364	17563643	0.156479	0.121557	0.053467	0.100000
chr1	17584678	21068036	0.197652	0.110887	0.051614	0.159940
chr1	21085669	22667867	0.551637	0.275973	0.166021	0.475742
chr1	22694388	24346895	0.462658	0.296642	0.156530	0.368910
chr1	24433060	25397588	0.447273	0.220743	0.126527	0.383178
chr1	25399787	27490715	0.143810	0.052625	0.034876	0.147679
chr1	27542381	28985117	0.151099	0.066910	0.042464	0.137856
chr1	28987188	31328321	0.206813	0.086163	0.045609	0.168831
chr1	31369350	32904715	0.042093	0.014203	0.008464	0.037261
chr1	32905465	33853533	0.345041	0.228819	0.123688	0.296903
chr1	33857400	35385036	0.331849	0.171461	0.089678	0.261863
chr1	35415546	36857490	0.309577	0.166169	0.099357	0.244828
chr1	36862157	37600971	0.393013	0.196435	0.124195	0.312500
chr1	37604332	38733288	0.132411	0.070987	0.040455	0.109299
chr1	38767094	39913622	0.367958	0.171031	0.123559	0.348915
chr1	39932500	41684190	0.584548	0.277445	0.182121	0.531800
chr1	41690403	43367954	0.543233	0.244329	0.168350	0.477686
chr1	43378059	44991412	0.324723	0.167194	0.093341	0.247619
chr1	45074209	48765730	0.257862	0.085434	0.058811	0.233473
chr1	48788980	50064196	0.166316	0.052893	0.035462	0.134168
chr1	50084085	51517198	0.384361	0.113398	0.074182	0.287113
chr1	51565969	52730179	-0.127430	-0.055033	-0.035331	-0.107078
chr1	52732840	53479652	0.098776	0.067850	0.036545	0.068754
chr1	53498609	54199150	0.139147	0.070783	0.040471	0.102484
chr1	54280093	54937677	0.022222	0.011238	0.006262	0.019384
chr1	54969173	55572509	0.064748	0.042828	0.022325	0.079452
chr1	55572510	56316417	0.271523	0.106890	0.071936	0.207744
chr1	56324089	57101132	0.466667	0.185818	0.117879	0.364276
chr1	57101855	57785440	0.340619	0.167713	0.103976	0.289166
chr1	57786258	59034982	0.333333	0.120366	0.066531	0.298113
chr1	59096503	59843352	0.050921	0.024947	0.015615	0.041870
chr1	59872160	60864083	0.341675	0.160488	0.097083	0.289324
chr1	60883271	62013048	0.530255	0.250094	0.161899	0.491828
chr1	62013704	62735467	0.558360	0.341113	0.195077	0.461338
chr1	62855520	63663692	0.046414	0.021699	0.012981	0.044534
chr1	63667681	65851216	0.005319	0.002364	0.001577	0.001531
chr1	65857428	66933781	0.080913	0.033457	0.019182	0.064677
chr1	66934592	68193605	0.336673	0.212255	0.101931	0.302158
chr1	68195524	69225716	-0.192460	-0.094419	-0.057962	-0.161062
chr1	69358122	70054654	0.260623	0.141393	0.073239	0.190476
chr1	70093607	71812944	0.389121	0.164359	0.111589	0.321799
chr1	71869847	72694625	0.475535	0.307312	0.193749	0.442120
chr1	72694626	73549648	0.356996	0.216875	0.128884	0.323392
chr1	73598881	75910349	0.271255	0.122608	0.068531	0.227036
chr1	75912912	76890709	0.473785	0.286016	0.155637	0.430079
chr1	76906984	78209211	0.584973	0.291747	0.166313	0.535188
chr1	78217133	80193735	-0.138352	-0.058866	-0.030411	-0.115450
chr1	80223664	81043998	0.537841	0.303877	0.163899	0.440860
chr1	81044133	81980539	0.038943	0.017579	0.009599	0.031963
chr1	81993425	83502392	0.294000	0.107149	0.075578	0.253886
chr1	83595059	85234782	0.295455	0.093637	0.061836	0.233813
chr1	85235588	85862578	-0.074850	-0.051370	-0.028348	-0.057644
chr1	85862648	86973096	-0.091241	-0.052493	-0.032446	-0.075301
chr1	86973374	88409738	0.428415	0.179145	0.124458	0.318108
chr1	88419428	89284483	0.271493	0.099228	0.066828	0.199262
chr1	89307863	89902055	0.149660	0.049395	0.031235	0.129032
chr1	89988666	90828544	0.348061	0.114336	0.064816	0.295107
chr1	90861335	92347348	0.310700	0.085271	0.050765	0.254637
chr1	92351537	93894160	0.589242	0.321619	0.204122	0.486869
chr1	93974395	95095047	0.596302	0.392031	0.267542	0.568282
chr1	95179712	97222669	0.274194	0.092382	0.066024	0.252059
chr1	97241636	98274238	-0.202151	-0.127949	-0.067103	-0.180036
chr1	98339310	100800534	0.428279	0.139597	0.089996	0.376577
chr1	100904065	101435568	0.603568	0.378967	0.248639	0.513924
chr1	101446669	104051512	0.616393	0.273703	0.198321	0.581071
chr1	104061684	106593892	0.135074	0.049867	0.032366	0.103884
chr1	106605240	107827428	0.522107	0.342734	0.201501	0.480519
chr1	107844540	112253751	0.437186	0.186451	0.117409	0.404651
chr1	112309214	113764401	0.215029	0.075836	0.052067	0.169708
chr1	113767581	114516509	0.500599	0.276852	0.180679	0.428864
chr1	114551600	115899512	0.175245	0.067506	0.038979	0.128397
chr1	115900725	117107912	0.456229	0.295636	0.193479	0.402675
chr1	117110716	118712360	0.487487	0.165075	0.099310	0.386838
chr1	118751298	119840614	0.062104	0.033770	0.018657	0.044834
chr1	119931132	120832582	0.030822	0.019689	0.010656	0.026445
chr1	120876701	121950039	0.447393	0.231827	0.142126	0.376396
chr1	121950045	122995793	0.109756	0.030550	0.023212	0.082569
chr1	123003471	123429886	0.199134	0.149756	0.078253	0.149837
chr1	123439838	124620648	0.156764	0.115672	0.067160	0.106713
chr1	124651539	126144116	0.159844	0.082578	0.051529	0.134426
chr1	126177299	128683307	0.161595	0.094828	0.050971	0.121451
chr1	128697193	129706443	0.490585	0.353656	0.189196	0.381062
chr1	129727753	131530102	-0.021531	-0.009073	-0.005140	-0.023158
chr1	131530455	132137418	0.200000	0.099249	0.064132	0.161010
chr1	132141209	133189184	0.221774	0.106075	0.049879	0.187713
chr1	133211942	134369152	0.271091	0.099300	0.065919	0.202020
chr1	134369249	135689105	-0.140992	-0.053071	-0.033054	-0.107011
chr1	135691507	136759859	0.247512	0.116647	0.072947	0.178796
chr1	136761184	140645916	0.392057	0.139039	0.096026	0.303586
chr1	140650884	141832650	0.273423	0.099008	0.067474	0.236797
chr1	141887839	143805966	0.327322	0.130263	0.085593	0.276786
chr1	143875075	145135122	0.260620	0.106765	0.072378	0.194991
chr1	145136637	145761009	0.043796	0.025296	0.016139	0.040678
