chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chrZ	507350	797540	0.302117	0.030293	0.023518	0.276571
chrZ	801541	1171829	0.296534	0.019083	0.015562	0.264654
chrZ	1180742	1388760	0.141013	0.018702	0.014886	0.144683
chrZ	1417589	2294806	0.033129	0.002846	0.002288	0.011419
chrZ	2310702	2897209	0.149656	0.011464	0.009086	0.146695
chrZ	2913764	3450004	0.033487	0.002370	0.001884	0.027043
chrZ	3462766	3782324	0.044277	0.003740	0.002966	0.046387
chrZ	3800141	4113635	0.093168	0.006803	0.005636	0.076428
chrZ	4130842	4295942	-0.097080	-0.010661	-0.008647	-0.080183
chrZ	4296412	4350581	-0.183489	-0.056378	-0.043785	-0.123304
chrZ	4350582	4373507	0.104274	0.059758	0.045408	0.073754
chrZ	4375026	4413433	0.083969	0.031309	0.025009	0.058712
chrZ	4413711	4463706	0.063371	0.039704	0.025299	0.045900
chrZ	4464144	4492821	0.048463	0.026091	0.017701	0.023893
chrZ	4493675	4528065	-0.084608	-0.033239	-0.024431	-0.064061
chrZ	4528126	4551085	0.158473	0.071496	0.049607	0.105465
chrZ	4551195	4577804	-0.133913	-0.046771	-0.033966	-0.074184
chrZ	4578613	4621827	-0.283684	-0.100312	-0.073421	-0.212321
chrZ	4622077	4639552	0.254320	0.118431	0.094351	0.186092
chrZ	4640098	4763521	0.150852	0.032022	0.024642	0.129666
chrZ	4763542	5027037	0.008831	0.000746	0.000628	0.003305
chrZ	5036194	5195387	-0.040678	-0.006623	-0.005191	-0.030252
chrZ	5203123	5305600	-0.342760	-0.079557	-0.057675	-0.262036
chrZ	5305692	5392405	-0.366425	-0.067127	-0.053919	-0.252409
chrZ	5392683	5515972	-0.063264	-0.010948	-0.008350	-0.053154
chrZ	5520293	5658587	-0.347340	-0.079627	-0.056125	-0.257883
chrZ	5659541	6070312	0.273908	0.035022	0.030229	0.238305
chrZ	6070933	6752825	0.242424	0.021400	0.018156	0.199068
chrZ	6752864	6865576	0.007098	0.001225	0.000940	0.006020
chrZ	6865826	6968184	-0.001692	-0.000324	-0.000259	-0.001257
chrZ	6976740	7149976	-0.232218	-0.039016	-0.029735	-0.176752
chrZ	7149980	7253439	-0.169014	-0.044747	-0.035066	-0.124697
chrZ	7254025	7614376	-0.100120	-0.010623	-0.008512	-0.087655
chrZ	7641338	7927327	-0.179470	-0.035782	-0.026541	-0.153221
chrZ	7934716	8174451	-0.022414	-0.004017	-0.003017	-0.019394
chrZ	8174458	8506769	-0.621557	-0.120632	-0.079249	-0.459699
chrZ	8565157	8822687	-0.293889	-0.052365	-0.039677	-0.263708
chrZ	8823001	8870344	-0.239612	-0.097961	-0.062978	-0.176831
chrZ	8870381	8976194	0.055393	0.013548	0.010362	0.041470
chrZ	8977649	9079731	-0.056842	-0.013331	-0.009935	-0.044895
chrZ	9084148	9158718	0.175711	0.041510	0.031613	0.138211
chrZ	9160119	9267521	-0.197628	-0.045562	-0.035541	-0.179788
chrZ	9268089	9371602	-0.080573	-0.012139	-0.009363	-0.074875
chrZ	9371724	9458477	-0.331749	-0.066981	-0.048737	-0.259284
chrZ	9458502	9581169	-0.116628	-0.015809	-0.012642	-0.068738
chrZ	9582042	9683520	-0.225166	-0.021775	-0.017201	-0.178634
chrZ	9683525	10157179	0.105232	0.007789	0.006498	0.096774
chrZ	10157393	10732337	0.084875	0.004949	0.003968	0.074570
chrZ	10735092	11094299	0.214062	0.016052	0.013016	0.189696
chrZ	11097331	11586065	0.073692	0.004684	0.003818	0.073244
chrZ	11586151	11967714	0.171457	0.010712	0.009075	0.154113
chrZ	11970181	12247233	0.211630	0.021300	0.018024	0.206608
chrZ	12263165	12683866	0.299332	0.021487	0.017901	0.276847
chrZ	12692606	13108194	-0.031563	-0.002448	-0.002164	-0.011652
chrZ	13115920	13936390	-0.140969	-0.007012	-0.005866	-0.140969
chrZ	13975500	14475329	-0.105495	-0.006704	-0.005499	-0.116279
chrZ	14475454	14721992	-0.015854	-0.001695	-0.001385	-0.012299
chrZ	14742643	15254106	-0.127329	-0.006974	-0.005798	-0.119534
chrZ	15259670	16155524	-0.008942	-0.000418	-0.000363	-0.008942
chrZ	16173333	16805458	0.095363	0.004516	0.003654	0.086577
chrZ	16821697	17156093	0.276971	0.020052	0.016390	0.252602
chrZ	17179709	17674553	-0.266470	-0.019070	-0.014761	-0.262977
chrZ	17697705	18091244	-0.137324	-0.010659	-0.008347	-0.124528
chrZ	18094140	18644115	0.209845	0.010556	0.008656	0.157722
chrZ	18644193	19091221	0.176530	0.010552	0.008684	0.176366
chrZ	19091238	19240946	-0.093126	-0.007815	-0.006886	-0.070187
chrZ	19240949	19576145	-0.169862	-0.013993	-0.011373	-0.142785
chrZ	19576160	20053677	0.136020	0.008857	0.007361	0.120238
chrZ	20056089	20576781	-0.230582	-0.015347	-0.012215	-0.213107
chrZ	20578595	21079553	-0.143687	-0.013537	-0.010225	-0.120586
chrZ	21122287	21708526	-0.151002	-0.009598	-0.007574	-0.148785
chrZ	21716710	22432395	0.099152	0.005726	0.004688	0.099570
chrZ	22432469	22719620	0.286289	0.020659	0.017078	0.222133
chrZ	22726853	23723143	-0.027149	-0.001366	-0.001117	-0.025093
chrZ	23723163	24225611	-0.101274	-0.006224	-0.005246	-0.088721
chrZ	24230984	24959410	-0.169086	-0.009385	-0.007538	-0.163127
chrZ	24968912	25440790	0.094400	0.005845	0.004742	0.091757
