chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chr1	1051627	1819686	0.069544	0.040371	0.024726	0.057160
chr1	1821246	2168104	0.339093	0.172055	0.122163	0.288603
chr1	2183883	3053304	0.205663	0.108193	0.069918	0.156818
chr1	3058768	3748065	0.191164	0.092346	0.050006	0.145068
chr1	3769047	4944711	0.407514	0.201681	0.134912	0.345070
chr1	4956394	5503413	0.066667	0.039511	0.022620	0.060322
chr1	5513624	6425893	0.230672	0.126712	0.082590	0.158103
chr1	6462482	7354511	0.387500	0.185691	0.107246	0.335505
chr1	7365313	7963362	0.054063	0.030559	0.017093	0.051546
chr1	7978483	8381559	0.066344	0.030099	0.021136	0.055620
chr1	8385287	9524224	0.363307	0.220705	0.153352	0.310601
chr1	9534818	12030919	0.204969	0.083213	0.055072	0.197578
chr1	12047365	13503359	-0.056859	-0.024818	-0.016503	-0.037694
chr1	13514970	14525517	0.121857	0.076619	0.053019	0.098901
chr1	14529942	15331595	0.490251	0.346912	0.255381	0.325436
chr1	15468213	16546430	0.143160	0.060852	0.045447	0.097080
chr1	16589655	17362781	0.027027	0.018848	0.011742	0.024291
chr1	17388059	18486342	-0.110680	-0.055340	-0.036865	-0.112701
chr1	18502188	21903458	0.514941	0.215126	0.147948	0.435882
chr1	21907097	22788576	0.003444	0.001500	0.001002	0.002997
chr1	22797636	24463314	0.011802	0.006101	0.004480	0.011029
chr1	24497765	25746156	0.230597	0.071264	0.050408	0.188094
chr1	25762640	27700704	0.344327	0.147917	0.107209	0.270466
chr1	27711795	28672356	0.376027	0.201025	0.134460	0.344633
chr1	28712980	29653478	0.223982	0.129215	0.084471	0.207522
chr1	29744093	31846576	0.485714	0.232250	0.184813	0.420855
chr1	31846584	32894843	-0.071264	-0.029254	-0.021392	-0.056890
chr1	32905465	33857400	0.273733	0.111738	0.085813	0.206009
chr1	33976525	35971574	0.326733	0.122856	0.093721	0.319945
chr1	36038502	36889313	0.051809	0.029255	0.018647	0.050847
chr1	36889942	37742339	0.072199	0.033067	0.024086	0.053342
chr1	37749869	38900338	0.146087	0.051266	0.035997	0.121739
chr1	38916214	39994226	0.317422	0.159059	0.113224	0.236234
chr1	40001833	41727577	-0.177812	-0.060961	-0.042215	-0.154306
chr1	41727578	43385681	0.532221	0.213569	0.153914	0.384868
chr1	43416329	45986048	-0.165730	-0.061576	-0.043113	-0.127534
chr1	46027324	48830929	-0.056518	-0.022848	-0.014764	-0.042884
chr1	48831106	49875867	0.310345	0.118474	0.081934	0.265033
chr1	49904492	51306867	-0.079787	-0.031052	-0.020724	-0.063425
chr1	51306940	52180115	-0.103704	-0.085424	-0.045153	-0.079345
chr1	52255705	53107981	-0.019036	-0.010758	-0.006689	-0.008237
chr1	53109931	53668465	-0.082623	-0.043720	-0.025615	-0.085911
chr1	53669573	54397373	-0.073684	-0.044805	-0.029228	-0.059897
chr1	54408081	54901529	0.081384	0.043080	0.028557	0.077307
chr1	54926808	55746670	0.013055	0.006130	0.004034	0.016043
chr1	55747176	56181851	-0.170960	-0.097268	-0.062251	-0.151874
chr1	56218136	56865688	0.436255	0.183264	0.125489	0.378456
chr1	56877396	57521860	0.212714	0.072824	0.057724	0.158470
chr1	57525122	58235703	-0.051458	-0.019249	-0.014432	-0.044118
chr1	58281797	59181381	0.193625	0.100062	0.055702	0.144385
chr1	59183939	59925695	-0.148069	-0.088179	-0.045425	-0.098712
chr1	59927698	60896032	-0.162539	-0.074468	-0.049881	-0.146036
chr1	60924537	62180067	0.147638	0.051897	0.029471	0.110850
chr1	62192375	63046036	0.595522	0.259217	0.206468	0.529880
chr1	63050448	63449099	0.209689	0.117237	0.071370	0.188550
chr1	63464829	64931921	0.073273	0.045026	0.025313	0.068392
chr1	64933295	66150979	0.119134	0.080724	0.047847	0.096539
chr1	66151902	66943292	-0.156522	-0.090729	-0.055251	-0.138690
chr1	66946313	68143564	-0.100840	-0.039591	-0.024984	-0.081744
chr1	68168317	68936270	0.219101	0.114537	0.076073	0.168588
chr1	68941429	69900265	-0.016746	-0.008676	-0.005258	-0.014295
chr1	69916958	71747669	0.246193	0.102321	0.065467	0.169139
chr1	71749398	72737509	0.033566	0.014986	0.009575	0.022995
chr1	72756038	73629506	0.474740	0.219776	0.155323	0.371728
chr1	73634915	75335216	-0.120556	-0.049391	-0.030678	-0.126816
chr1	75910349	76890698	0.400738	0.168896	0.110771	0.357943
chr1	76890709	78180789	0.112183	0.049866	0.030608	0.116705
chr1	78188791	79030658	0.256623	0.187462	0.124182	0.244078
chr1	79039287	80424353	0.422693	0.184339	0.129575	0.412811
chr1	80427263	81168409	0.374046	0.143953	0.104095	0.284516
chr1	81178329	82551527	0.178744	0.094609	0.068413	0.147020
chr1	82619440	84357821	0.165761	0.050110	0.033050	0.107143
chr1	84467276	85583046	-0.170797	-0.074301	-0.048567	-0.141076
chr1	85606889	86230690	0.104218	0.075157	0.051230	0.089744
chr1	86240767	87565026	0.310881	0.131603	0.079164	0.216200
chr1	87566686	88546485	0.364689	0.185944	0.117978	0.291971
chr1	88592961	89282010	0.105675	0.050373	0.036078	0.085308
chr1	89283360	89998031	0.348519	0.103007	0.075855	0.299023
chr1	89999337	90588219	0.326712	0.114471	0.074747	0.284404
chr1	90605700	91688003	0.609768	0.223812	0.167770	0.561818
chr1	91690117	92952514	0.270475	0.102384	0.067514	0.250774
chr1	92958698	94942162	0.406998	0.180900	0.093545	0.361290
chr1	94949445	96753427	0.447403	0.191208	0.123917	0.379233
chr1	96753751	97745204	0.184791	0.108725	0.063847	0.172218
chr1	97745401	99152800	0.244992	0.121420	0.074135	0.227060
chr1	99178171	101005734	-0.019143	-0.006777	-0.004870	-0.014737
chr1	101005928	101468030	0.589286	0.382609	0.268441	0.446494
chr1	101476465	102896441	0.420204	0.198675	0.143208	0.354196
chr1	102898500	105771381	-0.087027	-0.050081	-0.027739	-0.066998
chr1	105775098	107706056	0.010563	0.004194	0.003085	0.015504
chr1	107708706	111944067	0.282004	0.114746	0.075490	0.260274
chr1	111956573	113448186	0.126850	0.066679	0.040531	0.101580
chr1	113462165	114470206	0.191097	0.115038	0.061391	0.142438
chr1	114498986	115273143	0.143836	0.067680	0.046017	0.104197
chr1	115314350	116311915	0.518288	0.180439	0.135655	0.399760
chr1	116319952	118312725	0.073478	0.027146	0.019041	0.054890
chr1	118378311	119535742	0.049736	0.026966	0.016705	0.043450
chr1	119559384	120587265	-0.025105	-0.014472	-0.007995	-0.021053
chr1	120601560	121595998	0.317406	0.129234	0.088963	0.258333
chr1	121640639	122717299	0.501285	0.332410	0.196078	0.414673
chr1	122718175	123086230	0.105653	0.053259	0.036173	0.081081
chr1	123095093	123890681	0.297748	0.131468	0.082182	0.282326
chr1	123910615	125144687	0.206432	0.122259	0.064660	0.164678
chr1	125145210	128492108	0.242152	0.113307	0.063325	0.199557
chr1	128498661	129480228	0.371817	0.149590	0.106999	0.305866
chr1	129480391	130443345	0.186630	0.077877	0.055364	0.148559
chr1	130446508	132014642	0.456125	0.149765	0.113747	0.375815
chr1	132019350	132705580	0.230464	0.088527	0.059830	0.205917
chr1	132803313	133678766	0.229655	0.087747	0.065333	0.206079
chr1	133682455	134869580	0.649644	0.293774	0.218930	0.587413
chr1	134873979	135928135	0.531133	0.269202	0.206655	0.400228
chr1	135946279	140041217	-0.081571	-0.025452	-0.016706	-0.066476
chr1	140248121	141285072	-0.031627	-0.015204	-0.010102	-0.034395
chr1	141304757	141832650	0.345960	0.223066	0.143731	0.332255
chr1	141854141	143466717	0.009554	0.004527	0.003308	0.008345
chr1	143505393	144669842	0.385672	0.190869	0.131022	0.284165
chr1	144685170	145278254	0.059880	0.040464	0.026867	0.053473
chr1	145278308	146022386	0.190068	0.086205	0.056963	0.153315
chr1	146023678	147015973	0.034377	0.020399	0.013025	0.027335
chr1	147017838	147676834	0.326087	0.197265	0.140449	0.228326
chr1	147702531	148482238	0.275943	0.200228	0.128266	0.231699
chr1	148498805	149185443	0.304569	0.197802	0.138835	0.218447
chr1	149193046	149844839	-0.079316	-0.037961	-0.025348	-0.068641
chr1	149848483	150999750	0.232836	0.100808	0.071445	0.210191
chr1	151072944	151923721	-0.049541	-0.026919	-0.016613	-0.032345
chr1	151941206	152301830	-0.115966	-0.068308	-0.048630	-0.088650
chr1	152310365	153955420	-0.061358	-0.031278	-0.017985	-0.047028
chr1	153957545	156217129	0.190000	0.107801	0.067187	0.147727
chr1	156217140	157060631	-0.217330	-0.159749	-0.090774	-0.195000
chr1	157063398	158080426	0.007506	0.003541	0.002400	0.007070
chr1	158112475	158887783	0.164345	0.087494	0.059277	0.120332
chr1	158890729	159707130	0.008469	0.005659	0.003488	0.007212
chr1	159707134	167408453	0.277056	0.152200	0.089500	0.225694
chr1	167481764	169131778	0.351818	0.107995	0.077859	0.257586
chr1	169137411	170724535	0.014533	0.008320	0.005114	0.011791
chr1	170732124	171878137	0.019576	0.008296	0.004993	0.008108
chr1	172010440	177628206	0.164319	0.065533	0.042792	0.150628
chr1	177631602	180938945	0.135455	0.052944	0.036825	0.115457
chr1	180988931	181782641	0.094151	0.048044	0.031354	0.074863
chr1	181799633	182780715	0.120863	0.056949	0.036009	0.088968
chr1	182784777	183560360	0.022872	0.013091	0.007754	0.011885
chr1	183563136	184115245	0.366346	0.167399	0.127895	0.275533
chr1	184135462	185446962	0.313433	0.142266	0.105646	0.286031
chr1	185491234	185980830	0.124834	0.052135	0.039123	0.098670
chr1	186028384	187109901	0.458895	0.176814	0.133216	0.429112
chr1	187119630	188049839	0.258177	0.151524	0.094370	0.196520
chr1	188093960	189470342	0.247242	0.130034	0.079640	0.222677
chr1	189476468	190723669	0.042791	0.023502	0.015402	0.032258
chr1	190747322	192527129	0.325700	0.120188	0.078680	0.267857
chr1	192531029	193871792	0.124884	0.045825	0.031461	0.094208
chr1	193872506	194836536	0.353338	0.210080	0.152848	0.304067
chr1	194836667	195589624	-0.175507	-0.086605	-0.054381	-0.139147
chr1	195600112	197498949	0.168613	0.071208	0.041573	0.141353
chr1	197646587	200124398	-0.108709	-0.049883	-0.029906	-0.094111
chr1	200144767	201935564	0.076819	0.049782	0.029022	0.069606
chr1	202014901	203195674	0.262118	0.150319	0.087211	0.234375
chr1	203230117	204341150	0.581958	0.313010	0.216388	0.568876
chr1	204343539	204717039	0.280718	0.162295	0.127277	0.227340
chr1	204729504	205744038	0.120662	0.085000	0.054741	0.085714
chr1	205750232	206835735	-0.002283	-0.001161	-0.000821	-0.001743
chr1	206837844	207554500	0.336826	0.152439	0.105337	0.274056
chr1	207567715	208498741	-0.004464	-0.002171	-0.001367	-0.001757
chr1	208502523	209061564	0.418327	0.223357	0.157409	0.338001
chr1	209116323	209757522	0.198406	0.094515	0.063022	0.157282
chr1	209770372	210425553	0.482363	0.217939	0.159566	0.364991
chr1	210437991	211375865	-0.099019	-0.040188	-0.025299	-0.061644
chr1	211401603	213909627	0.175182	0.083975	0.051635	0.140394
chr2	168392	826883	0.219269	0.153399	0.092778	0.184314
chr2	844069	1383742	0.222375	0.142983	0.096803	0.200743
chr2	1407165	2763855	0.253906	0.146644	0.091463	0.210583
chr2	2764729	3523065	0.510965	0.242288	0.186624	0.388549
chr2	3607082	5044654	0.120729	0.054667	0.039435	0.092045
chr2	5120065	5994585	0.302075	0.104382	0.078694	0.281311
chr2	6077120	6543462	0.396411	0.307206	0.191943	0.318302
chr2	6543463	7265455	0.143740	0.063699	0.044803	0.124665
chr2	7269358	8515979	0.240515	0.098217	0.070737	0.225806
chr2	8515980	9429737	0.317460	0.121910	0.081837	0.259574
chr2	9446808	10494618	0.171745	0.082429	0.052550	0.126876
chr2	10586461	11717585	0.158333	0.053555	0.043286	0.154430
chr2	11734758	13025990	-0.047327	-0.019282	-0.012846	-0.036468
chr2	13027967	15106329	0.435325	0.190901	0.123143	0.363686
chr2	15108701	16269971	-0.035517	-0.011909	-0.007929	-0.026834
chr2	16273625	16955000	0.052440	0.037018	0.020725	0.064593
chr2	16955936	18580389	0.270706	0.111510	0.070504	0.229412
chr2	18609624	20036505	0.475303	0.151335	0.100265	0.408000
chr2	20110312	22301205	0.465792	0.143200	0.110947	0.397977
chr2	22318627	23797842	0.303826	0.091329	0.057095	0.293431
chr2	23798607	25122424	0.178389	0.066524	0.049003	0.155866
chr2	25123997	26628201	-0.177704	-0.079535	-0.052809	-0.135678
chr2	26629850	27453835	0.215201	0.081699	0.059914	0.174442
chr2	27506720	29706946	0.322063	0.094588	0.071095	0.258305
chr2	29829961	31783522	0.330911	0.159656	0.107166	0.293842
chr2	31804561	32863858	0.379156	0.210196	0.138121	0.358740
chr2	32905117	33929601	0.309937	0.118713	0.087149	0.249049
chr2	33933568	35067004	0.556257	0.250549	0.156051	0.501034
chr2	35068568	36043607	0.196262	0.080808	0.058469	0.166667
chr2	36044153	36684208	0.275289	0.181385	0.105482	0.212493
chr2	36707943	37045259	0.337748	0.178010	0.128157	0.284746
