chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chr1	1020420	1680310	0.125842	0.055683	0.036679	0.081030
chr1	1695582	2043757	0.355167	0.168891	0.112500	0.254593
chr1	2043914	2647500	-0.017348	-0.009655	-0.006382	-0.013889
chr1	2657543	3317482	-0.290323	-0.140028	-0.084708	-0.252336
chr1	3320916	3915221	0.039834	0.018241	0.012030	0.033356
chr1	3924071	5187901	0.098669	0.032958	0.022224	0.086427
chr1	5189016	5654055	0.331692	0.168677	0.101243	0.227174
chr1	5678356	6525910	0.314157	0.181229	0.110357	0.263118
chr1	6528255	7095494	0.189064	0.075521	0.046589	0.138518
chr1	7152228	7812458	0.206005	0.083444	0.052015	0.179895
chr1	7828202	8136069	0.315789	0.115779	0.083088	0.247361
chr1	8139039	8684274	0.046853	0.017638	0.013350	0.035169
chr1	8702028	9670329	0.218915	0.097249	0.070512	0.170787
chr1	9891854	11700117	0.344037	0.140924	0.094482	0.280479
chr1	11701615	13143197	0.192579	0.088431	0.061867	0.180219
chr1	13187569	14444396	-0.018584	-0.008881	-0.006134	-0.016241
chr1	14449017	14907742	0.428797	0.293420	0.198685	0.303797
chr1	14911302	15704210	0.246358	0.108045	0.078947	0.145631
chr1	15727540	16769007	0.283445	0.204094	0.138029	0.240795
chr1	16780470	17331164	0.219261	0.173410	0.106829	0.155015
chr1	17344171	17929777	0.147248	0.094436	0.057827	0.097279
chr1	17935205	20573678	0.232130	0.189076	0.091837	0.203488
chr1	20694468	22226065	0.691399	0.303240	0.221918	0.592905
chr1	22226118	22890175	0.421789	0.228298	0.141645	0.389107
chr1	22895421	24346895	0.146460	0.094877	0.061390	0.118783
chr1	24377347	25149703	0.429282	0.182620	0.132991	0.274027
chr1	25153943	25895291	0.243243	0.113574	0.078835	0.212283
chr1	25910995	27478917	0.240284	0.070086	0.053100	0.148253
chr1	27479294	28338494	0.472322	0.188252	0.136846	0.397720
chr1	28343179	29141878	0.254294	0.102823	0.073210	0.216948
chr1	29144470	30706676	0.451213	0.164991	0.114626	0.298440
chr1	30706681	32099302	0.264952	0.104153	0.073205	0.146206
chr1	32102022	32960768	-0.034835	-0.011002	-0.008297	-0.023204
chr1	32960786	33754916	0.181868	0.110963	0.077182	0.126631
chr1	33762160	34475943	0.332458	0.139740	0.110873	0.230489
chr1	34476784	36049173	0.130888	0.066458	0.043686	0.106637
chr1	36100831	36805787	0.368304	0.158998	0.108463	0.232365
chr1	36807077	37327597	0.179201	0.094708	0.069500	0.124960
chr1	37328585	37840221	0.221865	0.118897	0.083333	0.121622
chr1	37905219	38808530	-0.002778	-0.001240	-0.000826	-0.002179
chr1	38810479	39677434	0.286307	0.119667	0.093445	0.242105
chr1	39685510	40572635	0.564589	0.354576	0.229864	0.520400
chr1	40588152	42039293	0.158672	0.075274	0.052317	0.126424
chr1	42161019	43268090	0.341060	0.166040	0.117090	0.297975
chr1	43330280	44579146	-0.026362	-0.010816	-0.007738	-0.024122
chr1	44625574	47645460	-0.056143	-0.019627	-0.013605	-0.055824
chr1	47788978	49036951	0.049131	0.018701	0.012178	0.061699
chr1	49037133	49875867	0.383408	0.119807	0.096605	0.300398
chr1	49904099	50726592	-0.180068	-0.069911	-0.048619	-0.150236
chr1	50726945	51719557	0.021157	0.009538	0.006436	0.014615
chr1	51741572	52725043	-0.168070	-0.082398	-0.048574	-0.143035
chr1	52726282	53360835	0.153426	0.084559	0.056058	0.107009
chr1	53362641	53817643	0.090350	0.055435	0.030522	0.083761
chr1	53824422	54522716	0.022233	0.009694	0.007019	0.021681
chr1	54526764	55083268	-0.125103	-0.069175	-0.040912	-0.099001
chr1	55125055	55572510	-0.255697	-0.158969	-0.100466	-0.183061
chr1	55578460	56155422	0.014109	0.006722	0.004750	0.003377
chr1	56164363	56579506	0.341779	0.148167	0.102491	0.254974
chr1	56581466	57152794	0.257885	0.118601	0.092389	0.224798
chr1	57186572	57866889	0.214286	0.072678	0.057619	0.162044
chr1	57883090	58797531	0.408057	0.199961	0.123476	0.337290
chr1	58803828	59490182	0.010309	0.003962	0.002415	0.009339
chr1	59501182	60366017	-0.251432	-0.089032	-0.061741	-0.173554
chr1	60371822	60924943	0.407407	0.216143	0.143809	0.344806
chr1	60926992	61930017	0.419562	0.183197	0.100104	0.409752
chr1	61957106	62651861	0.442247	0.217603	0.152487	0.299439
chr1	62651862	63223368	0.642857	0.302774	0.252088	0.535677
chr1	63224186	63704967	0.224149	0.105362	0.064865	0.208156
chr1	63714808	65274019	0.041734	0.022264	0.013460	0.041507
chr1	65274163	66149538	0.229782	0.126741	0.079520	0.170732
chr1	66149655	66892839	-0.105651	-0.040099	-0.026310	-0.077899
chr1	66892926	67697083	0.317331	0.205968	0.113869	0.249520
chr1	67740341	68432116	-0.276577	-0.166578	-0.099021	-0.201026
chr1	68434933	69376209	-0.104400	-0.054093	-0.038952	-0.082936
chr1	69383649	69976507	0.158182	0.108614	0.060052	0.115226
chr1	70024268	71234124	0.193636	0.074881	0.050248	0.139307
chr1	71338638	72339402	-0.051293	-0.022837	-0.014205	-0.035452
chr1	72343551	72792503	0.401370	0.266779	0.158052	0.352550
chr1	72792504	73629506	0.546924	0.220094	0.153555	0.429478
chr1	73674502	75271899	0.076981	0.034976	0.021679	0.059961
chr1	75294751	76624655	0.185235	0.117222	0.065691	0.166466
chr1	76627669	77638944	0.485069	0.301972	0.169154	0.404973
chr1	77666521	78292721	0.323045	0.170436	0.100975	0.283906
chr1	78296480	79155160	0.082815	0.046619	0.029559	0.070164
chr1	79181424	80383933	0.201336	0.109743	0.070726	0.167593
chr1	80384490	80816907	0.555475	0.422875	0.284093	0.445060
chr1	80835215	81489043	0.206842	0.101788	0.073481	0.180865
chr1	81530217	82748446	-0.142048	-0.056070	-0.040752	-0.131019
chr1	82799439	83997086	0.066262	0.022525	0.015218	0.040789
chr1	84000734	85273063	-0.285360	-0.108661	-0.068746	-0.216074
chr1	85283269	85755460	0.202963	0.117563	0.079914	0.155556
chr1	85772008	86636015	0.095573	0.063687	0.040837	0.079720
chr1	86649277	87566686	0.328125	0.129009	0.088132	0.224273
chr1	87608025	88342111	0.412763	0.240026	0.156045	0.338266
chr1	88368184	89041086	0.135338	0.046746	0.035032	0.078534
chr1	89046088	89703117	0.299180	0.090909	0.062316	0.220396
chr1	89705157	90352636	0.747021	0.245145	0.173652	0.488952
chr1	90361768	90861335	0.153846	0.059014	0.039563	0.128018
chr1	90890230	91764587	0.665433	0.197858	0.144555	0.572877
chr1	91765648	92588376	0.028533	0.014456	0.009477	0.031465
chr1	92690859	94162090	0.537837	0.290018	0.161089	0.455371
chr1	94166288	95040856	0.665280	0.411520	0.207672	0.570684
chr1	95042956	96181843	0.253599	0.100439	0.067825	0.216378
chr1	96279805	97556479	0.201622	0.090980	0.060119	0.191419
chr1	97566998	98203872	0.160270	0.096172	0.068032	0.118621
chr1	98222791	100356952	0.136108	0.043920	0.029236	0.124871
chr1	100360485	101022160	0.394667	0.202232	0.146510	0.306207
chr1	101041350	101400729	0.600805	0.393212	0.280000	0.449498
chr1	101414634	102552281	0.485746	0.206174	0.156851	0.447324
chr1	102569672	105202348	0.045759	0.021934	0.011789	0.035702
chr1	105258501	106871985	0.310257	0.101087	0.074840	0.245234
chr1	106896642	107926347	0.535101	0.247356	0.184211	0.398066
chr1	107927148	110435395	0.166550	0.063985	0.044122	0.161248
chr1	110594406	113011591	0.377953	0.096970	0.067253	0.298343
chr1	113018209	113939028	0.375824	0.275940	0.175295	0.266937
chr1	113994920	114626050	0.097640	0.054422	0.030928	0.086705
chr1	114642626	115368544	0.416444	0.238023	0.147755	0.319149
chr1	115375304	116131889	0.450412	0.206990	0.145590	0.406438
chr1	116159357	117343359	0.180049	0.112320	0.070893	0.133014
