chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chr1	1819686	2434144	0.345261	0.217038	0.129720	0.268741
chr1	2442395	3956873	0.240463	0.123686	0.076631	0.206621
chr1	3983464	5570920	0.371138	0.172557	0.107336	0.285045
chr1	5593619	7447115	0.378657	0.148967	0.107341	0.324457
chr1	7515857	8532943	0.311813	0.142599	0.088430	0.268639
chr1	8543445	11181804	0.355536	0.159564	0.096754	0.255663
chr1	11688349	14235499	0.375523	0.178224	0.103223	0.286832
chr1	14256713	16076501	0.244318	0.154177	0.087719	0.167055
chr1	16160093	17621644	-0.102682	-0.065302	-0.033723	-0.087467
chr1	17744342	22610852	0.087022	0.041368	0.023903	0.088222
chr1	22663096	25262992	0.018385	0.008258	0.004183	0.014501
chr1	25352181	28012284	0.471234	0.209848	0.150673	0.427741
chr1	28017030	30092574	0.065244	0.030477	0.017811	0.065022
chr1	30143932	32846507	0.296989	0.153458	0.093782	0.220544
chr1	32892701	34870362	0.586373	0.336245	0.188920	0.465479
chr1	34891778	37200129	0.322755	0.190281	0.110595	0.272371
chr1	37229312	39205357	0.213962	0.090272	0.057002	0.172813
chr1	39216151	41690403	0.066474	0.030852	0.018520	0.039755
chr1	41702017	44266782	0.504058	0.221233	0.146359	0.331554
chr1	44297543	48895737	0.015787	0.007155	0.004412	0.013171
chr1	48936879	50892971	0.255501	0.095566	0.063947	0.197775
chr1	50924119	53013893	-0.015962	-0.007263	-0.004320	-0.000283
chr1	53017782	53778215	-0.136154	-0.069344	-0.038077	-0.129820
chr1	53787546	55145242	0.156574	0.074762	0.040899	0.119157
chr1	55169473	56415946	-0.038773	-0.017108	-0.010423	-0.031111
chr1	56461245	57713048	0.381119	0.144634	0.082787	0.241685
chr1	57817413	59346029	-0.035002	-0.017419	-0.008292	-0.033518
chr1	59378226	60420050	0.185780	0.132606	0.067877	0.155470
chr1	60420347	62021658	0.166213	0.064050	0.043618	0.125677
chr1	62106780	63417697	-0.011839	-0.005216	-0.002964	-0.009231
chr1	63425540	66329216	-0.121995	-0.047712	-0.027689	-0.094751
chr1	66373425	68228594	-0.366266	-0.201791	-0.096830	-0.327521
chr1	68229749	69614722	0.248273	0.162913	0.083351	0.208604
chr1	69660941	71749398	0.354436	0.160024	0.099263	0.254569
chr1	71749424	73209361	0.408058	0.183966	0.117817	0.338187
chr1	73245716	76828029	0.312349	0.097950	0.057346	0.268191
chr1	76851950	79500333	-0.295578	-0.121920	-0.064746	-0.247885
chr1	79576794	81753762	0.251352	0.120679	0.057816	0.174333
chr1	81867642	83926386	0.649167	0.259105	0.183467	0.480568
chr1	84023969	85931180	-0.055699	-0.023694	-0.014135	-0.045034
chr1	85938686	88230577	0.312574	0.130945	0.079284	0.261457
chr1	88291979	89335197	0.316306	0.148558	0.101147	0.243202
chr1	89398546	90960720	0.329371	0.112260	0.066272	0.301412
chr1	91134584	94896696	0.215943	0.048528	0.031303	0.183626
chr1	94941660	98428365	0.342339	0.120533	0.078908	0.299359
chr1	98477704	101005928	0.241718	0.096330	0.060496	0.209994
chr1	101006059	102372726	0.380884	0.186500	0.117848	0.295125
chr1	102402767	106625256	0.160933	0.085901	0.054223	0.137842
chr1	106629351	110435355	0.306137	0.156112	0.095452	0.231451
