chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chr1	1951849	3227134	0.239617	0.008136	0.006972	0.207658
chr1	3228557	4314796	0.050400	0.001777	0.001520	0.050847
chr1	4326508	5525489	0.258151	0.007061	0.006066	0.183766
chr1	5526361	7317740	0.164626	0.003982	0.003350	0.113514
chr1	7320655	8179421	0.085966	0.002711	0.002298	0.060150
chr1	8216265	9571516	0.000000	0.000000	0.000000	0.006682
chr1	9593725	12581131	-0.134286	-0.002770	-0.002397	-0.059574
chr1	12608916	14699033	-0.156555	-0.002739	-0.002476	-0.150533
chr1	14699034	15914437	0.015493	0.000323	0.000291	0.030100
chr1	15914478	17290796	0.057456	0.001740	0.001516	0.037688
chr1	17311884	21127766	0.090236	0.001602	0.001403	0.075377
chr1	21397679	22924193	0.163462	0.003998	0.003463	0.141079
chr1	22971939	25765295	0.105882	0.001988	0.001714	0.086787
chr1	25811881	28336813	0.145273	0.002967	0.002601	0.139585
chr1	28386016	30249073	0.184858	0.004809	0.004178	0.163465
chr1	30324856	32408541	0.098734	0.002717	0.002364	0.090612
chr1	32598755	33745195	-0.094702	-0.002260	-0.002005	-0.076851
chr1	33769816	36301358	0.269740	0.005431	0.004777	0.233973
chr1	36305221	37520292	-0.224876	-0.006089	-0.005385	-0.205274
chr1	37538718	39124848	0.183490	0.003992	0.003559	0.167408
chr1	39145721	41259912	0.219512	0.004516	0.004031	0.208507
chr1	41340427	43751150	-0.048250	-0.000778	-0.000699	-0.043627
chr1	43785977	49007834	-0.185946	-0.002738	-0.002443	-0.131320
chr1	49007836	50306404	-0.019339	-0.000543	-0.000465	0.000000
chr1	50337041	51865384	-0.174785	-0.003638	-0.003155	-0.144766
chr1	51948780	53516559	-0.211907	-0.004211	-0.003684	-0.175325
chr1	53532489	54484690	-0.052129	-0.001422	-0.001234	-0.036199
chr1	54485539	55462649	-0.034853	-0.000817	-0.000714	-0.034273
chr1	55464798	56260711	-0.474000	-0.012616	-0.011114	-0.372057
chr1	56286087	56912774	0.026619	0.000785	0.000700	0.013804
chr1	56945659	57712231	0.247837	0.006229	0.005630	0.224794
chr1	57713048	59003149	-0.151329	-0.003428	-0.003000	-0.101508
chr1	59034979	60019024	-0.369186	-0.007939	-0.006997	-0.310688
chr1	60021435	61158743	0.072254	0.001942	0.001662	0.074678
chr1	61610247	62892243	-0.388318	-0.007284	-0.006337	-0.340258
chr1	62915898	63995750	0.126238	0.002860	0.002545	0.106856
chr1	64029436	66300254	0.352785	0.007601	0.006678	0.258964
chr1	66309609	67618302	-0.196866	-0.003709	-0.003315	-0.171064
chr1	67682950	69093114	-0.206062	-0.005147	-0.004647	-0.150858
chr1	69123173	70910496	0.115336	0.002945	0.002498	0.088055
chr1	71244530	72776078	0.336735	0.006288	0.005513	0.245370
