chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chr1	2026899	3509470	0.301920	0.140194	0.095854	0.252874
chr1	3546684	6483932	0.311667	0.115670	0.078215	0.269006
chr1	6513043	8241279	0.428000	0.104479	0.077324	0.368966
chr1	8259142	12186865	0.290966	0.112085	0.073592	0.232578
chr1	12312220	15727540	0.279543	0.100319	0.064371	0.220952
chr1	15914478	18000116	0.343358	0.235800	0.122650	0.310658
chr1	18174303	24525582	0.336754	0.132753	0.077396	0.292549
chr1	24555052	28294896	0.424610	0.147103	0.094546	0.357664
chr1	28316120	32339545	0.059123	0.027540	0.015922	0.059524
chr1	32365946	36623676	0.268499	0.086131	0.053388	0.221640
chr1	36644617	38573801	0.199211	0.090895	0.055429	0.159055
chr1	38783090	42314951	0.490964	0.208085	0.138019	0.440890
chr1	42315136	48282535	0.271062	0.096480	0.063533	0.241042
chr1	48675923	51705722	0.180039	0.052184	0.038537	0.139656
chr1	51755249	53453983	0.217763	0.108388	0.069965	0.167977
chr1	53454707	54782607	-0.000000	-0.000000	-0.000000	-0.011278
chr1	54807656	56415946	0.110852	0.033213	0.021741	0.086758
chr1	56461245	58610735	0.382084	0.128038	0.071982	0.307806
chr1	58660852	60442442	0.471308	0.191343	0.118105	0.423700
chr1	60449202	62385075	0.513603	0.220115	0.147712	0.498051
chr1	62604693	65786761	-0.045173	-0.015555	-0.010057	-0.051685
chr1	65851216	68193605	0.113118	0.052392	0.026279	0.099084
chr1	68195524	70093607	-0.022682	-0.011080	-0.006482	-0.014542
chr1	70167808	72684000	0.535537	0.303134	0.184861	0.485294
chr1	72711772	76400194	0.352129	0.118681	0.071301	0.296512
chr1	76400206	79190674	0.306315	0.116432	0.067982	0.268417
chr1	79484977	82652031	0.366375	0.132003	0.082344	0.325843
chr1	82672714	85274007	0.200000	0.078206	0.052252	0.172628
chr1	85380917	87181975	0.063953	0.033429	0.019978	0.053140
chr1	87190776	89515912	0.410485	0.133813	0.095169	0.340443
chr1	89526856	91708075	0.368705	0.080730	0.051934	0.351082
chr1	91720158	94297948	0.281704	0.143420	0.089337	0.242702
chr1	94303065	98173773	0.288444	0.109436	0.075880	0.263947
chr1	98193133	101236616	0.729021	0.274704	0.188290	0.654631
chr1	101238605	107403371	0.492740	0.157976	0.108283	0.439931
chr1	107460621	113994507	0.272903	0.099438	0.064888	0.225911
chr1	113994920	117052133	0.364504	0.127674	0.079788	0.303657
chr1	117107481	120080102	0.089159	0.037887	0.020840	0.069257
chr1	120100300	122953432	0.277040	0.088031	0.062340	0.265455
chr1	122954857	124800958	-0.172098	-0.097971	-0.056986	-0.131928
chr1	125027012	129252334	0.166510	0.098043	0.053388	0.136469
chr1	129305703	132036537	0.134108	0.049028	0.032642	0.113494
chr1	132037094	134473365	0.185461	0.076158	0.046065	0.160613
chr1	134507107	137583140	0.086806	0.033642	0.022915	0.047702
chr1	139475083	142899925	0.296188	0.102009	0.071989	0.253731
chr1	143071843	145798198	0.431280	0.141480	0.103542	0.354638
chr1	145866816	148274601	0.041176	0.016888	0.009773	0.008183
chr1	148355886	149863819	0.079827	0.036334	0.020682	0.081996
chr1	149863820	151999275	0.333333	0.151016	0.085250	0.250485
chr1	152028234	156527280	0.239741	0.096578	0.055293	0.178876
chr1	156527301	158172387	0.326484	0.184715	0.096340	0.263352
chr1	158190873	165854763	0.127072	0.061470	0.038326	0.117739
chr1	166421796	170150545	0.506173	0.265168	0.172493	0.436162
chr1	170183575	179195368	0.051661	0.019143	0.011935	0.042813
