chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chr1	2137913	5103201	0.080765	0.027663	0.017984	0.063439
chr1	5147593	7881754	0.123775	0.047073	0.027516	0.115044
chr1	7924352	13699745	-0.076427	-0.022478	-0.013888	-0.058327
chr1	14057900	17355801	-0.050104	-0.010470	-0.007376	-0.024341
chr1	17431062	28987188	0.077279	0.012949	0.008715	0.059964
chr1	29035671	36561164	0.017694	0.003524	0.002382	0.012238
chr1	36644922	40411357	0.144702	0.033447	0.023513	0.107084
chr1	40651799	49912108	0.187850	0.032645	0.021670	0.150923
chr1	50089432	53596103	0.314310	0.080165	0.056517	0.228261
chr1	53605092	56298655	0.235880	0.047954	0.033004	0.162048
chr1	56324088	59829271	0.172519	0.027563	0.018737	0.108583
chr1	59872160	65274163	-0.052608	-0.009938	-0.006376	-0.013186
chr1	65292291	69515420	0.039182	0.008987	0.005970	0.025832
chr1	69920723	76484706	-0.113168	-0.023048	-0.015062	-0.065640
chr1	76499078	81381319	-0.059506	-0.012422	-0.008654	-0.049249
chr1	81484868	86550525	0.258462	0.047945	0.033256	0.154286
chr1	86550581	89637093	-0.090149	-0.016739	-0.011858	-0.053527
chr1	89657330	91127358	0.181583	0.044112	0.024872	0.135156
chr1	91133415	98173773	0.097034	0.016352	0.010857	0.053095
chr1	98280475	112075432	-0.033940	-0.006867	-0.004389	-0.022602
chr1	112297903	117499282	0.074777	0.010624	0.007160	0.024725
chr1	117525202	122892948	0.347924	0.055526	0.038260	0.203679
chr1	122902266	126429564	-0.126747	-0.041001	-0.026332	-0.076460
chr1	126769134	131945536	0.024703	0.007605	0.004724	0.014958
chr1	132019350	134233958	0.045548	0.023692	0.011981	0.030139
chr1	134314017	140446761	0.035483	0.011230	0.006593	0.025033
chr1	140685418	145622969	0.234286	0.039341	0.027022	0.155144
chr1	145630858	149265627	0.002460	0.000656	0.000452	0.025341
chr1	149317960	153224871	-0.204571	-0.057573	-0.036030	-0.143230
chr1	153939598	159576579	-0.086903	-0.026084	-0.016877	-0.044908
chr1	159599513	174424945	-0.094059	-0.020873	-0.012713	-0.050512
chr1	174424968	183791953	0.585492	0.139851	0.094167	0.454479
chr1	183830971	187536247	0.256140	0.053960	0.035486	0.148350
chr1	187625596	194280909	0.109723	0.022517	0.014313	0.076716
chr1	194436994	200687016	0.201565	0.053078	0.032687	0.141931
chr1	201656401	205738423	0.008416	0.002043	0.001349	0.005031
chr1	205757940	208936894	-0.135899	-0.033884	-0.022993	-0.076001
chr1	208979003	210493333	0.076128	0.030088	0.018023	0.042787
chr2	948546	5171367	0.228632	0.079458	0.041367	0.126504
