chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chr1	1993658	3389129	-0.021565	-0.000712	-0.000586	-0.027484
chr1	3413567	5066434	0.173321	0.003901	0.003367	0.167563
chr1	5077823	6824875	0.109563	0.002388	0.002029	0.059016
chr1	6831629	8099640	0.026298	0.000732	0.000616	0.010824
chr1	8103064	9571515	-0.248933	-0.006598	-0.005546	-0.177754
chr1	9571516	12581131	-0.100996	-0.002094	-0.001784	-0.064687
chr1	12608916	14671624	-0.039208	-0.000756	-0.000678	-0.039971
chr1	14699033	15789068	0.114973	0.002616	0.002318	0.121363
chr1	15864746	17211134	0.091946	0.002648	0.002294	0.063139
chr1	17263024	20144748	0.236495	0.006210	0.005295	0.214800
chr1	20201556	22780043	0.107517	0.001949	0.001688	0.093822
chr1	22788568	25534417	0.316885	0.007240	0.006018	0.284211
chr1	25606340	28310522	0.185492	0.003889	0.003335	0.168323
chr1	28321924	30421474	0.010770	0.000247	0.000214	0.001049
chr1	30702188	32702427	0.040050	0.001028	0.000862	0.037714
chr1	32733488	33960469	0.034132	0.001115	0.000959	0.030905
chr1	33960483	36488093	0.148279	0.003144	0.002705	0.121374
chr1	36493721	37776578	-0.147812	-0.003462	-0.003023	-0.126641
chr1	37782159	39575705	0.034439	0.000789	0.000688	0.032334
chr1	39625044	42056426	0.109471	0.002023	0.001781	0.125882
chr1	42059673	44641150	-0.068680	-0.001088	-0.000949	-0.053196
chr1	44721707	49140325	-0.123813	-0.002031	-0.001791	-0.093472
chr1	49207825	50849941	0.067181	0.001507	0.001271	0.060543
chr1	50892971	52904210	-0.131210	-0.002910	-0.002508	-0.088838
chr1	52949530	53794899	0.102935	0.002826	0.002451	0.091175
chr1	53805512	54850768	0.098728	0.002466	0.002100	0.090446
chr1	54871036	55572510	-0.004988	-0.000176	-0.000155	-0.008253
chr1	55573188	56386995	-0.216327	-0.005893	-0.005092	-0.175513
chr1	56387133	57186316	0.014037	0.000359	0.000309	0.003279
chr1	57186572	57970273	0.076851	0.001950	0.001708	0.080820
chr1	57984110	59309601	-0.291286	-0.006649	-0.005938	-0.232731
chr1	59310857	60452888	-0.445985	-0.010423	-0.008958	-0.381731
chr1	60490720	62118958	0.014706	0.000329	0.000286	0.035821
chr1	62120042	63327743	-0.214653	-0.005311	-0.004566	-0.153314
chr1	63346030	65665328	0.365728	0.009556	0.008237	0.294048
chr1	65724754	67074575	-0.117816	-0.002164	-0.001920	-0.097212
chr1	67077995	68295873	-0.175896	-0.005009	-0.004449	-0.167674
chr1	68316398	69733315	0.241994	0.006534	0.005676	0.209076
chr1	69754896	71869847	0.056277	0.001277	0.001095	0.033457
chr1	71942801	73146921	0.300279	0.006909	0.005908	0.244596
chr1	73160447	74668878	-0.243080	-0.004613	-0.004081	-0.117669
chr1	74781832	76779888	0.090826	0.002540	0.002207	0.072489
chr1	76798352	78108560	-0.166667	-0.004992	-0.004310	-0.139013
chr1	78119398	80323884	-0.228951	-0.003859	-0.003454	-0.207207
chr1	80325350	81330146	-0.083458	-0.001587	-0.001423	-0.069079
chr1	81348613	83640614	0.150000	0.002273	0.002026	0.139319
chr1	83699582	85703983	0.046320	0.000693	0.000611	0.040395
chr1	85772008	86784098	-0.039818	-0.001271	-0.001090	-0.035879
chr1	86797380	88342111	-0.060317	-0.000991	-0.000850	-0.100452
chr1	88349387	89422843	0.081081	0.001664	0.001395	0.055446
chr1	89432773	90337789	0.001181	0.000032	0.000026	0.022222
chr1	90352636	90861335	-0.028355	-0.001104	-0.000897	-0.025329
chr1	90890230	91768810	-0.229412	-0.005892	-0.004863	-0.224018
chr1	91792927	93346082	0.033635	0.000876	0.000727	0.075226
chr1	93366225	95483992	-0.076112	-0.001834	-0.001521	-0.063102
chr1	95546099	97225936	-0.356838	-0.011479	-0.009508	-0.324578
chr1	97308646	99356546	-0.022204	-0.000593	-0.000494	-0.033507
chr1	99368022	101122294	-0.079263	-0.001929	-0.001589	-0.049748
chr1	101128855	102033182	0.288764	0.009146	0.007664	0.261774
chr1	102081630	105549364	0.134448	0.003764	0.003155	0.145741
chr1	105634881	108169725	0.006906	0.000111	0.000094	-0.016706
chr1	108171768	112639076	-0.109840	-0.002554	-0.002195	-0.091977
chr1	112669226	114626050	0.178773	0.003349	0.002971	0.127056
chr1	114627410	116014460	-0.227464	-0.004472	-0.003850	-0.149596
chr1	116040826	117114958	0.291507	0.009516	0.008121	0.247363
chr1	117140753	118824858	-0.174719	-0.003610	-0.003132	-0.145179
chr1	118858737	120543434	-0.017769	-0.000307	-0.000270	-0.005051
chr1	120548530	122016878	0.010397	0.000239	0.000206	0.008214
chr1	122051180	123103392	0.082452	0.002292	0.002025	0.070678
chr1	123105906	125049447	-0.208147	-0.004710	-0.003995	-0.169646
chr1	125076263	129403159	-0.010018	-0.000175	-0.000147	-0.012199
chr1	129451655	131509085	0.082158	0.001697	0.001508	0.077206
chr1	131750609	133040757	-0.081903	-0.001746	-0.001512	-0.072787
chr1	133054207	135318112	-0.095960	-0.001852	-0.001579	-0.100727
chr1	135445676	136600424	0.195122	0.005141	0.004436	0.146825
chr1	136602840	141167538	-0.110520	-0.002033	-0.001792	-0.075707
chr1	141193287	143331307	0.254762	0.005638	0.004868	0.260215
chr1	143381796	145077749	-0.245810	-0.004852	-0.004050	-0.244565
chr1	145077853	145772307	0.033452	0.001000	0.000841	0.023256
chr1	145785503	147097009	-0.224770	-0.005700	-0.004904	-0.174419
chr1	147192036	148415783	0.237864	0.006402	0.005599	0.233010
chr1	148435841	149321266	-0.228700	-0.007434	-0.006252	-0.216697
chr1	149324861	150983091	0.213942	0.005208	0.004562	0.201629
chr1	150983253	152568851	-0.019213	-0.000430	-0.000364	-0.049567
chr1	152579574	156287707	0.507387	0.011261	0.009567	0.406988
chr1	156298529	158061515	-0.334486	-0.008056	-0.006941	-0.316742
chr1	158073724	159615375	0.133671	0.002696	0.002342	0.090487
chr1	159638130	168011227	-0.239056	-0.006678	-0.005385	-0.222967
chr1	168267516	170923213	-0.144243	-0.002927	-0.002531	-0.132530
chr1	170923411	175318933	0.198464	0.004697	0.003993	0.179543
chr1	176805997	181127053	-0.268473	-0.006728	-0.005608	-0.268692
chr1	181138836	182680821	0.036232	0.001101	0.000933	0.040359
chr1	182778001	184545815	0.427300	0.010068	0.008719	0.371355
chr1	184572013	186166107	0.010723	0.000220	0.000194	0.001114
chr1	186220107	187265473	-0.104564	-0.002677	-0.002311	-0.086803
chr1	187268617	189476491	-0.067493	-0.001383	-0.001214	-0.050619
chr1	189493682	192155795	0.023382	0.000342	0.000300	-0.010098
chr1	192194594	193664097	0.095327	0.002306	0.002003	0.086353
chr1	193839736	195652132	-0.300896	-0.004839	-0.004244	-0.258236
chr1	195660998	198356077	-0.130435	-0.002026	-0.001800	-0.118833
chr1	198356130	200506391	0.345873	0.010934	0.009463	0.330890
chr1	200519953	203130333	0.168697	0.003021	0.002620	0.118859
chr1	203150353	204535643	-0.118269	-0.003000	-0.002537	-0.093893
chr1	204550344	205699709	0.049951	0.002194	0.001738	0.027877
chr1	205702433	205949144	-0.146939	-0.030099	-0.015939	-0.103896
chr1	205950793	206105016	-0.284211	-0.172498	-0.060922	-0.155788
chr1	206115346	206229132	-0.091633	-0.031893	-0.014205	-0.057654
chr1	206232342	206388642	-0.126893	-0.053833	-0.023666	-0.073883
chr1	206388698	207542862	-0.166909	-0.005505	-0.004728	-0.131905
chr1	207553282	209357130	0.148580	0.003636	0.003112	0.104381
chr1	209443625	210787339	0.040767	0.000964	0.000826	0.034860
chr1	210903391	214016292	0.219361	0.005672	0.004880	0.184900
chr2	314927	2491097	-0.245074	-0.006428	-0.005668	-0.216661
chr2	2501680	5005265	0.113037	0.002645	0.002256	0.121985
chr2	5053679	6406925	-0.227357	-0.004809	-0.004178	-0.191142
chr2	6420944	7119299	0.045144	0.001718	0.001453	0.043062
chr2	7131646	8269913	-0.138798	-0.005023	-0.004026	-0.138746
chr2	8270543	9802749	0.127660	0.002633	0.002290	0.078652
chr2	9831207	11512653	0.101887	0.002284	0.001959	0.091554
chr2	11523841	14195501	0.003695	0.000065	0.000056	0.010011
chr2	14228292	15628395	-0.004878	-0.000113	-0.000099	0.014873
chr2	15685955	16958471	0.075850	0.001625	0.001435	0.061321
chr2	16990646	18444555	0.219037	0.003540	0.003152	0.181582
chr2	18487848	20150375	-0.158337	-0.002553	-0.002293	-0.147417
chr2	20194625	22754234	0.163273	0.003254	0.002847	0.124145
chr2	22797508	24194266	-0.141802	-0.004111	-0.003522	-0.140884
chr2	24197093	26112523	-0.022338	-0.000500	-0.000424	-0.003916
chr2	26115422	27670128	0.236339	0.004339	0.003735	0.188885
chr2	27677104	31456742	-0.010736	-0.000218	-0.000190	-0.005302
chr2	31484575	33174925	0.108696	0.002351	0.002029	0.118790
chr2	33182906	34660594	-0.284126	-0.006968	-0.005835	-0.262357
chr2	34692563	35951226	-0.306569	-0.008093	-0.006838	-0.209769
chr2	35951388	36880979	-0.016129	-0.000555	-0.000459	-0.012278
chr2	36880981	37753748	0.086310	0.002138	0.001900	0.069212
chr2	37756639	39078718	-0.087984	-0.002372	-0.002064	-0.069436
chr2	39084821	40450330	-0.032175	-0.000902	-0.000771	-0.007519
chr2	40541136	42064112	0.009934	0.000244	0.000206	0.007212
chr2	42083328	44293065	0.043228	0.000718	0.000606	0.029337
chr2	44315390	46342839	0.008370	0.000182	0.000159	0.028115
chr2	46380554	48330815	0.052980	0.001490	0.001275	0.071550
chr2	48332667	49886240	-0.136007	-0.003526	-0.002948	-0.118768
chr2	49899652	51803791	0.132701	0.002586	0.002262	0.110990
chr2	51819659	53582141	-0.123211	-0.003447	-0.002799	-0.107726
chr2	53707914	56053407	-0.287034	-0.006521	-0.005581	-0.247059
chr2	56145759	56908611	0.196634	0.005651	0.004754	0.141224
chr2	56939970	58117940	0.151100	0.003643	0.003071	0.117517
chr2	58293018	62128548	0.016477	0.000314	0.000275	0.014056
chr2	62424348	63937346	0.144708	0.003279	0.002799	0.113413
