chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chrZ	330318	666697	0.635450	0.273104	0.234848	0.521954
chrZ	666705	1004564	0.000942	0.000730	0.000367	0.000882
chrZ	1008196	1188511	-0.696206	-0.361830	-0.234174	-0.622702
chrZ	1188805	1493210	0.065484	0.034209	0.023263	0.048724
chrZ	1495967	2231503	0.180723	0.122744	0.084574	0.174263
chrZ	2268578	2739163	0.003866	0.001998	0.001342	0.003000
chrZ	2742091	3040943	0.259764	0.196324	0.128697	0.226260
chrZ	3044257	3491108	0.296067	0.161727	0.107002	0.262699
chrZ	3493035	3714070	-0.130914	-0.065377	-0.045294	-0.106256
chrZ	3726862	3910851	-0.103627	-0.057143	-0.034418	-0.081948
chrZ	3911443	4149730	0.314010	0.172490	0.118884	0.203682
chrZ	4153357	4280660	-0.239907	-0.267301	-0.128056	-0.167324
chrZ	4282923	4321134	-0.137255	-0.229412	-0.084730	-0.089128
chrZ	4321464	4358653	-0.113330	-0.177665	-0.068138	-0.070470
chrZ	4358670	4384739	-0.467090	-1.457507	-0.303719	-0.299389
chrZ	4384822	4412784	-0.505465	-1.677876	-0.325549	-0.291423
chrZ	4412785	4460161	-0.158371	-0.379061	-0.082677	-0.099052
chrZ	4460168	4492774	-0.217656	-0.361415	-0.103774	-0.129870
chrZ	4493431	4518367	-0.249754	-0.532004	-0.163919	-0.162656
chrZ	4520773	4542979	-0.294742	-0.932813	-0.252966	-0.190979
chrZ	4543023	4562959	-0.348419	-0.722034	-0.181328	-0.207670
chrZ	4564112	4593371	-0.343852	-0.640449	-0.193271	-0.243830
chrZ	4593372	4622077	-0.197802	-0.553156	-0.131621	-0.123060
chrZ	4622089	4634175	0.107730	0.146402	0.083451	0.072750
chrZ	4634267	4671189	-0.107403	-0.125889	-0.048693	-0.078669
chrZ	4671287	4948748	0.060465	0.031791	0.020589	0.048628
chrZ	4948785	5102698	-0.163789	-0.242739	-0.100228	-0.120572
chrZ	5102748	5241203	0.130193	0.133550	0.069669	0.090011
chrZ	5241289	5315037	-0.574055	-1.188581	-0.429509	-0.412489
chrZ	5315044	5427736	-0.103382	-0.195889	-0.067136	-0.059603
chrZ	5427796	5533406	0.096147	0.071736	0.045346	0.074229
chrZ	5533754	5689800	-0.040706	-0.041115	-0.026140	-0.029940
chrZ	5697784	6041135	-0.274916	-0.453975	-0.178601	-0.210884
chrZ	6052982	6605977	-0.022949	-0.016688	-0.009379	-0.018868
chrZ	6606016	6815829	0.151926	0.099883	0.072093	0.115800
chrZ	6815871	6871817	-0.148107	-0.175182	-0.092925	-0.091444
chrZ	6872262	7091102	-0.069672	-0.052218	-0.034436	-0.052129
chrZ	7091156	7215707	-0.201738	-0.285992	-0.138985	-0.147640
chrZ	7237687	7452525	0.092333	0.077096	0.048074	0.065998
chrZ	7471186	7862067	-0.396794	-0.297361	-0.174912	-0.356481
chrZ	7862085	8131869	-0.033383	-0.042135	-0.019854	-0.024181
chrZ	8131925	8813015	-0.274913	-0.174596	-0.082299	-0.211132
chrZ	8814149	8868507	-0.292365	-0.369412	-0.171585	-0.176868
chrZ	8868565	8927132	-0.230415	-0.372517	-0.123967	-0.163636
chrZ	8927139	9046896	-0.295408	-0.303937	-0.159329	-0.188784
chrZ	9051181	9153969	-0.342665	-0.249084	-0.130909	-0.204956
chrZ	9154018	9266006	-0.214945	-0.215134	-0.092930	-0.167065
chrZ	9266313	9314075	-0.063521	-0.134961	-0.039414	-0.035152
chrZ	9317835	9408645	-0.137647	-0.167983	-0.091909	-0.099744
chrZ	9411332	9495049	-0.108357	-0.167396	-0.063249	-0.064044
chrZ	9506889	9640724	-0.289354	-0.328682	-0.148321	-0.243132
chrZ	9646978	10030754	-0.183801	-0.120435	-0.059576	-0.141274
chrZ	10032539	10635161	-0.241860	-0.136573	-0.077893	-0.196474
chrZ	10639558	10992111	0.417062	0.353571	0.204598	0.402706
chrZ	11009500	11394069	0.230274	0.183605	0.101287	0.221626
chrZ	11394073	11832342	0.074875	0.051224	0.029434	0.067692
chrZ	11832383	12250149	0.051710	0.026294	0.015444	0.049934
chrZ	12250162	12587860	0.221283	0.139355	0.095533	0.212546
chrZ	12595997	12806642	-0.202792	-0.193956	-0.102128	-0.171642
chrZ	12808120	13390035	0.129996	0.098912	0.046192	0.110661
chrZ	13390041	14249470	0.010425	0.005637	0.003512	0.009782
chrZ	14249488	14485946	-0.250000	-0.189640	-0.110514	-0.186851
chrZ	14485988	15154459	-0.017581	-0.010505	-0.006036	-0.022129
