chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chr1	1065013	1821929	0.002486	0.001609	0.000814	0.012781
chr1	1823465	2168104	0.264349	0.136167	0.088811	0.202829
chr1	2189565	3046933	0.303434	0.203239	0.107967	0.249280
chr1	3053304	3569108	0.192488	0.093118	0.054262	0.149966
chr1	3603729	4529121	0.522334	0.243674	0.162438	0.375738
chr1	4543673	5338136	0.004088	0.002119	0.001166	0.003195
chr1	5344573	5841387	0.279862	0.215444	0.136000	0.201576
chr1	5859383	6821437	0.279895	0.155930	0.087992	0.260116
chr1	6822486	7570545	0.353675	0.158361	0.101311	0.311736
chr1	7570992	8095678	0.216892	0.104162	0.072167	0.179030
chr1	8095689	8424320	-0.106805	-0.083241	-0.033731	-0.088212
chr1	8468027	9639237	0.224211	0.146600	0.075445	0.147504
chr1	9714333	11869863	0.466227	0.252509	0.152994	0.370904
chr1	11877543	12793536	0.095067	0.072060	0.035007	0.085754
chr1	12799054	14328084	0.024086	0.017247	0.008677	0.016718
chr1	14328831	15331595	0.280645	0.226562	0.110593	0.171026
chr1	15436966	16161466	0.156208	0.138462	0.057101	0.089210
chr1	16169365	17149463	0.309645	0.229683	0.127194	0.223443
chr1	17165438	17621644	-0.356473	-0.279206	-0.113892	-0.262533
chr1	17621673	20822025	0.033223	0.022660	0.010327	0.028409
chr1	20880187	22617407	0.322044	0.129373	0.079442	0.281946
chr1	22647632	23889363	-0.408087	-0.256955	-0.131905	-0.318167
chr1	23897867	25087648	0.446013	0.228219	0.124623	0.358239
chr1	25144418	26135807	0.304548	0.171016	0.100413	0.266272
chr1	26196900	27781309	0.315000	0.156166	0.085802	0.274194
chr1	27831000	28985117	0.249201	0.133848	0.079349	0.201889
chr1	28987188	29817328	0.274526	0.209830	0.101555	0.225144
chr1	29837863	31948643	0.243056	0.150808	0.071211	0.169903
chr1	31949331	32846507	-0.004854	-0.003309	-0.001554	-0.003802
chr1	32892701	33686629	0.473923	0.379173	0.187612	0.331851
chr1	33687011	34810843	0.460560	0.255758	0.118332	0.293086
chr1	34891778	36458101	0.189344	0.117887	0.063080	0.154515
chr1	36463760	36900308	0.167446	0.130134	0.066766	0.131271
chr1	36900340	37592288	0.371060	0.278945	0.159115	0.296678
chr1	37600971	38551906	0.152709	0.079640	0.043703	0.125000
