chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chr1	1605547	2183939	0.138211	0.048560	0.030632	0.113333
chr1	2209410	3467004	0.019317	0.006907	0.004572	0.015334
chr1	3496754	4956394	0.023774	0.008067	0.004568	0.017778
chr1	4961022	5987086	-0.004310	-0.001476	-0.000896	0.002576
chr1	6092571	6911319	0.129111	0.048248	0.027419	0.086556
chr1	6916031	7691433	0.320683	0.132532	0.083238	0.285246
chr1	7699147	8223740	-0.059443	-0.026691	-0.015610	-0.051871
chr1	8232374	9703523	-0.113584	-0.033216	-0.018172	-0.083475
chr1	9956114	13962520	0.192798	0.028653	0.020371	0.150389
chr1	14006759	15617400	-0.304911	-0.088391	-0.054631	-0.197271
chr1	15617885	17391590	0.169492	0.030913	0.024014	0.097561
chr1	17430953	22227860	0.282066	0.056745	0.035119	0.208589
chr1	22258218	24571283	0.100039	0.020368	0.013915	0.075444
chr1	24572097	26859720	-0.079218	-0.020860	-0.012690	-0.071362
chr1	26859886	28874879	0.162844	0.028662	0.018983	0.121575
chr1	28945711	31328321	-0.253780	-0.073186	-0.044646	-0.208889
chr1	31496411	32823788	-0.027833	-0.008604	-0.004473	-0.020996
chr1	32892849	34432464	-0.090757	-0.030179	-0.018045	-0.067622
chr1	34474063	36805787	0.312398	0.065059	0.044325	0.252562
chr1	36838020	37810598	-0.139319	-0.044312	-0.025971	-0.109290
chr1	37901879	40793931	0.059157	0.008109	0.006315	0.045654
chr1	41008705	44155489	0.085668	0.016219	0.009632	0.067337
chr1	44161748	47159166	0.138425	0.032799	0.023719	0.115456
chr1	47166113	49754688	-0.178688	-0.029891	-0.020268	-0.149809
chr1	49765709	51352821	0.186635	0.039356	0.024395	0.137713
chr1	51352933	52732982	-0.088670	-0.024756	-0.016170	-0.066964
chr1	52737096	53743652	0.139232	0.051912	0.033879	0.125801
chr1	53758945	55278507	0.036907	0.006495	0.004559	0.035864
chr1	55278540	56513042	0.117747	0.023719	0.016024	0.076880
chr1	56663426	58040702	0.023789	0.004288	0.002917	0.009877
chr1	58090514	59874785	0.141061	0.031235	0.021131	0.107544
chr1	59897414	61880584	0.479945	0.091539	0.066072	0.345808
chr1	61890133	63323642	-0.371917	-0.100012	-0.056474	-0.242925
chr1	63367213	65812138	0.351685	0.074827	0.050152	0.274247
chr1	65834916	66941600	-0.289781	-0.118366	-0.071454	-0.230948
chr1	67064206	69514932	-0.087997	-0.011909	-0.008710	-0.063580
chr1	69515420	70677243	-0.320565	-0.092524	-0.057257	-0.229327
chr1	70734607	72383809	-0.074679	-0.027239	-0.016796	-0.050925
chr1	72384603	73996813	-0.034713	-0.007876	-0.004930	-0.026369
chr1	74024793	76788673	0.060372	0.009092	0.006760	0.049605
chr1	76821492	78922539	-0.067479	-0.012439	-0.008698	-0.071070
chr1	78922612	80823658	-0.313351	-0.081256	-0.054260	-0.270481
chr1	80825486	82810218	0.202842	0.038847	0.028240	0.140555
chr1	82846326	85258058	0.146803	0.025517	0.016116	0.097794
chr1	85345294	86866640	0.360156	0.051527	0.038539	0.175433
chr1	86872445	89010938	-0.114286	-0.019977	-0.014006	-0.072427
chr1	89011398	89847430	-0.254270	-0.056655	-0.031192	-0.169541
chr1	89859954	90453568	0.057386	0.016009	0.009018	0.026588
chr1	90479930	91372903	0.421255	0.079156	0.048714	0.338129
chr1	91372918	93234619	-0.312588	-0.050576	-0.032408	-0.178947
chr1	93268941	96148852	-0.152199	-0.024152	-0.016297	-0.118844
chr1	96334217	98477887	0.181394	0.035248	0.024607	0.143739
chr1	98515689	101419362	0.041553	0.006457	0.004310	0.019299
chr1	101419373	105508686	-0.094974	-0.013900	-0.008770	-0.068637
chr1	105641416	108535446	-0.205435	-0.030703	-0.020295	-0.120938
chr1	108555764	114042642	-0.194187	-0.029911	-0.020237	-0.159643
chr1	114071379	116176372	0.009419	0.001107	0.000804	0.004559
chr1	116178752	118480151	0.043605	0.006015	0.004279	0.028846
chr1	118517477	120080102	0.149709	0.036090	0.024015	0.088584
chr1	120157084	122954857	0.014504	0.002323	0.001621	0.011002
chr1	122959259	123777254	-0.131231	-0.058857	-0.034779	-0.086712
chr1	123796172	126429269	0.302855	0.065912	0.045737	0.222399
chr1	126429430	129239724	0.064238	0.012469	0.008544	0.038068
chr1	129252205	130385490	0.178602	0.075877	0.046563	0.121212
chr1	130505376	132058097	-0.191388	-0.073312	-0.037106	-0.146644
chr1	132060236	133156472	-0.102906	-0.030846	-0.018203	-0.070773
chr1	133157139	134118280	-0.039286	-0.023261	-0.011224	-0.040000
chr1	134184373	135077758	0.234295	0.108086	0.053843	0.143680
chr1	135097185	136039038	-0.063640	-0.024129	-0.012734	-0.040049
chr1	136044887	140518876	-0.330961	-0.053668	-0.039369	-0.212157
chr1	140518877	142461810	-0.038991	-0.008554	-0.005222	-0.028784
chr1	142610847	143970536	0.223670	0.067136	0.044400	0.167830
chr1	143977699	145622969	0.033698	0.008455	0.005499	0.022456
chr1	145630858	146743581	-0.277055	-0.086517	-0.053613	-0.223254
chr1	146782942	148712403	0.241007	0.044316	0.029359	0.182692
chr1	148721096	150209306	0.074248	0.013951	0.009937	0.050576
chr1	150275024	151990345	-0.242752	-0.058677	-0.034421	-0.173847
chr1	151990474	154012498	0.402722	0.079057	0.061077	0.267269
chr1	154014468	156478454	-0.007331	-0.002057	-0.001270	0.006030
chr1	156517495	157487633	-0.120942	-0.039705	-0.025930	-0.100943
chr1	157487681	159262846	0.116136	0.027291	0.019265	0.065698
chr1	159263929	164347794	-0.010305	-0.002013	-0.001358	-0.004935
chr1	166019605	169774139	-0.309042	-0.059326	-0.035504	-0.231649
chr1	169816511	171420347	0.222770	0.067413	0.043492	0.168428
chr1	171426463	174299260	0.077654	0.017493	0.010542	0.053992
chr1	174382766	179507677	-0.172043	-0.037363	-0.023265	-0.132890
chr1	179823197	182280100	0.157182	0.035297	0.024512	0.141956
chr1	182365782	183634537	0.426676	0.134968	0.080310	0.354614
chr1	183636392	185480662	-0.154872	-0.049143	-0.030800	-0.134942
chr1	185491303	186891800	-0.345640	-0.073187	-0.046233	-0.267116
chr1	186917289	188844986	0.281233	0.082041	0.052476	0.239215
chr1	188845803	191071101	-0.141663	-0.035290	-0.022027	-0.105772
chr1	191071166	193760153	0.108629	0.021746	0.014510	0.082991
