chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chr1	1621011	2101322	0.132256	0.061495	0.036442	0.099924
chr1	2137859	3120531	-0.242456	-0.079917	-0.050792	-0.182825
chr1	3122449	4136245	0.096998	0.028463	0.017714	0.053239
chr1	4148940	5179403	0.090081	0.036113	0.022569	0.075879
chr1	5184462	5898767	-0.045794	-0.021934	-0.010913	-0.036732
chr1	5938863	6919112	0.082377	0.031932	0.016409	0.053127
chr1	6921519	7617865	0.487449	0.194162	0.121249	0.371605
chr1	7673973	8089212	0.248261	0.110957	0.067275	0.227729
chr1	8089313	8702128	0.134443	0.044833	0.032071	0.089905
chr1	8703843	10401227	-0.039329	-0.012811	-0.007607	-0.022222
chr1	10448706	13342804	0.247810	0.040150	0.029748	0.167197
chr1	13368772	14838371	-0.036671	-0.009160	-0.006001	-0.017615
chr1	14841341	16781309	-0.075254	-0.010512	-0.008340	-0.037067
chr1	16782255	17454993	-0.110799	-0.053562	-0.031151	-0.054646
chr1	17458557	21929288	0.342446	0.082296	0.052419	0.278689
chr1	21929402	23432720	-0.155000	-0.034494	-0.022643	-0.097301
chr1	23779709	24908620	0.090545	0.054592	0.028235	0.061502
chr1	24910824	25708125	-0.147028	-0.058624	-0.037121	-0.096819
chr1	25708133	27851990	-0.127623	-0.025955	-0.019077	-0.067469
chr1	27854087	29349809	0.262195	0.047445	0.033264	0.162274
chr1	29411135	31874320	-0.244686	-0.087626	-0.057394	-0.164288
chr1	31875515	32777709	-0.102521	-0.032843	-0.018706	-0.061184
chr1	32779605	34126026	0.304886	0.083460	0.062899	0.182905
chr1	34126037	36061417	0.020445	0.005995	0.003942	0.012186
chr1	36092610	37174142	0.067979	0.017927	0.011305	0.034675
chr1	37181560	38783090	0.005044	0.000766	0.000586	0.003115
chr1	38802810	40012517	0.296053	0.061273	0.047244	0.170455
chr1	40247902	41946468	-0.007049	-0.001804	-0.001202	-0.004670
chr1	41963264	44166500	0.134485	0.030532	0.021283	0.077200
chr1	44166514	47895919	0.044348	0.009454	0.006648	0.024580
chr1	47918552	49725204	-0.127358	-0.024129	-0.016311	-0.058527
chr1	49754462	51080777	0.276114	0.053535	0.040611	0.159865
