chr	windowStart	windowEnd	D	f_d	f_dM	d_f
chr1	1272788	1841200	-0.101624	-0.056146	-0.025141	-0.063701
chr1	1844635	2137925	-0.078414	-0.047254	-0.024197	-0.061115
chr1	2147321	2887450	0.350263	0.124611	0.080289	0.233412
chr1	2923402	3496754	0.178101	0.057673	0.040872	0.123321
chr1	3497689	4371352	-0.148232	-0.047619	-0.025994	-0.116090
chr1	4372261	5063734	-0.104178	-0.046039	-0.025351	-0.071610
chr1	5065310	5520799	0.047921	0.022162	0.013333	0.016649
chr1	5524446	6572496	0.033800	0.016696	0.008137	0.032496
chr1	6572498	6934413	-0.057130	-0.029984	-0.014619	-0.038266
chr1	6934565	7501330	0.568605	0.251113	0.161974	0.424111
chr1	7514587	7942248	-0.199804	-0.061987	-0.037328	-0.129284
chr1	7945565	8151131	-0.144004	-0.117561	-0.056062	-0.099706
chr1	8189654	8702085	-0.322469	-0.162035	-0.074825	-0.195334
chr1	8702128	10046115	-0.421286	-0.190706	-0.100179	-0.259060
chr1	10050397	12401912	-0.009174	-0.002205	-0.001441	-0.006382
chr1	12405129	14272704	0.270738	0.057839	0.044315	0.189189
chr1	14276881	14795037	0.087108	0.038246	0.021061	0.044563
chr1	14796398	15704210	-0.177604	-0.050548	-0.033523	-0.109188
chr1	15726932	17132834	-0.032151	-0.005976	-0.004781	-0.006671
chr1	17133198	17458557	-0.131313	-0.094067	-0.048964	-0.069565
chr1	17539988	20939646	0.326064	0.081592	0.052537	0.279271
chr1	20952988	22690021	-0.160297	-0.033860	-0.020434	-0.111935
chr1	22701739	24099321	-0.143357	-0.061377	-0.034786	-0.098676
chr1	24099615	24963672	-0.072476	-0.055452	-0.022543	-0.057830
chr1	24967925	25789476	-0.099448	-0.032619	-0.020121	-0.076923
chr1	25803902	27370259	0.021987	0.006451	0.003974	0.015750
chr1	27373890	28719458	-0.142088	-0.030618	-0.020012	-0.111844
chr1	28719719	30370948	-0.269086	-0.071344	-0.045212	-0.217193
chr1	30402242	31955963	-0.310504	-0.121889	-0.073438	-0.223891
chr1	31959586	32792420	0.061667	0.026829	0.012507	0.046893
chr1	32793136	33685704	0.206580	0.093517	0.053388	0.142002
chr1	33686629	34683607	-0.102217	-0.032080	-0.018352	-0.069118
